Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.619321649,0.4797093859,0.6126378156,0.0066838334000000055,0.13961226309999997,0.13292842969999996,0.07314804824999999,0.0009331451071573681,4.4360118176466985,4.65906089764032,92.65964783024057,3.4360118176466985,3.608779453594946,71.77159530936238,4.388137560388849,4.608779453594946,91.65964783024057
N,-0.0584692258,-0.0762285299,-0.0635282272,0.005059001399999992,0.01775930409999999,0.012700302699999999,0.011409152749999991,8.984434430492556e-05,-3.2923151420105494,-4.6037663181051585,-11.55746385047454,-4.292315142010549,-6.002103390811307,-15.067900534678666,-3.5771799864612954,-5.002103390811307,-12.55746385047454
N,-0.0680721623,-0.0811691547,-0.0681928213,0.00012065899999999519,0.013096992399999993,0.012976333399999998,0.006608825699999994,1.5802700059915362e-06,-5.197541559236153,-5.245870324201134,-564.1697867544295,-6.197541559236153,-6.255168713528893,-672.7152943419325,-5.206754285052501,-5.255168713528893,-565.1697867544295
N,-0.0741848909,-0.0947067708,-0.0662731619,0.007911728999999992,0.020521879900000012,0.01261015090000002,0.014216804450000002,0.00016236355233934703,-3.6149169209395846,-5.882950290467965,-9.376571277909047,-4.614916920939585,-7.5103598324108765,-11.970426540140606,-3.229390398098956,-5.255540748525055,-8.376571277909047
N,-0.0573104963,-0.0776767888,-0.0617365398,0.004426043499999997,0.020366292499999994,0.015940248999999997,0.012396167999999996,9.014209653872366e-05,-2.8139876857803165,-3.5953325635001065,-12.948471089360066,-3.8139876857803165,-4.8729972034941245,-17.549937952485113,-3.031309689772943,-3.872997203494124,-13.948471089360066
C,0.0161473686,0.0092192032,0.0215449243,0.005397555700000001,0.0069281654,0.0015306096999999994,0.0061628605500000004,3.7395158645312785e-05,2.3306846282855775,10.549631692520965,2.9916075900800796,1.3306846282855775,6.023222771945064,1.7080329898216702,3.1097589413786224,14.076040613096865,3.9916075900800796
H,0.045341205,0.0401080246,0.0448158958,0.0005253092000000043,0.005233180400000002,0.004707871199999998,0.0028792448000000033,2.7490378093797034e-06,8.66417771495131,9.630935740128153,86.31336553785778,7.66417771495131,8.519354692626258,76.35127007103564,8.563797227399228,9.519354692626258,85.31336553785778
H,0.0657692291,0.0471234986,0.0802030667,0.014433837599999999,0.018645730500000006,0.004211892900000007,0.016539784050000002,0.00026912944597036687,3.527307717978654,15.615123808110102,4.5566003250583895,2.527307717978654,11.188199633471195,3.264793460056666,4.301417244017336,19.042047982749008,5.5566003250583895
C,-0.035658419,-0.041434226,-0.0314981108,0.004160308199999997,0.005775807000000001,0.0016154988000000037,0.004968057599999999,2.4029137223717388e-05,-6.1737552864907,-22.07269915644624,-8.57110033338396,-7.1737552864907,-25.647946008997284,-9.959412622362937,-5.45345625295305,-19.497452303895198,-7.57110033338396
H,0.0507010254,0.0429286565,0.0601095937,0.009408568299999996,0.0077723689,-0.0016361993999999963,0.008590468599999998,7.312686364844584e-05,6.523239703663577,30.987070035595977,5.388814087686436,5.523239703663577,26.236812273614145,4.562719335310562,7.733754595719202,36.73732779757781,6.388814087686436
H,0.0717942709,0.054492103,0.0831948451,0.0114005742,0.0173021679,0.005901593699999999,0.014351371049999999,0.00019725464896480814,4.149437880555997,12.165234434895105,6.297425870005741,3.149437880555997,9.233455532528444,4.779768285706171,4.8083480394384575,14.097013337261766,7.297425870005741
C,0.0227581888,0.0156080519,0.0244974827,0.001739293900000001,0.0071501368999999995,0.0054108429999999985,0.0044447154,1.2436189494334916e-05,3.182902525964223,4.206033847221219,13.084728693638255,2.182902525964223,2.884587835943494,8.973786373884247,3.426155756542228,4.527479858498945,14.084728693638255
H,0.0489231331,0.0467148536,0.0426830118,0.006240121300000005,0.0022082795000000002,-0.004031841800000005,0.004224200400000003,1.3779931944303363e-05,22.154411658487977,12.134189664882173,7.840093284725084,21.154411658487977,11.586479806821771,7.486209218400925,19.32862746767336,10.586479806821771,6.840093284725084
H,0.0699978567,0.0510103358,0.08238092,0.012383063299999997,0.0189875209,0.006604457600000002,0.015685292099999998,0.0002351236732147729,3.686519007333917,10.59857764852635,5.652709269442241,2.686519007333917,7.723622269904493,4.119363243503731,4.338687521866007,12.473533027148205,6.652709269442241
C,0.0150577832,0.0069039583,0.0244672338,0.0094094506,0.008153824900000002,-0.0012556256999999987,0.008781637750000001,7.672301259759997e-05,1.8467140740292323,11.992254698195502,1.6002829325656909,0.8467140740292324,5.4984206678789755,0.7337259733315353,3.0007063065580417,19.48608872851203,2.600282932565691
H,0.0639223309,0.0447721048,0.0747810494,0.01085871849999999,0.019150226100000008,0.008291507600000018,0.015004472299999998,0.00020794691443125273,3.337941315481386,7.709373733191762,5.886728797693768,2.337941315481386,5.399754418605357,4.123148122865515,3.904969529315373,9.018993047778165,6.886728797693768
H,0.0455797954,0.0406408012,0.0567926986,0.011212903199999999,0.004938994199999998,-0.006273909000000001,0.008075948699999998,5.538046386996141e-05,9.228558195107825,7.264975535985617,4.064941486340487,8.228558195107825,6.477747955859734,3.6244673190436534,11.498838893149545,9.0522031161115,5.064941486340487
C,-0.0407386445,-0.0457061203,-0.0363329674,0.004405677099999998,0.004967475800000003,0.0005617987000000046,0.00468657645,2.188509437686418e-05,-8.201075584505107,-72.5146649502743,-9.246852089999972,-9.201075584505107,-81.35675696650708,-10.374369083925833,-7.31417099203583,-64.6725729340415,-8.246852089999972
H,0.0355168937,0.0278821678,0.0388710435,0.0033541497999999975,0.0076347259000000035,0.004280576100000006,0.0054944378500000005,2.5608014350539812e-05,4.652019491623135,8.297222820077875,10.588940809978144,3.6520194916231357,6.513648431574423,8.312737791257868,5.091347614719211,9.080797208581327,11.588940809978144
H,0.0679288324,0.0529313134,0.0813563935,0.013427561099999999,0.014997519,0.001569957900000002,0.01421254005,0.0002013801027209109,4.529337979168421,43.26793247131017,5.058910690788069,3.529337979168421,33.71511643719869,3.941990135498248,5.424656804902197,51.82074850542164,6.058910690788069
C,0.0168147686,0.0091705839,0.0242561351,0.007441366500000001,0.007644184699999999,0.0002028181999999979,0.0075427756,5.688317994639255e-05,2.199681098757334,82.90561990985114,2.2596345173967705,1.1996810987573339,45.215783889217505,1.2323790126450562,3.173148746654434,119.59545593048479,3.2596345173967705
H,0.0656339466,0.047906055,0.0776279255,0.011993978899999994,0.017727891600000004,0.00573391270000001,0.014860935249999999,0.00021262795779188718,3.702298506834281,11.446624675677377,5.472241292670612,2.702298506834281,8.354862989106882,3.9941753607720645,4.378858312739231,13.53838636224787,6.472241292670612
H,0.0398722867,0.0363182434,0.0515701293,0.011697842600000001,0.003554043300000004,-0.008143799299999997,0.007625942950000002,4.157463911698463e-05,11.21885225765256,4.896030124416256,3.40851625922886,10.21885225765256,4.459619160801275,3.1046958522078247,14.510270401038712,6.332441088031237,4.408516259228859
O,-0.2249987555,-0.2940677811,-0.1981748877,0.026823867800000012,0.06906902559999997,0.04224515779999996,0.04794644669999999,0.0018526984117692158,-3.2575927276437513,-5.326024737916832,-8.388005681268677,-4.257592727643751,-6.960981954244239,-10.962914941744526,-2.869229527685708,-4.691067521589425,-7.388005681268676
