Atom,q(N),q(N-1),f-,q(N)/f-,q(N-1)/f-
Pt,0.6176569456,0.613919523,0.0037374225999999844,165.26280587054902,164.26280587054902
N,-0.0747099186,-0.0679956396,0.00671427899999999,-11.127020280211786,-10.127020280211786
N,-0.0583149826,-0.0650221056,0.006707123000000002,-8.694485340435829,-9.694485340435829
N,-0.0587128758,-0.0618436187,0.003130742899999997,-18.753656137014655,-19.753656137014655
N,-0.0711147872,-0.068660927,0.002453860200000005,-28.980781871762645,-27.980781871762645
C,0.0221298388,0.0240845406,0.0019547018,11.321337505291089,12.321337505291089
H,0.0697086384,0.0775482486,0.0078396102,8.891850056524493,9.891850056524493
H,0.0480603658,0.0442771443,0.003783221499999996,12.703555898062021,11.703555898062021
C,-0.0357631676,-0.031489451,0.004273716599999998,-8.368165451120465,-7.368165451120464
H,0.0717715317,0.0794442015,0.007672669800000004,9.35417964943571,10.35417964943571
H,0.050603894,0.05906908,0.008465186,5.9778832975436105,6.9778832975436105
C,0.0163848408,0.0197942947,0.003409453899999998,4.8057082689987425,5.8057082689987425
H,0.0659106504,0.0762034113,0.01029276089999999,6.403592878563814,7.403592878563814
H,0.0459029527,0.0451535133,0.000749439399999996,61.24971905667122,60.24971905667122
C,0.0165085613,0.024566087,0.008057525700000002,2.04883756064222,3.04883756064222
H,0.0395184319,0.0554068571,0.0158884252,2.4872466215216846,3.4872466215216846
H,0.0649227598,0.0760015634,0.011078803600000006,5.860087618125116,6.860087618125116
C,-0.0398315996,-0.0341717177,0.005659881900000004,-7.037531931540829,-6.037531931540829
H,0.0683258009,0.0808501964,0.012524395500000007,5.4554170618454165,6.4554170618454165
H,0.0388898231,0.0447424832,0.005852660100000004,6.644811493495064,7.644811493495064
C,0.0155973596,0.0260176848,0.0104203252,1.4968208093927815,2.4968208093927817
H,0.0450170243,0.0597477667,0.014730742400000003,3.0559915500253396,4.05599155002534
H,0.0658434124,0.0756825658,0.009839153400000009,6.6919794542485675,7.6919794542485675
O,-0.2320346068,-0.2229009415,0.009133665299999982,-25.404325555918984,-24.404325555918984
O,-0.2234292147,-0.2138745939,0.009554620799999997,-23.38441465934473,-22.38441465934473
H,0.1230927241,0.1280339597,0.00494123560000001,24.911324629005698,25.911324629005698
H,0.0944659142,0.1037410168,0.009275102600000001,10.184891561199548,11.184891561199548
H,0.1403140638,0.1518548672,0.011540803399999994,12.158084574943896,13.158084574943896
H,0.1362118365,0.1330047856,0.0032070508999999803,42.47261448204667,41.47261448204667
H,0.1378391141,0.1471971274,0.009358013299999995,14.729527484215058,15.729527484215058
H,0.0963417351,0.1049211372,0.008579402099999994,11.229422980419589,12.229422980419589
H,0.1308716871,0.1420748485,0.011203161399999995,11.681674701214254,12.681674701214254
H,0.1228304971,0.1022200811,0.020610416000000006,5.959632115140226,4.959632115140226
C,0.2046870162,0.2133584518,0.0086714356,23.60474385579246,24.60474385579246
O,-0.2569026449,-0.240850607,0.016052037899999982,-16.00436321546439,-15.004363215464391
C,0.197614261,0.2156649808,0.018050719799999976,10.947721929626335,11.947721929626335
O,-0.2677442715,-0.2107061078,0.05703816370000003,-4.69412502317286,-3.6941250231728597
C,-0.0402232391,-0.0324402852,0.0077829539,-5.1681199216662455,-4.1681199216662455
H,0.0443745302,0.0513952356,0.0070207054000000005,6.320523034622703,7.320523034622703
H,0.0674663473,0.0771792121,0.009712864799999998,6.946081170614052,7.946081170614052
C,-0.0444323711,-0.0274629486,0.0169694225,-2.6183785040416074,-1.6183785040416077
H,0.0405851204,0.059442557,0.0188574366,2.152207707806903,3.152207707806903
H,0.06520664,0.064950841,0.000255799000000001,254.91358449407443,253.91358449407443
C,-0.0228592368,-0.0171271792,0.0057320576,-3.9879635543090144,-2.9879635543090144
H,0.0550229891,0.0745119297,0.019488940600000004,2.8232929757095153,3.8232929757095153
H,0.0548031916,0.0725111068,0.0177079152,3.0948415429502396,4.09484154295024
C,-0.0432027168,-0.0011954075,0.0420073093,-1.0284571309117387,-0.028457130911738737
H,0.0668514619,0.0931035493,0.0262520874,2.546519858836064,3.546519858836064
H,0.0406363798,0.0711004867,0.03046410690000001,1.3339100973283409,2.333910097328341
C,-0.021965773,-0.0151652725,0.006800500500000001,-3.2300229961015368,-2.2300229961015368
H,0.0616722962,0.0724780367,0.010805740500000001,5.70736417370008,6.70736417370008
H,0.0462109704,0.0512725431,0.005061572699999996,9.12976522099545,10.12976522099545
C,-0.0398636282,-0.0374903177,0.002373310500000003,-16.79663415301114,-15.79663415301114
H,0.0443500062,0.0435486374,0.0008013688000000005,55.34281619149632,54.34281619149632
H,0.0679098921,0.0763159389,0.008406046800000011,8.078695457655542,9.078695457655542
C,0.2382496984,0.2479795252,0.009729826800000008,24.486530263827493,25.486530263827493
O,-0.2648217163,-0.2533159076,0.011505808700000009,-23.01634967214428,-22.01634967214428
O,-0.1215950684,-0.1006991428,0.020895925600000004,-5.819080270844761,-4.819080270844761
H,0.2016466035,0.2142057278,0.012559124300000002,16.055785314585982,17.055785314585982
C,0.2402261707,0.3025244261,0.06229825540000003,3.8560657783684884,4.856065778368488
O,-0.252784053,-0.0113297752,0.2414542778,-1.0469230667736797,-0.04692306677367966
O,-0.1170893066,-0.038889904,0.0781994026,-1.497317149581396,-0.497317149581396
H,0.2051612,0.2555316789,0.050370478900000015,4.073044459380749,5.073044459380749
