Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.6136619866,0.4852547597,0.6147834021,0.0011214155000000003,0.12840722690000006,0.12728581140000006,0.06476432120000003,0.00014399785455767707,4.7790299768556075,4.821134263516191,547.2208887785124,3.7790299768556075,3.81232404745467,432.7162944510753,4.787763250885996,4.829944479577712,548.2208887785124
N,-0.0560220204,-0.0830828326,-0.0543708789,0.0016511414999999946,0.027060812200000006,0.02540967070000001,0.01435597685,4.4681230047126166e-05,-2.0702268648093267,-2.2047519254155454,-33.92926675272845,-3.0702268648093267,-3.2697327557259515,-50.31842068048091,-2.009210902398561,-2.1397710951051394,-32.92926675272845
N,-0.0604467554,-0.1129370076,-0.0584657316,0.001981023800000002,0.0524902522,0.050509228399999995,0.027235638,0.00010398443887620247,-1.151580586233114,-1.1967467592516223,-30.51288702336637,-2.151580586233114,-2.235967786037294,-57.00941482883743,-1.1138397921433496,-1.157525732465951,-29.51288702336637
N,-0.0562853564,-0.1094989674,-0.0555884998,0.0006968565999999968,0.053213610999999994,0.0525167544,0.026955233799999995,3.7082256035182424e-05,-1.0577248065349296,-1.0717599943685783,-80.77035705767909,-2.05772480653493,-2.0850292187896518,-157.13271195250286,-1.0446293486829903,-1.0584907699475048,-79.77035705767909
N,-0.0590962104,-0.0773679426,-0.0568589874,0.0022372230000000035,0.0182717322,0.016034509199999998,0.010254477600000002,4.0877939527680666e-05,-3.234297096363967,-3.6855640333537623,-26.414984290792606,-4.234297096363967,-4.825089538755575,-34.58213267072611,-3.1118553390356714,-3.5460385279519504,-25.414984290792606
C,0.0209391772,0.0043839558,0.022260772,0.0013215948000000026,0.0165552214,0.015233626599999998,0.008938408100000001,2.1879294515088764e-05,1.264808044185987,1.3745365926193833,15.843870753728721,0.2648080441859872,0.28778149255673635,3.317170890805557,1.3446375292812454,1.4612916926820305,16.84387075372872
H,0.0473182063,0.033348065,0.0453901574,0.0019280488999999998,0.013970141299999995,0.012042092399999996,0.007949095099999998,2.693511556630956e-05,3.387095755430907,3.9294006994996997,24.542015661532236,2.387095755430907,2.769291572617398,17.296275524962052,3.249083629526354,3.769291572617398,23.542015661532236
H,0.075732222,0.0460405911,0.0799196811,0.004187459099999999,0.0296916309,0.025504171800000003,0.016939545,0.00012433249000604616,2.5506251999111305,2.9694052641223188,18.08548339015419,1.5506251999111305,1.805218042798786,10.994875412633885,2.691656829803849,3.1335924854458512,19.08548339015419
C,-0.03238805,-0.0398597094,-0.0311540014,0.0012340486000000025,0.007471659399999997,0.006237610799999994,0.004352854,9.220390822246856e-06,-4.334786727564163,-5.192380710896555,-26.24536019083846,-5.334786727564163,-6.390220659487128,-32.29995107161899,-4.169622801596123,-4.9945407623059825,-25.24536019083846
H,0.0647332437,0.0470100954,0.0685032227,0.0037699790000000066,0.017723148299999998,0.013953169299999992,0.010746563650000002,6.681589690488581e-05,3.652468658742759,4.639321885100329,17.17071731699298,2.652468658742759,3.3691338784228777,12.469590785518943,3.8651836310595002,4.90950989177778,18.17071731699298
H,0.0670278051,0.0493597148,0.0700632963,0.00303549119999999,0.0176680903,0.014632599100000011,0.010351790749999996,5.363133262645519e-05,3.793720994283123,4.580717659380141,22.081370257308016,2.793720994283123,3.373270494371705,16.26086572084286,3.965527406207562,4.788164824388576,23.081370257308016
C,0.0198533376,0.0100142126,0.0223937688,0.002540431200000002,0.009839124999999999,0.007298693799999997,0.0061897781,2.4995620130700016e-05,2.017795037668492,2.7201220032000806,7.814947950568386,1.017795037668492,1.372055449154478,3.9419341881803347,2.2759918996862023,3.068188557245683,8.814947950568385
H,0.0745591095,0.0526883018,0.0792306753,0.004671565799999999,0.0218708077,0.017199241900000002,0.01327118675,0.00010217091726969665,3.4090697756900856,4.335023016334225,15.960196793118062,2.4090697756900856,3.0634083819706026,11.278510044747739,3.622668005077837,4.606637650697848,16.96019679311806
H,0.042195436,0.0339112084,0.045502873,0.0033074369999999964,0.008284227600000006,0.00497679060000001,0.005795832300000001,2.739956088066119e-05,5.093466529094393,8.478443115529096,12.757744440786038,4.093466529094393,6.813870850825014,10.25301718521019,5.492711595707482,9.143015380233178,13.757744440786038
C,0.0276242356,0.0096017155,0.0286960988,0.0010718631999999985,0.0180225201,0.016950656900000003,0.00954719165,1.9317676066450295e-05,1.532762091357024,1.6296852542629185,25.77216532856062,0.5327620913570239,0.5664509379574545,8.957967304036572,1.5922356385664398,1.6929195705683828,26.77216532856062
H,0.0748315861,0.0449459506,0.0794708775,0.004639291399999995,0.0298856355,0.025246344100000005,0.017262463449999998,0.00013864817175868456,2.5039315660528616,2.96405633241765,16.12996029954059,1.5039315660528616,1.7802954131485513,9.688106808725152,2.659166391158053,3.1478172516867495,17.12996029954059
