Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
C,-0.0521070033,-0.0616770884,-0.0350224281,0.0170845752,0.0095700851,-0.0075144901,0.01332733015,0.00016350083856134953,-5.444779514029609,-6.934203466446779,-3.0499443322418696,-6.444779514029609,-8.207754295930206,-3.610103715075105,-3.6595733197816602,-4.660652636963352,-2.0499443322418696
C,-0.0534417623,-0.0579172897,-0.0356845074,0.017757254899999998,0.004475527399999998,-0.0132817275,0.011116391149999998,7.947308085373422e-05,-11.940885961283584,-4.0237056738289505,-3.0095734166658836,-12.940885961283584,-4.360674445398763,-3.2616127901616148,-7.973251912165707,-2.686736902259138,-2.0095734166658836
C,-0.00708212,-0.009379981,0.0186688638,0.025750983800000002,0.002297861000000001,-0.0234531228,0.014024422400000002,5.917218138565183e-05,-3.082048914185844,-0.30196916889890674,-0.275023278916435,-4.082048914185844,-0.39994592958853226,-0.3642571900495701,8.124453045680307,0.7960075917907189,0.7249767210835649
H,0.0131488433,0.0038917908,0.0344319612,0.021283117900000002,0.0092570525,-0.012026065400000003,0.015270085200000002,0.00019701893976398977,1.4204136035741397,1.0933620317747479,0.6178062519683734,0.4204136035741398,0.3236129748637488,0.18285811403600782,3.719538287159979,2.8631110886857467,1.6178062519683734
H,0.025562073,0.0159599154,0.0502306587,0.0246685857,0.009602157600000001,-0.015066428099999998,0.01713537165,0.00023687164766050632,2.66211762656343,1.6966246299612318,1.0362196402690407,1.6621176265634297,1.0593031934357422,0.6469732636516734,5.231184572517326,3.3339460664867215,2.036219640269041
C,-0.0545898133,-0.0642449459,-0.0417046493,0.012885163999999998,0.009655132600000005,-0.0032300313999999927,0.011270148300000001,0.00012440796699274645,-5.653968263470557,-16.900706692820425,-4.236640938369121,-6.653968263470557,-19.889882773275872,-4.985962607848842,-4.319427917540975,-12.911530612364974,-3.23664093836912
H,0.0280372903,0.0184914241,0.0463924862,0.0183551959,0.0095458662,-0.0088093297,0.01395053105,0.00017521624413618857,2.937113271082723,3.1826814587266496,1.5274852119666018,1.937113271082723,2.099072770542349,1.0074217785929487,4.859955631894359,5.266290146910951,2.527485211966602
H,0.0282353825,0.0194920835,0.0472874018,0.019052019299999997,0.008743299,-0.010308720299999997,0.013897659149999998,0.00016657750129367066,3.229374004022967,2.738980365972293,1.48201521609838,2.229374004022967,1.8908344520706422,1.0230980345479705,5.408416411242484,4.587126279873944,2.4820152160983797
H,0.0229101746,0.0115459752,0.0495919303,0.026681755700000004,0.0113641994,-0.015317556300000004,0.01902297755,0.00030321679211688666,2.015995477868859,1.4956807829718892,0.8586456924946658,1.015995477868859,0.7537739685017509,0.4327292150418721,4.363873648679554,3.2375875974420274,1.8586456924946657
H,0.0284816314,0.0209367765,0.0446885027,0.0162068713,0.007544854899999998,-0.008662016400000003,0.0118758631,0.00012227849234147436,3.7749740422443385,3.288106381327099,1.7573799947433404,2.7749740422443385,2.4170788339768086,1.2918456691884754,5.923043357666164,5.15913392867739,2.7573799947433404
C,0.1776072605,0.1673931256,0.2237522338,0.0461449733,0.010214134900000005,-0.0359308384,0.028179554100000004,0.00047133098224309844,17.38838014563523,4.943031346020582,3.848897242725244,16.38838014563523,4.658759245651224,3.6275484333198214,21.906136544172714,6.22730344638994,4.8488972427252435
C,0.1739247542,0.1636413102,0.2236109493,0.0496861951,0.010283444000000003,-0.039402751099999994,0.02998481955,0.0005109452048839245,16.913084196306215,4.414025654163017,3.5004643412511984,15.913084196306214,4.1530427605091775,3.293496510864846,21.744752954360422,5.675008547816856,4.500464341251198
O,-0.2828464098,-0.3142418899,-0.117726058,0.16512035179999998,0.03139548010000004,-0.13372487169999994,0.09825791595000001,0.005184032719041905,-9.009144274879224,-2.1151368941638706,-1.7129712159443207,-10.009144274879224,-2.349913564359024,-1.9031081661006979,-3.749777280838583,-0.8803602239687177,-0.7129712159443208
O,-0.2712542155,-0.2798943926,-0.2228361949,0.0484180206,0.00864017709999998,-0.03977784350000002,0.02852909884999999,0.00041834027281544727,-31.394520316024618,-6.81922878750327,-5.602340040724424,-32.39452031602462,-7.0364395847653185,-5.7807896549988245,-25.79069761197378,-5.602017990241223,-4.602340040724424
O,-0.2856225827,-0.3175175384,-0.116840713,0.16878186970000003,0.031894955700000005,-0.13688691400000003,0.10033841270000002,0.005383290257044674,-8.955102035147206,-2.0865587100604808,-1.692258672141016,-9.955102035147206,-2.3195609362630525,-1.881230128356612,-3.663297547705952,-0.8535564838579089,-0.692258672141016
