Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.3312128591,-0.4161750293,-0.0545694367,0.27664342239999995,0.08496217020000002,-0.19168125219999993,0.18080279629999998,0.023504225538659294,-3.898356860710226,-1.7279355977621274,-1.1972555003353662,-4.8983568607102255,-2.1711827553472136,-1.5043734844280905,-0.642279223465504,-0.2846884401770411,-0.19725550033536604
Pt,0.1404423385,0.0175803642,0.3463169381,0.2058745996,0.12286197430000001,-0.0830126253,0.16436828695,0.025294159765077994,1.1430903605461598,1.6918190214133608,0.6821741913420581,0.14309036054615965,0.21177940266876488,0.08539355624325401,2.8187479492586993,4.171858640157957,1.682174191342058
Cl,-0.3312079142,-0.4161701802,-0.0545783352,0.276629579,0.08496226600000001,-0.191667313,0.1807959225,0.02350307587446602,-3.898294263950069,-1.7280354642421476,-1.1972975391760257,-4.898294263950069,-2.171315357251343,-1.504431238714353,-0.6423832339876622,-0.284755571232952,-0.19729753917602572
N,-0.123105484,-0.1573127459,-0.0943768992,0.028728584799999998,0.034207261899999994,0.005478677099999996,0.031467923349999996,0.000982726224269959,-3.5988113974126654,-22.469928735168587,-4.285121764856305,-4.598811397412665,-28.7136370749063,-5.475826498073793,-2.7589726262188794,-17.226220395430875,-3.2851217648563047
H,0.117947815,0.0641670217,0.1478190974,0.02987128239999999,0.053780793300000004,0.023909510900000014,0.04182603785,0.0016065012643603274,2.1931215172313197,4.933091918664046,3.9485353665298293,1.1931215172313197,2.6837446390423634,2.148117407239269,2.748548102952583,6.182439198285729,4.948535366529829
H,0.1330700658,0.0002624779,0.1639847797,0.0309147139,0.1328075879,0.101892874,0.0818611509,0.0041057085836776015,1.001976377284991,1.3059801002374318,4.304424948923755,0.001976377284990958,0.00257601822086204,0.008490387485035078,1.234754597180663,1.6093841822540014,5.304424948923755
H,0.1330751235,0.0002674366,0.1639872124,0.030912088899999995,0.1328076869,0.101895598,0.0818598879,0.004105363024056165,1.0020137132589424,1.3059948232503626,4.304954088689879,0.0020137132589423934,0.0026246138719358612,0.008651521444091087,1.2347719942105249,1.6093650326287892,5.304954088689879
N,-0.1231052926,-0.1573134527,-0.0943771293,0.028728163299999998,0.034208160099999996,0.005479996799999998,0.0314681617,0.0009827376095453441,-3.5987113086505933,-22.46448257050078,-4.285177973769037,-4.598711308650594,-28.706851197431366,-5.475931442508892,-2.7589069106350452,-17.222113943570193,-3.285177973769037
H,0.1330756668,0.0002666038,0.1639873597,0.03091169290000001,0.132809063,0.1018973701,0.08186037795000001,0.004105352969792754,1.0020074217374757,1.3059774424933859,4.305026813979507,0.002007421737475853,0.0026163952979194704,0.008624691014577204,1.2347603092418473,1.6093384896888523,5.305026813979507
H,0.117949756,0.0641669921,0.1478210365,0.0298712805,0.0537827639,0.023911483400000003,0.0418270222,0.001606560026522174,2.193077250907144,4.9327661536883145,3.9486005964826316,1.1930772509071441,2.683522014364027,2.1481165529546016,2.74848345047585,6.182010293012603,4.948600596482632
H,0.1330707843,0.000260512,0.1639853766,0.030914592300000016,0.1328102723,0.10189567999999999,0.08186243230000001,0.004105775421406485,1.0019615350190045,1.3059511875282643,4.304465121475981,0.001961535019004701,0.00255665402105369,0.008426829552592868,1.2347341343415046,1.609345721035475,5.304465121475981
