Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.3310335706,-0.4159964031,-0.0547250512,0.2763085194,0.08496283250000003,-0.19134568689999998,0.18063567595000002,0.023475954452105208,-3.896216273156852,-1.730028912399802,-1.1980577772948682,-4.896216273156853,-2.1740568592873784,-1.505550404320975,-0.6441057764876187,-0.28600096551222554,-0.19805777729486831
Pt,0.1404033162,0.0175507909,0.3464121559,0.20600883970000003,0.12285252529999999,-0.08315631440000004,0.1644306825,0.025308706191267894,1.142860644151529,1.6884263956748895,0.6815402504303313,0.14286064415152888,0.21105782557385672,0.08519435828850017,2.8197398063578922,4.165794965775922,1.6815402504303312
Cl,-0.3311197279,-0.416044487,-0.0543401754,0.27677955249999997,0.08492475910000002,-0.19185479339999995,0.1808521558,0.023505436819868306,-3.8989775350448994,-1.7258871776513043,-1.1963301656830305,-4.898977535044899,-2.1685384015013103,-1.5031619324552528,-0.639862579251049,-0.28323595380129823,-0.19633016568303038
N,-0.1230841404,-0.1573021495,-0.094388618,0.028695522400000006,0.03421800909999999,0.005522486699999982,0.03145676575,0.0009819036466124538,-3.597057328504832,-22.287811105095177,-4.289315199921225,-4.597057328504833,-28.483934510879042,-5.481766364357944,-2.7584485621052695,-17.09168769931131,-3.2893151999212242
H,0.1330418172,0.000187721,0.1639561667,0.030914349499999993,0.1328540962,0.1019397467,0.08188422285,0.004107097962433421,1.0014129861657965,1.3051024895277672,4.303561917096138,0.00141298616579652,0.001841489763089631,0.006072293385956578,1.2341069744148392,1.6083634892924448,5.303561917096138
H,0.1330365208,0.0001810943,0.1639487928,0.03091227199999999,0.1328554265,0.10194315450000002,0.08188384925,0.004106863080644007,1.0013630929858932,1.305006907550619,4.303679807165259,0.001363092985893203,0.0017764243306793096,0.005858330309722949,1.234039113938639,1.608237390770559,5.303679807165259
H,0.1180356098,0.0641296532,0.1479415456,0.029905935800000005,0.0539059566,0.024000020799999994,0.0419059462,0.0016121080773171866,2.18965801267313,4.918146145940008,3.9468957129239866,1.18965801267313,2.6720665675423088,2.144378749050882,2.744437812276946,6.164225724337707,4.946895712923987
N,-0.1231936605,-0.1573786785,-0.0944728349,0.0287208256,0.03418501800000001,0.005464192400000012,0.031452921800000005,0.000981821940110861,-3.603732503519523,-22.545630073348025,-4.2893495547704585,-4.603732503519523,-28.801818636547218,-5.479601481233186,-2.7635742330163455,-17.289441510148837,-3.289349554770459
H,0.1178612923,0.0641202444,0.1477479132,0.029886620899999994,0.053741047900000005,0.02385442700000001,0.0418138344,0.001606138325356041,2.1931334967511864,4.940856148001373,3.943613856325926,1.1931334967511862,2.6879809102100825,2.145449785525938,2.749256275667077,6.193731385792663,4.943613856325927
H,0.1330166884,0.0002955147,0.1639423096,0.030925621200000003,0.1327211737,0.1017955525,0.08182339745,0.004104484743065603,1.0022265829314316,1.3067043218808603,4.301180808617031,0.002226582931431686,0.0029030217209145754,0.009555659305559882,1.2352385458146382,1.6105056220408058,5.301180808617031
H,0.1330358547,0.0002566993,0.1639777957,0.030941941,0.13277915540000002,0.10183721440000001,0.08186054820000001,0.004108444792416632,1.0019332801088143,1.3063579506157426,4.299531651876656,0.0019332801088144287,0.002520682655278913,0.008296160218261678,1.2349664012096886,1.6101952185762063,5.299531651876656
