Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
P,0.5137253724,0.4883366208,0.5606187821,0.0468934097,0.025388751600000037,-0.021504658099999963,0.03614108065000002,0.0011905651305503322,20.234369160553737,23.88902767070735,10.95517207399828,19.234369160553737,22.70841129066827,10.413758008302818,22.08138434423846,26.06964405074643,11.95517207399828
P,0.5137257232,0.4883348997,0.5606045066,0.04687878340000007,0.025390823499999993,-0.021487959900000075,0.03613480345000003,0.0011902909152041313,20.232731845030553,23.907608055430064,10.95859759875934,19.232731845030553,22.72597780210853,10.41697041352825,22.079020264939427,26.089238308751593,11.95859759875934
C,0.0332675582,0.0188286239,0.037109764,0.003842205800000005,0.014438934299999998,0.010596728499999993,0.009140570050000001,5.5477357113279e-05,2.304017561739304,3.1394178118274922,8.65845296470063,1.304017561739304,1.7768336614456068,4.9004725098275514,2.570117934534823,3.502001962209377,9.65845296470063
H,0.0414590309,-0.0152789991,0.0496085327,0.0081495018,0.056738029999999995,0.048588528199999995,0.0324437659,0.00046238667761345397,0.7307097356041442,0.8532678892710317,5.087308637688748,-0.26929026439585585,-0.3144569235995093,-1.8748384226383015,0.8743435875373186,1.0209927021415728,6.087308637688748
C,0.0332663114,0.0188310791,0.0371089871,0.003842675699999999,0.0144352323,0.0105925566,0.009138954,5.54699163830651e-05,2.3045220685502925,3.1405365726344097,8.657069707964169,1.3045220685502927,1.7777652564065598,4.900512187380268,2.5707232366464927,3.5033078888622597,9.657069707964169
H,0.041458353,-0.0152578625,0.0496042873,0.008145934299999998,0.0567162155,0.0485702812,0.032431074899999995,0.00046200656520764153,0.7309788326761683,0.8535744899084504,5.0894533976292955,-0.26902116732383174,-0.3141398839585059,-1.8730647631174737,0.8746050289621317,1.0212888637754067,6.0894533976292955
C,-0.0446704066,-0.0618282536,-0.0388269953,0.005843411299999997,0.017157847000000004,0.011314435700000007,0.01150062915,0.00010026035704347106,-2.603497198686991,-3.9480896603619366,-7.644576824499762,-3.603497198686991,-5.464545934005349,-10.580849169388442,-2.2629293348984865,-3.431633386718524,-6.644576824499762
H,0.03781098,0.0045351254,0.0482462936,0.010435313599999996,0.0332758546,0.022840541000000006,0.0218555841,0.00034724397805900245,1.1362887731815008,1.655432767551346,3.6233678688870468,0.1362887731815008,0.19855595364400516,0.4345940691231361,1.449888941394761,2.112309581458687,4.623367868887047
H,0.0350730632,-0.0017920875,0.0414554489,0.0063823857,0.036865150699999995,0.030482764999999995,0.021623768199999997,0.00023528761065602494,0.9513880327091678,1.150586674141929,5.495290452283383,-0.04861196729083222,-0.05879018848847867,-0.28078646202782764,1.1245159212111944,1.3599635367723368,6.495290452283383
C,-0.0404467843,-0.0512558172,-0.0340537654,0.0063930188999999985,0.010809032900000001,0.004416014000000003,0.0086010259,6.91023516204218e-05,-3.741942935523861,-9.159115958418603,-6.326711203685008,-4.741942935523861,-11.606805866104583,-8.017466865302088,-3.150491419079684,-7.711426050732624,-5.326711203685008
H,0.0316664295,0.0139986251,0.0376929078,0.006026478299999999,0.0176678044,0.011641326100000002,0.01184714135,0.0001064746398252445,1.7923239799960657,2.7201737351898423,5.254549659624595,0.7923239799960656,1.2024940268617677,2.3228533155093256,2.1334234263992644,3.2378534435179165,6.254549659624595
