Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
P,0.5069772321,0.4811603882,0.539036755,0.032059522900000026,0.025816843899999997,-0.006242679000000029,0.02893818340000001,0.0008276756982177759,19.637459716754922,81.21148502109394,15.813623729877765,18.637459716754922,77.07594579186241,15.008345248955642,20.879266152281307,86.34702425032548,16.813623729877765
P,0.5112320426,0.4873834501,0.5676401948,0.05640815220000006,0.023848592499999988,-0.032559559700000074,0.040128372350000024,0.0013452550354957793,21.436570841654504,15.701442135902067,9.063087916572446,20.436570841654504,14.968981601431143,8.640301642428193,23.8018321123144,17.43390267037299,10.063087916572446
C,0.0340892639,0.0166092665,0.0376827475,0.0035934836000000026,0.0174799974,0.013886513799999996,0.0105367405,6.281408398494268e-05,1.9501870120415465,2.4548467953130184,9.486411430957963,0.9501870120415465,1.1960717239196497,4.622051565784241,2.1557639076079043,2.7136218667063874,10.486411430957963
H,0.0399256216,-0.0346687385,0.0499504526,0.010024830999999998,0.0745943601,0.06456952910000001,0.04230959555,0.000747795853555643,0.5352364648812102,0.6183353379914923,3.9826727852070536,-0.4647635351187897,-0.5369210366442024,-3.458286578596687,0.6696277377141814,0.7735917126271871,4.982672785207053
C,0.0334180909,0.0227575769,0.0364398954,0.0030218044999999957,0.010660514000000003,0.007638709500000007,0.006841159249999999,3.221398917751296e-05,3.134754187274647,4.3748346366621185,11.05898508656005,2.134754187274647,2.979243666747633,7.531121520270432,3.4182118610791177,4.7704256065766035,12.05898508656005
H,0.0451270548,0.0123917684,0.0498441269,0.004717072100000004,0.032735286399999994,0.02801821429999999,0.01872617925,0.00015441470616294956,1.378544676487083,1.6106327946817087,9.566751120891274,0.3785446764870828,0.44227545222252096,2.6270042384978574,1.5226421510703512,1.7789901371408963,10.566751120891274
C,-0.0448556875,-0.0624096933,-0.038550149,0.006305538499999999,0.0175540058,0.011248467300000002,0.01192977215,0.0001106874594011233,-2.5552963814105607,-3.987715508583111,-7.113696554227685,-3.5552963814105607,-5.548284191571592,-9.897599277206856,-2.1960884278618615,-3.4271468255946296,-6.113696554227685
H,0.0386445255,0.0061305114,0.0486883802,0.0100438547,0.0325140141,0.022470159400000002,0.0212789344,0.0003265660333341513,1.1885498167388688,1.7198153698900773,3.847579107252517,0.18854981673886892,0.27282901250802877,0.6103743615486592,1.4974582975283879,2.166801727272126,4.847579107252517
H,0.0333015893,-0.0080201545,0.0413619168,0.008060327500000006,0.0413217438,0.03326141629999999,0.024691035650000002,0.00033306678789909473,0.8059095826444769,1.0012077958327952,4.131542955295547,-0.19409041735552313,-0.24112486454763507,-0.9950159593391203,1.0009722000163992,1.2435404562132255,5.131542955295547
C,-0.040493769,-0.0512144153,-0.0338005116,0.0066932573999999995,0.010720646300000004,0.004027388900000005,0.008706951850000002,7.175604518025764e-05,-3.7771761017803547,-10.05459616775523,-6.0499345206715045,-4.777176101780355,-12.716530876866631,-7.651642875709517,-3.1528427162082555,-8.392661458643827,-5.0499345206715045
