Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.542033677,0.4185698237,0.6301437449,0.08811006789999998,0.12346385330000004,0.03535378540000006,0.10578696060000001,0.01087840849745864,4.3902216115265205,15.331701283676376,6.15177913170125,3.3902216115265205,11.839462704324706,4.750533437053453,5.103872332324167,17.82393986302805,7.15177913170125
O,-0.3709377153,-0.4038663849,-0.2167730276,0.15416468770000002,0.03292866959999996,-0.12123601810000006,0.09354667864999999,0.005076438065260478,-11.264886185987923,-3.0596329466548178,-2.4061133637933607,-12.264886185987923,-3.3312409235255127,-2.6197074759812193,-6.583109194305265,-1.788024969784123,-1.406113363793361
H,0.1067634464,0.0820708531,0.1605154156,0.053751969199999985,0.02469259330000001,-0.029059375899999976,0.03922228125,0.0013272755145297265,4.323703270162391,3.6739758887939535,1.9862239093558647,3.3237032701623916,2.8242469274778905,1.5268436546879107,6.5005491181033594,5.5237048501100166,2.9862239093558647
O,-0.3752295826,-0.4084357659,-0.1864700304,0.1887595522,0.033206183300000025,-0.1555533689,0.11098286775000002,0.006267984289979123,-11.299991306137244,-2.412224082663375,-1.9878706970147175,-12.299991306137244,-2.625695404659282,-2.1637885931581478,-5.6155213237047885,-1.1987527606674677,-0.9878706970147176
H,0.1074862106,0.0825294643,0.1697069359,0.06222072529999999,0.024956746300000013,-0.037263978999999975,0.0435887358,0.001552826855914092,4.306899998418462,2.884453391303169,1.7274985156754517,3.3068999984184617,2.2147249573106524,1.326398300599688,6.800042515958897,4.554181825295686,2.727498515675452
Cl,-0.288760126,-0.47344397,-0.1816511703,0.10710895570000001,0.18468384399999999,0.07757488829999998,0.14589639985,0.01978129366550171,-1.5635375555644164,-3.7223402099310543,-2.695947543441505,-2.5635375555644164,-6.103057063634858,-4.420209000319849,-0.983579106681362,-2.34162335622725,-1.695947543441505
Cl,-0.2874467319,-0.4710344333,-0.1915026048,0.09594412709999997,0.18358770140000003,0.08764357430000005,0.13976591425,0.017614161757118444,-1.5657188891630185,-3.279723975155128,-2.9959804793513003,-2.5657188891630187,-5.3744320340892315,-4.909466035467221,-1.043112383561876,-2.185015916221024,-1.9959804793513
N,-0.0634223426,-0.0998742513,-0.0574148206,0.006007522000000001,0.036451908699999994,0.030444386699999992,0.021229715349999997,0.00021898564345724142,-1.7398908551529433,-2.0832195841212338,-10.557155279664393,-2.739890855152943,-3.280547323359285,-16.624866509019853,-1.5750840668598516,-1.885891844883182,-9.557155279664393
C,0.0421236568,0.0357838099,0.0449464627,0.0028228059000000028,0.006339846900000001,0.0035170409999999985,0.004581326400000002,1.789615723441673e-05,6.6442703529638845,11.977016133732878,14.922618944504812,5.6442703529638845,10.174407946907646,12.676680993191903,7.089518628596535,12.779624320558112,15.922618944504812
H,0.1154414021,0.0931994451,0.1260557876,0.01061438549999999,0.022241957000000007,0.011627571500000017,0.016428171249999998,0.00023608470587242335,5.1902538117486685,9.928247020454773,10.875938329166594,4.1902538117486685,8.015383530430224,8.78048428710264,5.667477353723863,10.841110510479322,11.875938329166594
N,-0.0686592865,-0.1065554434,-0.0596194142,0.009039872300000001,0.037896156900000005,0.028856284600000004,0.023468014600000003,0.000342576419036764,-1.8117743886583917,-2.379352971172179,-7.595161106424035,-2.8117743886583915,-3.6926251898693843,-11.78727307906772,-1.5732311420739338,-2.0660807524749734,-6.595161106424035
H,0.1148191624,0.0901170175,0.1272485498,0.012429387400000005,0.0247021449,0.012272757499999995,0.018565766150000003,0.0003070325285730344,4.648145449102276,9.35561241228795,9.237716928832707,3.648145449102276,7.3428500074249845,7.250318507249999,5.1513158195424555,10.368374817150917,10.237716928832707
H,0.1118725878,0.0898693618,0.1266876822,0.014815094400000006,0.022003226,0.0071881315999999945,0.018409160200000003,0.0003259798702945345,5.084372073440504,15.56351414044786,7.551257169174701,4.084372073440504,12.502464729499398,6.0660674426752195,5.7576867228469135,17.62456355139632,8.5512571691747
H,0.1219711448,0.0959521601,0.1352738903,0.013302745500000004,0.026018984699999997,0.012716239199999993,0.0196608651,0.0003461239316324939,4.68777495380133,9.591762382072844,9.168870050171218,3.68777495380133,7.545639759591818,7.212959166962938,5.199045691433149,10.637885004553869,10.168870050171218
C,0.043716393,0.0367197476,0.0456691098,0.001952716800000004,0.006996645400000001,0.005043928599999997,0.0044746811000000025,1.366246701622275e-05,6.24819331275528,8.66713160848471,22.38747216186183,5.24819331275528,7.279989570034758,18.80444086925453,6.527286605092206,9.054273646934659,23.38747216186183
C,-0.0822616923,-0.094946098,-0.0714706967,0.010790995599999992,0.012684405700000012,0.0018934101000000203,0.011737700650000002,0.00013687736609731494,-6.485261843997935,-43.44631535450197,-7.623179116114184,-7.485261843997935,-50.14555378150723,-8.798641155965264,-5.634532542584942,-37.74707692749671,-6.623179116114184
