Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Pt,0.540207723,0.4170356486,0.6276005679,0.08739284489999999,0.1231720744,0.03577922950000001,0.10528245965,0.010764357994050459,4.385797069924155,15.098360991815094,6.181372440937668,3.3857970699241546,11.655802945672708,4.771965589141726,5.0953154029205825,17.540919037957476,7.181372440937668
O,-0.3958352906,-0.4292817801,-0.2528313467,0.14300394389999999,0.03344648950000001,-0.10955745439999998,0.0882252167,0.00478297990810994,-11.834883018141557,-3.6130384077270064,-2.768002614506914,-12.834883018141557,-3.9183256169194096,-3.0018876989867413,-7.559279029866496,-2.3077511985346026,-1.7680026145069139
H,0.1089364323,0.0831636927,0.1607377684,0.05180133610000001,0.025772739599999997,-0.026028596500000015,0.038787037850000004,0.0013350623462373796,4.226808402627093,4.185259558655033,2.1029656858599823,3.2268084026270922,3.19508939715593,1.605435283357488,6.2367358260974335,6.175429720154136,3.1029656858599823
O,-0.3792214036,-0.4139364515,-0.1789085861,0.20031281750000002,0.03471504790000002,-0.1655977696,0.11751393270000002,0.006953869054496463,-10.923833511403561,-2.2900151645520714,-1.893145972049442,-11.923833511403561,-2.4996499198018185,-2.0664501486531184,-5.1536321256235365,-1.0803804093023242,-0.893145972049442
H,0.1068817838,0.0823666021,0.1700406704,0.0631588866,0.0245151817,-0.038643704900000006,0.04383703415,0.0015483515809686954,4.359820176246134,2.7658265188750053,1.6922683339386162,3.359820176246134,2.131436473628593,1.3041173860718438,6.936137471092047,4.4002165641214175,2.692268333938616
Cl,-0.2888448872,-0.4783668657,-0.1841201251,0.10472476210000001,0.18952197849999997,0.08479721639999996,0.1471233703,0.01984764411113381,-1.5240706618098125,-3.4063015210013443,-2.758133620052406,-2.5240706618098123,-5.641303877753235,-4.56784867406254,-0.971497483074239,-2.171299164249454,-1.7581336200524058
Cl,-0.2491086268,-0.4246298716,-0.1465368668,0.10257176000000001,0.17552124479999998,0.07294948479999996,0.1390465024,0.018003522996526848,-1.4192505704016067,-3.414809953531024,-2.428627789949202,-2.4192505704016067,-5.820875538246436,-4.13983216823032,-0.8348668388659924,-2.008744368815612,-1.4286277899492021
N,-0.0679462849,-0.1047881821,-0.0597357112,0.008210573700000001,0.0368418972,0.0286313235,0.02252623545,0.0003024931122084237,-1.8442667197931382,-2.3731450940435916,-8.275461299373026,-2.844266719793138,-3.6599140134056327,-12.762589549619411,-1.621407032208971,-2.086376174681551,-7.275461299373026
C,0.0431999531,0.0359233116,0.04512743,0.0019274769000000025,0.0072766415,0.005349164599999998,0.004602059200000001,1.4025558400831368e-05,5.93679832928419,8.076018655324239,22.41269563334323,4.93679832928419,6.715686333525802,18.637479702091348,6.20168383999679,8.436350977122675,23.41269563334323
H,0.1168085998,0.0944066215,0.1315168254,0.014708225600000013,0.0224019783,0.007693752699999987,0.018555101950000007,0.00032949335072270477,5.214209130806988,15.182265970155266,7.941719346485948,4.214209130806988,12.270555758830168,6.418627512757209,5.870768359774726,17.093976181480365,8.941719346485948
