Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
C,-0.047881911,-0.0636848924,-0.0389938255,0.008888085499999997,0.0158029814,0.006914895900000002,0.012345533449999998,0.00014045824983810964,-3.0299289601138177,-6.9244586892479445,-5.387201889540781,-4.029928960113818,-9.209812167960472,-7.165197994551248,-2.4674980317321644,-5.6391052105354165,-4.387201889540781
C,-0.0181488137,-0.0282360333,-0.0193136881,0.0011648744000000016,0.010087219600000003,0.0089223452,0.005626047000000002,1.1750343879218259e-05,-1.7991889162401098,-2.034085578755684,-15.580060562752493,-2.79918891624011,-3.164642553843355,-24.23955174909841,-1.9146691423273858,-2.164642553843355,-16.580060562752493
C,-0.0462528398,-0.0617892926,-0.0358435397,0.010409300099999998,0.015536452799999996,0.005127152699999998,0.012972876449999997,0.0001617235996846852,-2.977052767154161,-9.021155114026547,-4.44341496120378,-3.977052767154161,-12.05138528446793,-5.935969950563728,-2.3070607017838727,-6.990924943585163,-3.4434149612037808
H,0.0313562581,0.0130640574,0.0461124661,0.014756208,0.018292200699999997,0.003535992699999997,0.01652420435,0.0002699235183069456,1.7141872984151112,8.86773835817026,2.124953653404723,0.714187298415111,3.6945939961923595,0.8853261894925851,2.520881268266426,13.04088272014816,3.124953653404723
H,0.0303569691,0.0045529844,0.0363899196,0.006032950500000002,0.025803984699999997,0.019771034199999996,0.0159184676,0.00015567416239785738,1.1764450123860135,1.535426462415406,5.031861126657676,0.1764450123860134,0.23028559628914105,0.7546861854742548,1.4102441937969372,1.8405673285416708,6.031861126657676
H,0.0311509217,0.0169697681,0.0430557012,0.011904779499999997,0.0141811536,0.0022763741000000025,0.013042966549999998,0.00016882350666363115,2.196642288678123,13.684447428917753,2.6166735553564857,1.196642288678123,7.454736064691644,1.4254584135724653,3.036121208079997,18.914158793143866,3.6166735553564857
H,0.0332636605,0.0066846885,0.0454722197,0.012208559199999997,0.026578972,0.014370412800000003,0.019393765599999998,0.0003244909531371423,1.2515028986072148,2.314732427171472,2.724618028636828,0.25150289860721475,0.46517024897155346,0.5475411463786818,1.710834403226731,3.164294605371391,3.724618028636828
C,-0.021387822,-0.0298979667,-0.0227918685,0.0014040464999999988,0.0085101447,0.007106098200000001,0.004957095599999999,1.194863888052854e-05,-2.5132148458063237,-3.0097841878965306,-15.232986941671816,-3.5132148458063237,-4.207367511470641,-21.294142822192875,-2.6781998783169927,-3.20736751147064,-16.232986941671818
C,0.0057300278,-0.0159461729,0.0132599952,0.0075299673999999995,0.0216762007,0.014146233299999998,0.01460308405,0.00016322108462685716,0.2643465005377995,0.40505678638850107,0.7609631616731833,-0.7356534994622005,-1.127238082521939,-2.1176948123307944,0.6117305972351511,0.937351655298941,1.7609631616731833
H,0.0252561232,0.0018164511,0.0234963622,0.001759761000000002,0.0234396721,0.021679911099999997,0.01259971655,4.124822081436815e-05,1.0774947316775818,1.1649551090640775,14.352018938935442,0.0774947316775818,0.08378498839877624,1.0322146586951284,1.0024185534574948,1.0837849883987762,13.352018938935442
