Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
C,-0.0450129021,-0.058333563,-0.0347390515,0.010273850600000002,0.013320660899999996,0.003046810299999994,0.01179725575,0.00013685447997986152,-3.3791793393674645,-14.773779023918912,-4.381307832138419,-4.3791793393674645,-19.145781081283634,-5.677867556298705,-2.6079075025474157,-11.401776966554191,-3.3813078321384187
C,-0.0195455689,-0.0302920515,-0.0212688305,0.0017232615999999978,0.0107464826,0.009023221000000001,0.0062348720999999985,1.8519000799648135e-05,-1.8187875631046015,-2.1661409933326468,-11.342194882077118,-2.8187875631046015,-3.357121752864082,-17.57832444011985,-1.97914343619744,-2.357121752864082,-12.342194882077118
C,-0.0463537984,-0.0593993168,-0.0357184931,0.010635305300000002,0.013045518399999997,0.0024102130999999957,0.01184041185,0.00013874307098076752,-3.5532354467416187,-19.232240667848036,-4.358483098740945,-4.553235446741619,-24.64484024254955,-5.585106879818484,-2.7379895535619347,-14.819641093146519,-3.358483098740945
H,0.0307649836,0.01442366,0.0453807185,0.0146157349,0.0163413236,0.001725588699999999,0.01547852925,0.00023884045365271363,1.882649432387472,17.82868860928448,2.1049221137693186,0.882649432387472,8.358689414227161,0.9868583481217903,2.777052802503709,26.298687804341803,3.1049221137693186
H,0.0341520273,0.0185624924,0.0430788129,0.0089267856,0.0155895349,0.0066627493,0.01225816025,0.00013916443565601744,2.1907021292854605,5.125816050140143,3.825792265023145,1.1907021292854605,2.7860109339548464,2.079415058428198,2.763316107653731,6.465621166325439,4.8257922650231455
H,0.0290905337,0.0168962696,0.0408986632,0.011808129499999997,0.012194264100000001,0.0003861346000000043,0.012001196799999999,0.00014399144965000093,2.385591574976632,75.3378062986318,2.4636021903384453,1.3855915749766317,43.75746074037346,1.4309014480235844,3.3539263103215875,105.91815185689016,3.4636021903384453
H,0.0330766405,0.0127282518,0.0455408011,0.012464160600000003,0.020348388699999997,0.007884228099999994,0.01640627465,0.00025362558470802527,1.6255164469115926,4.19529218085408,2.653739915706798,0.6255164469115926,1.6143941599051412,1.0211880453465914,2.238054411649803,5.7761902018030185,3.653739915706798
C,-0.0204323343,-0.0262330583,-0.0220582587,0.0016259243999999992,0.005800724,0.004174799600000001,0.0037133241999999997,9.431538689265595e-06,-3.5223765688558877,-4.894207209371198,-12.566595531747977,-4.522376568855887,-6.283668873590961,-16.134242342386898,-3.8026733731858298,-5.283668873590961,-13.566595531747977
C,0.0075263185,-0.0126168174,0.0137909912,0.0062646727,0.0201431359,0.013878463200000002,0.0132039043,0.00012619015356511994,0.3736418468983273,0.5423020107874768,1.2013905371305353,-0.6263581531016728,-0.9090932632944546,-2.013962740623305,0.6846496627171145,0.9936972848694082,2.201390537130535
H,0.0310034476,0.0145318557,0.0302151708,0.0007882768000000012,0.0164715919,0.015683315099999998,0.00862993435,1.2984173753837938e-05,1.8822374782124127,1.9768427403463957,39.330661006387544,0.8822374782124126,0.9265806117738464,18.434965611064513,1.8343807315915837,1.9265806117738464,38.330661006387544
C,0.0038312095,-0.0135394773,0.0132257532,0.0093945437,0.0173706868,0.0079761431,0.01338261525,0.00016318967624161316,0.2205560173936243,0.48033359632176115,0.40781219634967475,-0.7794439826063757,-1.6974967888928674,-1.441206484568271,0.7613834359157291,1.6581639815363896,1.4078121963496748
H,0.0239733259,-0.0252060721,0.0298907387,0.005917412800000001,0.049179398,0.0432619852,0.0275484054,0.0002910147992214944,0.48746684333142914,0.5541429915703452,4.051318829742619,-0.5125331566685709,-0.5826378975322658,-4.259644028890463,0.6077898452518674,0.6909238806729563,5.051318829742619
H,0.0443484849,0.0166496838,0.0527089549,0.008360470000000002,0.0276988011,0.019338331099999998,0.01802963555,0.00023157499563251704,1.6010976337889222,2.2932943215560107,5.304544469389877,0.6010976337889223,0.8609679767040497,1.9914770102637764,1.9029327193515246,2.7256206664079716,6.304544469389877
H,0.0343583899,-0.0031180542,0.0572971547,0.022938764799999997,0.0374764441,0.014537679300000002,0.030207604449999998,0.0008596633367502476,0.9167996250743544,2.3634026580844987,1.4978308640228093,-0.08320037492564562,-0.21448087660043508,-0.13592947254073595,1.528884505347187,3.9412861927694327,2.4978308640228093
N,-0.0901165258,-0.1055238291,-0.0668754993,0.023241026499999998,0.015407303299999994,-0.007833723200000003,0.019324164899999996,0.00035808154428883726,-5.848948647619602,-11.503664796325706,-3.8774761433192295,-6.848948647619602,-13.47045669165333,-4.540411719766337,-4.340506446705701,-8.536872900998082,-2.8774761433192295
H,0.0304864594,-0.0080991975,0.0496196561,0.0191331967,0.0385856569,0.0194524602,0.0288594268,0.0007382669632664123,0.7900982346629428,1.5672289821726508,1.5933803367003485,-0.20990176533705715,-0.416358517983242,-0.4233060281035004,1.2859611598319063,2.5508164823285435,2.5933803367003487
H,0.0494209621,0.0143177429,0.0578451198,0.008424157699999997,0.0351032192,0.026679061500000004,0.02176368845,0.00029571505431846774,1.407875494792227,1.852425060004453,5.86657608510819,0.4078754947922269,0.5366659130794387,1.699605279231656,1.6478579776523743,2.1681842069294675,6.86657608510819
N,-0.0855249691,-0.1024623781,-0.0752327057,0.010292263400000001,0.016937409,0.006645145599999999,0.013614836200000001,0.00017432427474153064,-5.049471799376162,-12.87029272917662,-8.309636644161282,-6.049471799376162,-15.419132140611037,-9.955281371831195,-4.441807226831448,-11.321453317742204,-7.309636644161283
Pt,0.1867019584,0.0914534864,0.3767782657,0.1900763073,0.095248472,-0.0948278353,0.14266238965,0.018104477833727445,1.9601569923347433,1.9688518440745215,0.982247398700385,0.9601569923347433,0.9644160505264641,0.4811409044035022,3.9557407881566857,3.973287637622579,1.982247398700385
