Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
N,-0.1279235152,-0.1630186432,-0.0934495358,0.03447397940000001,0.035095128,0.000621148599999996,0.034784553700000005,0.0012098687197123635,-3.6450505380689875,-205.94671741995526,-3.7107266821653893,-4.645050538068988,-262.4470910825542,-4.728744578875045,-2.6627495360609594,-150.4463437573563,-2.7107266821653893
N,-0.1242389292,-0.1596027767,-0.1059148286,0.018324100600000004,0.035363847500000004,0.0170397469,0.026843974050000004,0.0006480106991930587,-3.513162112804609,-7.291125269002675,-6.7800833400794565,-4.513162112804609,-9.366499258272434,-8.709992385656296,-2.9950029786775882,-6.215751279732917,-5.7800833400794565
Pt,0.1620834726,0.0250819564,0.3936316634,0.2315481908,0.1370015162,-0.09454667459999999,0.1842748535,0.03172245321296689,1.1830779475709188,1.7143222993905278,0.6999988729775901,0.18307794757091891,0.2652865000923047,0.10832283471247058,2.8731920223814282,4.163358098688751,1.6999988729775901
O,-0.2837122927,-0.2982949737,-0.241988527,0.04172376569999997,0.014582681000000042,-0.02714108469999993,0.028153223350000006,0.0006084443653218431,-19.455427482779,-10.453240754228247,-6.799776768471312,-20.455427482779,-10.990532508083614,-7.149282158393489,-16.59424127840411,-8.91594900037288,-5.799776768471312
O,-0.3264264398,-0.3475812254,-0.1061112336,0.22031520620000003,0.021154785600000003,-0.19916042060000003,0.12073499590000002,0.004660720951580792,-15.43038279716718,-1.6390126050979026,-1.4816337257432572,-16.43038279716718,-1.7452324329947713,-1.5776542681510106,-5.015944647531667,-0.5327927772010338,-0.4816337257432573
C,-0.0088837168,-0.0235541179,0.0357813953,0.0446651121,0.014670401100000001,-0.029994711,0.0296677566,0.0006552551096834634,-0.6055537772583464,-0.296176109181382,-0.19889610441613556,-1.6055537772583464,-0.7852757074405551,-0.5273493514863472,2.439019564366239,1.1929234890777909,0.8011038955838644
C,0.1653994914,0.1497311381,0.1891528673,0.023753375900000012,0.015668353299999993,-0.00808502260000002,0.019710864600000003,0.0003721762856689055,10.556277882756197,20.45751750898007,6.963199340435644,9.556277882756197,18.51956951858114,6.303572962864614,12.072287602807634,23.395465499379007,7.963199340435644
O,-0.3067742312,-0.3474012108,-0.2087974109,0.09797682030000002,0.0406269796,-0.057349840700000015,0.06930189995000001,0.003980502279600967,-7.550997741412212,-5.349173205288431,-3.131089886982176,-8.550997741412212,-6.057579350869931,-3.545748981608867,-5.1393781412192405,-3.640767059706932,-2.131089886982176
H,0.1308165496,0.0016950437,0.164391121,0.0335745714,0.1291215059,0.09554693449999999,0.08134803865,0.004335199219115071,1.0131275087614975,1.3691339265311544,3.896298423038097,0.013127508761497493,0.017740429966384745,0.05048593710417402,1.2731505867606212,1.7205274230959238,4.896298423038097
H,0.1358080724,0.0759188096,0.1602002562,0.024392183799999995,0.05988926280000001,0.035497079000000015,0.0421407233,0.0014608299058641026,2.267653099246364,3.825894305275089,5.567688137869806,1.2676530992463642,2.138733995549323,3.1124236444954967,2.674941194968257,4.513054615000855,6.567688137869806
H,0.1311636098,-0.0033582515,0.1591398765,0.027976266700000002,0.1345218613,0.10654559459999999,0.081249064,0.0037634194687092087,0.9750356450056048,1.2310561529307944,4.688388597610845,-0.02496435499439525,-0.03151938390890542,-0.1200393010265376,1.1830038252674697,1.493631689770494,5.688388597610845
H,0.1311582498,-0.0033731197,0.1591359495,0.027977699700000025,0.1345313695,0.10655366979999997,0.08125453460000001,0.0037638782561007426,0.9749268909360206,1.2309125537035237,4.687956880171956,-0.025073109063979315,-0.03165653239659701,-0.12056458308472005,1.1828910245353594,1.4934816398036443,5.687956880171956
H,0.1308170431,0.0016838443,0.1643916456,0.033574602499999995,0.12913319880000002,0.09555859630000002,0.08135390065,0.004335595819263477,1.0130395925729982,1.3689720042486642,3.8963095125251304,0.013039592572998353,0.017621065662305042,0.05015232272668009,1.2730393665428195,1.7203229428350233,4.89630951252513
H,0.1328067933,0.0707181474,0.1497109414,0.016904148099999988,0.0620886459,0.045184497800000015,0.039496396999999996,0.001049555665622057,2.1389867885651537,2.9392114500827753,7.856461769877661,1.1389867885651537,1.5650975631735355,4.183478929648046,2.4112450711378774,3.3133253369920146,8.856461769877662
H,0.028958837,0.0106847639,0.0903745844,0.0614157474,0.018274073100000003,-0.043141674299999995,0.039844910250000004,0.0011223158574787352,1.5846952587707441,0.671249724770186,0.4715213642421618,0.5846952587707444,0.24766688065233483,0.17397433642564447,4.945508530334159,2.094832568888037,1.4715213642421618
H,0.028947006,0.0106706155,0.0903512353,0.0614042293,0.018276390500000003,-0.0431278388,0.0398403099,0.001122247673038342,1.583846985541264,0.6711907391009818,0.4714171373860074,0.5838469855412641,0.24741827545506406,0.17377655613698906,4.943603897060527,2.0949632027468996,1.4714171373860074
