Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
N,-0.1279815231,-0.1630753051,-0.0935115851,0.03446993799999999,0.03509378200000002,0.0006238440000000262,0.034781860000000005,0.0012096804897255163,-3.6468432812399625,-205.14988218207537,-3.7128445980958835,-4.6468432812399625,-261.4039809631786,-4.730942802972261,-2.664619763694889,-149.89578340097216,-2.7128445980958835
N,-0.1242652731,-0.1596325338,-0.1058812958,0.018383977300000007,0.0353672607,0.016983283399999993,0.026875619000000003,0.0006501909178719823,-3.5135679337472694,-7.3169168866368945,-6.7594335584824705,-4.513567933747269,-9.399391745414793,-8.6832425429507,-2.993765807822374,-6.2344420278589965,-5.7594335584824705
Pt,0.1621033719,0.0250464913,0.3933927402,0.2312893683,0.1370568806,-0.0942324877,0.18417312445,0.03169979933514252,1.1827452309606994,1.7202493095170615,0.7008682374441851,0.18274523096069942,0.2657946522619502,0.10829071601558783,2.870288149546576,4.174703966772173,1.7008682374441852
O,-0.2835886782,-0.2981675311,-0.2418372157,0.0417514625,0.014578852899999994,-0.02717260960000001,0.0281651577,0.0006086884301473661,-19.45205704078406,-10.436563965501492,-6.792305256372756,-20.45205704078406,-10.97309148768692,-7.141487105990598,-16.588219756301957,-8.900036443316063,-5.792305256372756
O,-0.3263916593,-0.3475483099,-0.1065136697,0.21987798960000005,0.021156650599999993,-0.19872133900000005,0.12051732010000002,0.004651881800597633,-15.427378627692615,-1.6424590380804547,-1.4844217008431295,-16.427378627692615,-1.7489229473237393,-1.5806416573676,-5.034524212447883,-0.5359951288371702,-0.48442170084312963
C,-0.0088799766,-0.0235527883,0.0358513264,0.044731303,0.014672811699999998,-0.030058491300000004,0.029702057349999998,0.000656333986014645,-0.6051993838372506,-0.2954232303735084,-0.1985181741743584,-1.6051993838372507,-0.7835652183913834,-0.5265392850282049,2.4433848898912816,1.1927187576443665,0.8014818258256416
C,0.1653773022,0.1497125222,0.1893441557,0.023966853499999996,0.01566477999999999,-0.008302073500000007,0.019815816749999993,0.00037543548736972967,10.557269377546325,19.919999768732456,6.900250890255578,9.557269377546325,18.033148249048853,6.24664903133822,12.0872527861866,22.80685128841606,7.900250890255578
O,-0.3068458051,-0.3474725051,-0.2083148233,0.09853098179999997,0.040626700000000016,-0.05790428179999996,0.0695788409,0.004002988638294061,-7.552811454043765,-5.299190242266336,-3.114206308456779,-8.552811454043766,-6.0008084773447665,-3.526530424768386,-5.127534928999892,-3.5975720071879063,-2.114206308456779
H,0.1308275363,0.0017304498,0.1644420243,0.033614488,0.12909708649999999,0.09548259849999999,0.08135578724999999,0.004339532464989211,1.0134042513809947,1.3701715114089612,3.891998482916057,0.013404251380994568,0.018123195505618757,0.05147928476554515,1.2737857124296914,1.7222198273123035,4.8919984829160565
H,0.1357632522,0.0759181523,0.1601120442,0.024348792000000008,0.05984509989999999,0.03549630789999998,0.04209694595,0.0014571558896843211,2.2685775849126792,3.8247147444875544,5.575769516615032,1.268577584912679,2.1387619386747554,3.117943276200313,2.6754411717508058,4.5106675503003535,6.575769516615032
H,0.1311863994,-0.003337429,0.159185226,0.027998826600000026,0.1345238284,0.10652500179999996,0.08126132750000001,0.0037665093449397585,0.9751907967555286,1.2315080702491012,4.685424902770742,-0.024809203244471445,-0.031330006511203844,-0.11919888814197652,1.1833236378515082,1.4943461470094064,5.685424902770742
H,0.1327751386,0.0707014967,0.1496812869,0.01690614829999998,0.062073641900000004,0.045167493600000025,0.03948989509999999,0.0010494261954824926,2.138993855296897,2.9396171453711113,7.85365987828228,1.138993855296897,1.5653181317991036,4.1819990837297984,2.4113501692253694,3.313916158943119,8.85365987828228
H,0.1308323375,0.0017030391,0.164308887,0.03347654949999998,0.1291292984,0.09565274890000003,0.08130292395,0.004322803349787869,1.013188634346363,1.3677843972553094,3.9081786938644942,0.013188634346363024,0.01780439265556747,0.050872599638741176,1.272436922030082,1.7177644018550515,4.908178693864494
H,0.1311663579,-0.0033968283,0.1591107584,0.027944400499999994,0.1345631862,0.1066187857,0.08125379334999999,0.003760287567728872,0.974756629982354,1.2302368390226377,4.693833310183199,-0.02524337001764603,-0.031859566564168815,-0.12155667107619648,1.1824241302038967,1.4923332446094442,5.693833310183199
H,0.0288266345,0.0105659701,0.0911374099,0.06231077539999999,0.0182606644,-0.04405011099999999,0.040285719899999996,0.0011378361580831756,1.5786191492572417,0.6544054906013745,0.46262679793260936,0.5786191492572417,0.23986250795145564,0.16956890733861743,4.990914235300222,2.0689484732512935,1.4626267979326093
H,0.0290945847,0.0108051093,0.0894927307,0.060398146,0.018289475399999998,-0.0421086706,0.039343810699999995,0.0011046504054726082,1.5907828991092878,0.6909404710582338,0.4817132085478253,0.5907828991092878,0.25660058002401054,0.17889802941964478,4.893127262687917,2.125280362092457,1.4817132085478253
