Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
C,0.1547864463,0.1423180605,0.2270469228,0.0722604765,0.012468385799999981,-0.05979209070000002,0.04236443114999999,0.0009009714990938324,12.414313190405146,2.5887445059685783,2.1420623527164255,11.414313190405146,2.380215490608358,1.9695145589027496,18.2098089072605,3.7972735213287985,3.1420623527164255
C,0.1548677667,0.1422627864,0.227133265,0.07226549830000001,0.012604980299999985,-0.059660518000000023,0.0424352393,0.0009109051824411825,12.286236314070255,2.5958166622019596,2.143038799194165,11.286236314070255,2.384538236828583,1.9686128200405697,18.019327249563435,3.807095087575336,3.143038799194165
C,0.0315516063,0.0137649764,0.0362848428,0.0047332365000000015,0.0177866299,0.013053393399999998,0.0112599332,8.418832585467137e-05,1.773894575722858,2.4171190841455834,6.665968687598854,0.773894575722858,1.054513257832251,2.9081530998926413,2.040006623177109,2.779724910458916,7.665968687598854
H,0.0383367823,-0.0120446994,0.0554347992,0.017098016900000006,0.050381481699999994,0.03328346479999999,0.033739749299999997,0.0008614234255536409,0.7609300283838218,1.1518266661949212,2.2421771205525003,-0.2390699716161782,-0.3618823783033552,-0.7044500815764193,1.1003010893980916,1.6655357106931974,3.2421771205525003
C,0.0326238759,0.0112539626,0.0371828976,0.004559021699999999,0.0213699133,0.016810891600000002,0.0129644675,9.742589846181858e-05,1.526626497824865,1.9406392400983656,7.155893971726436,0.5266264978248648,0.6694447188036118,2.4685038459018527,1.7399648317712173,2.2118337613931196,8.155893971726437
H,0.0417664077,-0.0453784414,0.0496294987,0.007863091000000003,0.0871448491,0.0792817581,0.047503970050000004,0.0006852278786545683,0.47927569020255495,0.5268098072108721,5.311703463688769,-0.520724309797445,-0.5723692623309774,-5.77106908720756,0.5695058194782048,0.6259888767527217,6.311703463688769
C,-0.0465755481,-0.0626424382,-0.0404858073,0.0060897408,0.016066890099999995,0.009977149299999995,0.011078315449999997,9.784319617108605e-05,-2.89885272197138,-4.668222024100614,-7.648198770627479,-3.89885272197138,-6.2785908395697785,-10.286552458850137,-2.5198284825512074,-4.05785320863145,-6.648198770627479
H,0.0387527404,0.0160207067,0.0517032768,0.012950536400000004,0.022732033699999998,0.009781497299999994,0.017841285050000003,0.00029439202987787674,1.704763458977276,3.961841343042647,2.9923656598501966,0.7047634589772759,1.6378583164358704,1.2370689680467595,2.2744677173340637,5.285824369649423,3.9923656598501966
H,0.0376701556,0.0025197007,0.046727775,0.009057619400000001,0.035150454899999996,0.026092835499999995,0.02210403715,0.0003183794422210651,1.071683302738708,1.4436972785115672,4.158946621228089,0.07168330273870795,0.0965667644668208,0.27818575596143946,1.3293647303551683,1.7908277925563134,5.158946621228089
C,-0.0433162917,-0.0581772154,-0.0392756588,0.0040406329000000005,0.0148609237,0.0108202908,0.0094507783,6.004753722660974e-05,-2.914777881539086,-4.0032465393628796,-10.720174975558903,-3.914777881539086,-5.376677621270586,-14.398045266621473,-2.642881397742457,-3.629815457455173,-9.720174975558903
H,0.0295689894,0.0016914917,0.0302418872,0.0006728978000000024,0.0278774977,0.027204599899999998,0.014275197750000001,1.875870687183513e-05,1.0606758798154254,1.0869113866291413,43.9427642652419,0.06067587981542547,0.062176679907724,2.513742354336712,1.0848135483838637,1.1116460933505588,44.9427642652419
H,0.041105026,0.0183487064,0.0548126512,0.013707625199999997,0.0227563196,0.009048694400000005,0.018231972399999997,0.00031193510000821384,1.8063125638295219,4.542647169076677,2.998697834253596,0.8063125638295219,2.027773907360601,1.3385766047936594,2.4086782117438705,6.057520430792753,3.998697834253596
C,-0.0409030307,-0.0537499583,-0.0352900973,0.005612933399999999,0.012846927599999995,0.007233994199999996,0.009229930499999997,7.21089490134218e-05,-3.1838764857676956,-5.654280272992205,-7.28728238606929,-4.183876485767696,-7.430190958682276,-9.576090516235238,-2.7469678664648205,-4.878369587302132,-6.28728238606929
H,0.0411200968,0.0179211325,0.0521442302,0.011024133400000004,0.0231989643,0.012174830899999996,0.01711154885,0.0002557484771850377,1.772497093760345,3.3774675917675383,3.7300071858709534,0.7724970937603451,1.4719820461736355,1.6256273259538017,2.2476964715187737,4.282953137361441,4.730007185870953
H,0.0306137208,0.0159291064,0.0407933112,0.0101795904,0.0146846144,0.004505024,0.0124321024,0.00014948335977394176,2.084748020349789,6.795462310522653,3.0073627323944194,1.0847480203497886,3.5358538378485886,1.5648081871742108,2.7779627090514545,9.055070783196717,4.007362732394419
C,-0.0497186646,-0.0677631485,-0.0475178815,0.002200783099999999,0.018044483899999998,0.0158437008,0.010122633499999999,3.971199521534207e-05,-2.7553386882957622,-3.1380714157389287,-22.591351505743578,-3.7553386882957622,-4.276977289295945,-30.79047112820887,-2.633374374315023,-2.9991655421819123,-21.591351505743578
H,0.030147007,0.0050156312,0.0282695425,0.0018774644999999986,0.0251313758,0.023253911300000003,0.01350442015,4.718326590065907e-05,1.1995764672780072,1.2964273670382493,16.057298020814788,0.1995764672780071,0.21568978806588976,2.6714918977163102,1.1248704696859453,1.2156897880658897,15.057298020814788
H,0.0393675877,-0.0056181333,0.0478741997,0.008506612000000004,0.044985721,0.036479108999999996,0.0267461665,0.00038267607408725215,0.8751129652895859,1.079181722886927,4.627880958952868,-0.124887034710414,-0.1540096086228422,-0.6604431117817525,1.0642087897179642,1.312373054396696,5.627880958952868
O,-0.286157125,-0.2971703168,-0.2004450426,0.0857120824,0.011013191799999988,-0.07469889060000001,0.048362637099999994,0.0009439636030486034,-25.983123711692762,-3.8308082315749945,-3.3385856111226624,-26.983123711692762,-3.9782427076634517,-3.4670761516815043,-18.20044962805426,-2.683373755486537,-2.3385856111226624
O,-0.2858619675,-0.2965464439,-0.20028752,0.08557444749999998,0.010684476400000031,-0.07488997109999995,0.04812946195000001,0.0009143181647567916,-26.75488782023976,-3.8170927735876794,-3.3405061423271243,-27.75488782023976,-3.9597617617454284,-3.465362062664793,-18.745656081003595,-2.674423785429931,-2.3405061423271243
