Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
C,0.1547830927,0.1423156412,0.2270423184,0.07225922569999998,0.012467451500000004,-0.05979177419999998,0.042363338599999995,0.0009008883918423037,12.414974519852752,2.588702121169036,2.1420530209196533,11.414974519852752,2.3801876278827674,1.9695151701577123,18.210804220894698,3.7972166144553055,3.1420530209196533
C,0.1548749058,0.142266916,0.2271342478,0.072259342,0.012607989799999997,-0.05965135220000001,0.0424336659,0.0009110450468907114,12.283869852115524,2.5963352059603433,2.1433201785867353,11.283869852115524,2.3849738648506276,1.9688376902186568,18.015104025544186,3.807696547070059,3.1433201785867353
C,0.0315626675,0.0137755215,0.0362951724,0.004732504899999997,0.017787146000000004,0.013054641100000007,0.01125982545,8.417775560201535e-05,1.7744649703780468,2.417735367692336,6.669336464923687,0.7744649703780471,1.055220238877344,2.9108309005660007,2.0405281656764944,2.7802504965073287,7.669336464923687
H,0.0383441166,-0.0120372968,0.0554414387,0.0170973221,0.0503814134,0.0332840913,0.03373936775,0.000861387252753056,0.7610766354562017,1.1520253401059501,2.2426972116294164,-0.2389233645437982,-0.3616531601089557,-0.7040457405899839,1.1004343657417122,1.6657038403208562,3.2426972116294164
C,0.0326232129,0.0112566762,0.0371841785,0.004560965600000001,0.021366536699999997,0.016805571099999996,0.01296375115,9.745203887983753e-05,1.5268367240817273,1.9412141786719765,7.152698739933489,0.5268367240817273,0.6698181295368179,2.4680467223870304,1.7402997510588603,2.212610227807135,8.152698739933488
H,0.0417647294,-0.0453658781,0.049627947,0.0078632176,0.0871306075,0.0792673899,0.04749691255,0.0006851269263926919,0.4793347664883434,0.526884125397448,5.311404506979433,-0.5206652335116566,-0.5723145187097929,-5.769378441212157,0.5695810969755949,0.6260827695046889,6.311404506979433
C,-0.0465777426,-0.0626462898,-0.0404873658,0.006090376799999998,0.016068547200000005,0.009978170400000007,0.011079462000000002,9.786350707658497e-05,-2.8986903433310998,-4.667964239215635,-7.647760414429533,-3.8986903433310998,-6.278334332714939,-10.286110672167283,-2.5196656110889717,-4.0575941457163305,-6.647760414429533
H,0.0387511943,0.0160157006,0.0517024868,0.012951292500000003,0.0227354937,0.009784201199999999,0.0178433931,0.00029445402904060736,1.7044360158319323,3.9605884535571496,2.9920715866775454,0.7044360158319323,1.6368940368887754,1.2366102147720002,2.274086830144357,5.284282870225524,3.9920715866775454
H,0.0376702922,0.002517888,0.0467291397,0.009058847500000002,0.035152404199999994,0.026093556699999992,0.022105625849999998,0.0003184402689061595,1.0716277608118765,1.4436626111610154,4.158397875667958,0.07162776081187643,0.09649462620019143,0.2779479398455487,1.329329835710071,1.7908305961218391,5.158397875667958
C,-0.0433196222,-0.0581824536,-0.039278872,0.004040750199999998,0.014862831400000005,0.010822081200000007,0.009451790800000002,6.005698895211628e-05,-2.9146278413680977,-4.002891994563853,-10.720688004915527,-3.9146278413680977,-5.376272135160099,-14.398923645416147,-2.6427583643315757,-3.629511853967606,-9.720688004915527
H,0.0295649637,0.0016761032,0.0302374303,0.0006724666000000011,0.027888860499999998,0.027216393899999997,0.01428066355,1.875432719830933e-05,1.060099379105145,1.0862924680113482,43.96495483939269,0.06009937910514487,0.0615843232633402,2.4924705554149416,1.0842117518569825,1.1110006127593561,44.96495483939269
H,0.0411043322,0.0183481622,0.0548117419,0.0137074097,0.022756170000000003,0.009048760300000003,0.01823178985,0.000311928145392849,1.80629395016824,4.542537412555838,2.9986943630932696,0.80629395016824,2.0276989987236145,1.3385579479688274,2.408654088100062,6.0573758263880615,3.9986943630932696
C,-0.0409019695,-0.0537497972,-0.0352890931,0.005612876400000001,0.012847827699999995,0.0072349512999999935,0.009230352049999998,7.211326888859626e-05,-3.1835708304213965,-5.653385600536114,-7.287167324760616,-4.183570830421396,-7.429185763835072,-9.576159061688939,-2.7466972568444405,-4.8775854372371565,-6.287167324760616
H,0.0411218504,0.0179212926,0.0521462096,0.0110243592,0.0232005578,0.0121761986,0.0171124585,0.0002557712828275618,1.7724509365029146,3.377232234040598,3.73008985411143,0.7724509365029145,1.4718298533665506,1.6256085523773571,2.24762740833757,4.282634614714645,4.73008985411143
H,0.0306148935,0.0159284345,0.0407948949,0.010180001400000003,0.014686458999999999,0.004506457599999996,0.012433230200000001,0.00014950817318104263,2.084566027794719,6.793560756013776,3.0073565117584358,1.0845660277947191,3.5345799103934796,1.5646790087867766,2.7777216346023237,9.052541601634072,4.007356511758435
C,-0.04971609,-0.0677639068,-0.0475154543,0.002200635699999995,0.018047816799999998,0.015847181100000003,0.010124226249999996,3.971666995713966e-05,-2.754687204050077,-3.137219779737356,-22.59169475438398,-3.754687204050077,-4.2760858459552775,-30.792878076094173,-2.6327535804773907,-2.9983537135194345,-21.59169475438398
H,0.0301482877,0.0049985458,0.0282707999,0.0018774878000000009,0.0251497419,0.0232722541,0.013513614850000001,4.721833359039884e-05,1.1987513756552706,1.2954605759482491,16.057780881452327,0.19875137565527065,0.21478563178802693,2.6623586049400685,1.1240990071552186,1.214785631788027,15.057780881452326
H,0.039370532,-0.005622453,0.0478766456,0.008506113600000004,0.044992985,0.036486871399999996,0.0267495493,0.0003827154416130962,0.8750371196754338,1.0790328271335428,4.628498260357113,-0.12496288032456616,-0.1540952343751786,-0.6609896439661936,1.0640913377941028,1.312160888642264,5.628498260357113
O,-0.2861630486,-0.297178569,-0.2004380433,0.08572500530000002,0.011015520399999978,-0.07470948490000004,0.04837026285,0.0009443055446722565,-25.97816882078495,-3.8303442860439247,-3.3381514249961786,-26.97816882078495,-3.9777890236799083,-3.466649759425561,-18.195966783375972,-2.682899548407941,-2.3381514249961786
O,-0.2858660972,-0.2965540271,-0.2003047602,0.08556133700000002,0.010687929900000004,-0.07487340710000001,0.04812463345000001,0.0009144735720062768,-26.746629129743816,-3.817992372354589,-3.3410662715567425,-27.746629129743816,-3.9607390472284245,-3.465981686331058,-18.7412120096334,-2.6752456974807544,-2.3410662715567425
O,-0.2744207146,-0.3085049686,-0.1010229704,0.1733977442,0.03408425399999998,-0.13931349020000003,0.1037409991,0.0059101327563398235,-8.05124602697774,-1.9698071895696425,-1.5826083313026167,-9.05124602697774,-2.214465865129836,-1.7791752137453698,-2.9639190694917383,-0.7251485140094492,-0.5826083313026167
O,-0.2743509635,-0.3085260694,-0.100721052,0.17362991149999998,0.0341751059,-0.13945480559999998,0.10390250869999999,0.005933820612920128,-8.02780141494748,-1.967310931449178,-1.5800904413868806,-9.02780141494748,-2.2123731632809363,-1.7769177368958113,-2.9472052638174855,-0.7222486996174194,-0.5800904413868806
N,-0.0823467187,-0.0985732878,-0.0655773038,0.0167694149,0.016226569100000005,-0.0005428457999999969,0.016497992000000003,0.0002721100696414197,-5.074807754647282,-151.69449353757636,-4.910530223687172,-6.074807754647282,-181.58616645832123,-5.878159040599562,-4.041353621696898,-120.80282061683147,-3.910530223687172
H,0.132577908,0.02192789,0.148904945,0.016327037000000016,0.11065001799999999,0.09432298099999997,0.0634885275,0.0018065869379366676,1.198173397495516,1.4055737699808282,8.12014500855237,0.198173397495516,0.23247664320532876,1.3430416063857744,1.3457290626016891,1.5786708967563277,9.12014500855237
H,0.1371177068,0.0714351689,0.1516087458,0.014491039000000011,0.06568253789999999,0.05119149889999998,0.04008678845,0.0009518082183278787,2.087582349646085,2.6785249454768367,9.46224123749856,1.0875823496460846,1.3954498390356769,4.929609871314262,2.308204747368631,2.9616000519179964,10.46224123749856
N,-0.0847975047,-0.0991154593,-0.0685036774,0.016293827299999994,0.014317954600000002,-0.001975872699999992,0.015305890949999998,0.00023329427954164053,-5.922459392349238,-42.9164817652475,-5.204271724421679,-6.922459392349238,-50.16287704162338,-6.083006618095188,-4.784459743991645,-34.67008648887162,-4.204271724421679
H,0.1239461262,0.0851646466,0.1374154528,0.013469326599999998,0.0387814796,0.025312153000000004,0.0261254031,0.0005223604147636373,3.1960133413785483,4.8967042116093396,9.202102664880071,2.1960133413785483,3.364575372154237,6.322858531027084,3.543326717219938,5.4288330510644425,10.202102664880071
H,0.1384022623,0.0504838547,0.153545234,0.015142971700000007,0.0879184076,0.07277543589999999,0.05153068965,0.0013313459581958656,1.5742125691093614,1.9017716704600325,9.139702895964597,0.5742125691093614,0.6936936079554283,3.333814240701511,1.746451490552247,2.1098497329646366,10.139702895964597
Pt,0.1941173974,0.0977880146,0.3223695632,0.12825216579999998,0.0963293828,-0.03192278299999998,0.11229077429999999,0.012354451974277267,2.01514212753785,6.080841930354259,1.5135603846465415,1.0151421275378503,3.0632672157687524,0.7624667699763711,3.3465340878318175,10.098416644939764,2.5135603846465417
