Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.340718579,-0.4084222325,-0.0718928348,0.26882574420000005,0.06770365349999996,-0.2011220907000001,0.16826469885,0.01820048503719643,-5.032499154569262,-1.6940882914161148,-1.2674328495358442,-6.032499154569262,-2.030717914071484,-1.5192824396912799,-1.0618752620196492,-0.3574586687607458,-0.26743284953584434
N,-0.0580475235,-0.1067759026,-0.0649404287,0.0068929051999999935,0.0487283791,0.0418354739,0.027810642149999995,0.000335880097685961,-1.1912467554251154,-1.387519205322065,-8.421343659274475,-2.1912467554251154,-2.552281416848011,-15.490696520822613,-1.3327024189893484,-1.5522814168480112,-9.421343659274475
Pt,0.1773013341,0.116212717,0.3755770221,0.19827568799999998,0.06108861710000002,-0.13718707089999996,0.12968215254999998,0.012112387584471068,2.9023628708072353,1.2924055666239906,0.8942162092005956,1.902362870807235,0.8471112929053727,0.5861168263856938,6.148068820827831,2.7376998403426085,1.8942162092005956
Cl,-0.3472489278,-0.4386464348,-0.1011455039,0.2461034239,0.09139750699999999,-0.15470591690000002,0.16875046545,0.022493239408624216,-3.7993260341335136,-2.2445743172477197,-1.410987796500949,-4.7993260341335136,-2.835356549960113,-1.7823662420000974,-1.106654953947486,-0.6537920845353264,-0.410987796500949
C,0.0375482677,-0.0197363586,0.0430953907,0.005547123000000001,0.0572846263,0.0517375033,0.03141587465,0.00031776486809513495,0.6554684934725671,0.7257456449391518,6.768962523455851,-0.3445315065274328,-0.3814710285797653,-3.5579450104135057,0.7523029036500846,0.832962318458069,7.768962523455851
C,0.0863644453,0.0348777197,0.0894168917,0.0030524464000000057,0.0514867256,0.04843427919999999,0.027269586000000002,0.00015716047020550812,1.6774118822580553,1.7831264700642022,28.293517389854852,0.6774118822580553,0.7201040311961534,11.426153035807584,1.7366979674465841,1.846148908932251,29.293517389854852
N,-0.122100218,-0.1450748791,-0.0979242438,0.02417597419999999,0.0229746611,-0.00120131309999999,0.023575317649999997,0.0005554348140073435,-5.31456013512208,-101.63896323115183,-5.050477676303942,-6.31456013512208,-120.76358702822871,-6.000787306432518,-4.262271524867019,-81.51433943407496,-4.050477676303942
H,0.1319004525,0.0841926514,0.1593723325,0.027471880000000004,0.04770780109999999,0.020235921099999984,0.037589840549999996,0.0013106229868830679,2.7647564854964575,6.5181343536667615,4.801289627793946,1.7647564854964573,4.160554440983666,3.064684739449939,3.340592708641942,7.875714266349858,5.801289627793946
H,0.1182842846,0.0804117709,0.1395876917,0.02130340709999999,0.0378725137,0.016569106600000008,0.029587960399999995,0.0008068135772514269,3.1232224387577423,7.138845047927927,5.5523646543843235,2.1232224387577423,4.853114464240333,3.7745967357493737,3.6857255582694526,8.424575631615522,6.5523646543843235
H,0.1328771407,0.0726202382,0.160011231,0.027134090299999997,0.0602569025,0.033122812200000004,0.0436954964,0.0016350162336332956,2.2051770865586726,4.011650336259794,4.897055299473225,1.2051770865586728,2.1924538822823747,2.6763468904649446,2.6554838427016723,4.830846790237213,5.897055299473225
C,-0.0336697877,-0.0868803207,-0.0089986826,0.0246711051,0.053210533,0.028539427899999997,0.03894081905,0.0013127626520700183,-0.6327654658148228,-1.1797639328292213,-1.3647458256744243,-1.632765465814823,-3.0442208233613544,-3.5215415097072404,-0.16911468637233912,-0.3153070422970883,-0.3647458256744243
C,-0.0333882907,-0.0813455349,-0.0111579289,0.0222303618,0.0479572442,0.025726882399999998,0.035093803,0.0010661068894969516,-0.696209535326052,-1.297797773584879,-1.5019229556578788,-1.696209535326052,-3.1618885504759024,-3.659208771851837,-0.23266409665799773,-0.4337069966938552,-0.5019229556578787
C,-0.005228792,-0.1061394669,0.0276132304,0.032842022400000004,0.10091067490000001,0.06806865250000001,0.06687634865,0.0033141106454649184,-0.05181604429047377,-0.07681644645455557,-0.1592104145206356,-1.0518160442904738,-1.5593002505815727,-3.2318188449929317,0.2736403301966222,0.4056673576724616,0.8407895854793643
C,-0.0858852296,-0.1065146688,-0.0778260701,0.008059159499999996,0.020629439200000002,0.012570279700000006,0.014344299349999999,0.00016625594090835234,-4.163236274498436,-6.832404023595431,-10.656846982616493,-5.163236274498436,-8.473532120371193,-13.216597686148296,-3.7725732311714997,-6.191275926819669,-9.656846982616493
H,0.0581325798,0.0091464042,0.0801691728,0.022036592999999993,0.0489861756,0.026949582600000008,0.0355113843,0.0010794884143237305,1.1867139879358126,2.157086462630408,2.63800215396273,0.18671398793581265,0.33938945681481525,0.41505527646673884,1.6365672930793151,2.974783468446,3.63800215396273
H,0.0531490884,0.0206130739,0.0719176317,0.018768543299999996,0.0325360145,0.013767471200000006,0.0256522789,0.0006106535969526778,1.6335463705918867,3.8604829912409753,2.831817448507046,0.6335463705918867,1.4972302175580359,1.0982777709765044,2.210400776038503,5.223735764923915,3.831817448507046
H,0.0528431117,0.0191416936,0.060766735,0.007923623300000002,0.033701418100000005,0.025777794800000003,0.020812520700000003,0.00026703734170020185,1.5679788768295182,2.0499469450350345,6.669059052819938,0.5679788768295182,0.7425652096509046,2.415775318344575,1.8030913363850405,2.3573286804191644,7.669059052819938
H,0.0569802022,0.0213834495,0.076907279,0.019927076799999992,0.035596752700000005,0.015669675900000013,0.027761914749999998,0.0007093392248835071,1.6007134886772971,3.6363357202557047,2.8594360714261926,0.6007134886772971,1.364638913814419,1.0730851150229925,2.160513899909752,4.90803252669699,3.8594360714261926
H,0.0401469546,0.0164130897,0.062183183,0.022036228400000003,0.0237338649,0.0016976364999999952,0.02288504665,0.0005230048677511432,1.6915472793476634,23.648734343306188,1.8218614306974596,0.6915472793476634,9.66820028904895,0.7448229979318964,2.6200192535856224,36.62926839756342,2.8218614306974596
H,0.0446042177,0.0242258629,0.045237195,0.0006329773000000039,0.020378354799999998,0.019745377499999994,0.010505666050000001,1.2899035999746117e-05,2.188803666329335,2.2589701159170046,70.46732592148206,1.1888036663293349,1.2269131294147202,38.27287787413522,2.219864922559892,2.2910271024192883,71.46732592148206
H,0.0361552689,0.0002971278,0.0420307064,0.005875437499999997,0.035858141100000004,0.029982703600000007,0.0208667893,0.00021068226689923116,1.0082862019860812,1.2058708708310077,6.153630074356169,0.008286201986081201,0.009909973562224053,0.0505711787420086,1.1721384631396856,1.4018317680997916,7.153630074356169
