Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.3407153679,-0.4084146502,-0.071830122,0.2688852459,0.0676992823,-0.20118596360000002,0.1682922641,0.018203338168489017,-5.032776660617568,-1.6935344882082022,-1.2671404366556953,-6.032776660617568,-2.0300355098927985,-1.5189180381875313,-1.0610174814216604,-0.3570334665236059,-0.26714043665569526
N,-0.0580224628,-0.1067636775,-0.0649173524,0.006894889600000002,0.0487412147,0.0418463251,0.02781805215,0.0003360652943263972,-1.1904188920429182,-1.3865605321696457,-8.415285257069232,-2.1904188920429184,-2.5513274402200734,-15.484465117469027,-1.3318780173937685,-1.5513274402200734,-9.415285257069232
Pt,0.1773334175,0.1162557418,0.3755874124,0.19825399489999998,0.0610776757,-0.13717631919999998,0.12966583529999998,0.012108893206731653,2.9034080859760025,1.2927407480692923,0.8944758847832933,1.9034080859760025,0.847491334349785,0.5863979783037402,6.149340296523431,2.7379901617887996,1.8944758847832934
Cl,-0.3472661008,-0.4386592185,-0.101209563,0.24605653779999997,0.09139311770000003,-0.15466342009999995,0.16872482775,0.022487874120009903,-3.7996964053672926,-2.2453020926051543,-1.4113264532815026,-4.799696405367293,-2.8362182746015723,-1.782757826400661,-1.1074090210186578,-0.6543859106087363,-0.41132645328150275
C,0.0375543171,-0.0197472702,0.0431014949,0.005547177800000004,0.0573015873,0.051754409499999994,0.031424382550000005,0.0003178620929753222,0.655380049131728,0.725625458058796,6.769986190094713,-0.344619950868272,-0.38155725069184687,-3.559876916150044,0.7521867531233294,0.8328081668094388,7.769986190094713
C,0.0863658866,0.0348747808,0.0894177763,0.0030518897000000045,0.0514911058,0.048439216099999995,0.027271497750000002,0.0001571451754326305,1.6772971809045902,1.7829744895479431,28.29915071963442,0.6772971809045903,0.7199699666485726,11.427274321218079,1.736567411220755,1.8459790124473137,29.29915071963442
N,-0.122125678,-0.1450940205,-0.0979411466,0.0241845314,0.022968342500000002,-0.0012161888999999981,0.02357643695,0.0005554786003972046,-5.317130654943864,-100.41670171467622,-5.049743407474085,-6.317130654943864,-119.30220749424717,-5.9994555238725855,-4.2641799947035794,-80.53119593510527,-4.049743407474085
H,0.1319053196,0.0842079076,0.1593829028,0.027477583200000016,0.04769741199999998,0.020219828799999964,0.0375874976,0.0013106096066546787,2.765460725625953,6.52356263273605,4.800470210203928,1.7654607256259531,4.164620206873371,3.0646038622494265,3.3415419436174036,7.8825050585987295,5.800470210203928
H,0.1328737458,0.0726396567,0.1600121165,0.027138370699999997,0.0602340891,0.0330957184,0.0436862299,0.0016346550387726293,2.205955926043879,4.014831894387886,4.8961578153989915,1.2059559260438788,2.194835471527338,2.6766403002962886,2.6565042966674497,4.834828317248433,5.8961578153989915
H,0.1182320775,0.0803942302,0.139527564,0.021295486499999988,0.037837847300000005,0.016542360800000017,0.029566666899999997,0.0008057753663662111,3.1247041239579185,7.14723121623607,5.551978232570553,2.1247041239579185,4.859900661820888,3.775176970011934,3.6875132692868595,8.434561770651252,6.551978232570553
C,-0.033665633,-0.0868793057,-0.0089933266,0.0246723064,0.053213672700000006,0.028541366300000006,0.03894298955,0.0013129040375237154,-0.6326500557440381,-1.1795382409566004,-1.3645109806191447,-1.632650055744038,-3.0439785112880173,-3.521328905837519,-0.16900405748539885,-0.31509797062518335,-0.3645109806191447
C,-0.0333902277,-0.0813590681,-0.0111593326,0.022230895099999995,0.047968840400000004,0.02573794530000001,0.03509986775,0.001066390259001042,-0.6960816109284141,-1.2973152017694274,-1.501974056816093,-1.6960816109284143,-3.161055288278974,-3.659729747004205,-0.23263711415462943,-0.43357511525988035,-0.501974056816093
C,-0.0052348315,-0.106161199,0.0276065459,0.0328413774,0.1009263675,0.06808499009999999,0.06688387245,0.003314560924678595,-0.051867828295712716,-0.07688671897155788,-0.15939744049833915,-1.0518678282957126,-1.5592452733572477,-3.2325440467061526,0.27353155160369763,0.40547183541413195,0.8406025595016609
C,-0.0858805487,-0.1065122894,-0.0778206779,0.008059870800000007,0.020631740699999998,0.01257186989999999,0.014345805750000003,0.0001662891644211017,-4.162544980996199,-6.831167470162897,-10.655325728050123,-5.162544980996199,-8.472271050148242,-13.21513607885624,-3.7718910406817976,-6.190063890177551,-9.655325728050123
