Atom,q(N)
Cl,-0.2878250694
Pt,0.5676690105
Cl,-0.2545095899
N,-0.0791706582
H,0.0998988436
H,0.0979318866
N,-0.1134218793
H,0.1142630026
H,0.1121797718
H,0.1302885188
O,-0.2212147785
O,-0.2902107608
C,0.2019251632
C,-0.0808204249
H,0.0512914364
H,0.0443885307
H,0.0506571562
O,-0.2263467243
O,-0.2921273767
C,0.2004379303
C,-0.0810759577
H,0.0520419267
H,0.0434782063
H,0.0516893827
C,0.0322532678
C,-0.0571525883
C,-0.0421302845
C,-0.0462379854
C,-0.0420402345
C,-0.0485871106
H,0.0288241223
H,0.0223295195
H,0.0222910203
H,0.0323218413
H,0.030828443
H,0.0309767087
H,0.0247662306
H,0.032242644
H,0.0294789462
H,0.0319706576
H,0.0264472552
