Atom,q(N),q(N-1),f-,q(N)/f-,q(N-1)/f-
Cl,-0.2835112852,-0.0685895556,0.2149217296,-1.3191373702773328,-0.31913737027733285
Pt,0.5677935394,0.6014131239,0.03361958450000002,16.888773250603368,17.888773250603368
Cl,-0.2816119222,-0.1030781619,0.17853376029999996,-1.5773594961916009,-0.5773594961916009
N,-0.0783655471,-0.0605244499,0.017841097200000003,-4.392417474189871,-3.3924174741898714
H,0.0918813934,0.1001560428,0.0082746494,11.103962108654416,12.103962108654416
H,0.1119918373,0.1236468546,0.0116550173,9.608894986367801,10.608894986367801
N,-0.1192837829,-0.0979070138,0.021376769099999998,-5.580066021295988,-4.580066021295988
H,0.0955088153,0.1073128358,0.011804020500000012,8.091210558300869,9.091210558300869
H,0.1281090569,0.1451503259,0.017041268999999998,7.517577294273097,8.517577294273098
H,0.1188256354,0.1354849658,0.01665933039999999,7.132677757564617,8.132677757564618
O,-0.2253889432,-0.202916467,0.022472476200000008,-10.029555318874914,-9.029555318874914
O,-0.266317675,-0.171715511,0.09460216399999999,-2.815133013236357,-1.815133013236357
C,0.2049264015,0.2306367906,0.02571038910000001,7.970567878336774,8.970567878336775
C,-0.0810942121,-0.0573978349,0.023696377199999993,-3.4222198362034857,-2.4222198362034857
H,0.0432980323,0.064434994,0.021136961699999998,2.048451093138897,3.048451093138897
H,0.0554920856,0.0741084972,0.0186164116,2.980815357563323,3.980815357563323
H,0.0446604277,0.0660647525,0.021404324800000006,2.0865142029614496,3.0865142029614496
O,-0.2306201364,-0.2134449638,0.01717517260000001,-13.427529479383507,-12.427529479383507
O,-0.2897184211,-0.2365979107,0.053120510400000015,-5.45398413754699,-4.45398413754699
C,0.1982278911,0.2162061198,0.017978228700000015,11.025996743494526,12.025996743494526
C,-0.0817600341,-0.0647186445,0.017041389599999998,-4.7977328151690175,-3.797732815169017
H,0.0520470867,0.0672767255,0.015229638799999994,3.417486611698238,4.417486611698238
H,0.050394228,0.064412272,0.014018044000000007,3.594954331717034,4.594954331717034
H,0.0430565849,0.0616558519,0.018599267000000003,2.3149613853062054,3.3149613853062054
C,0.0353911086,0.0370757786,0.0016846699999999992,21.00773955730203,22.00773955730203
C,-0.0544881711,-0.0539650279,0.0005231432000000064,-104.15536529959549,-103.15536529959549
C,-0.0496920479,-0.0472974968,0.002394551100000003,-20.752135087031526,-19.752135087031526
C,-0.0451273331,-0.040072422,0.005054911099999997,-8.927423689014041,-7.927423689014042
C,-0.0472149051,-0.0433722598,0.0038426453000000027,-12.287083874225907,-11.287083874225907
C,-0.0465478588,-0.0402674318,0.006280426999999998,-7.411575486825978,-6.411575486825978
H,0.0365524795,0.0384434386,0.001890959099999999,19.33012697101699,20.33012697101699
H,0.0357635003,0.0475460625,0.011782562199999999,3.035290600884755,4.035290600884755
H,0.0210997225,0.0143832261,0.006716496400000001,3.1414775268844033,2.1414775268844033
H,0.0229067177,0.0197250607,0.0031816569999999975,7.199618846406139,6.199618846406139
H,0.03318538,0.0432801959,0.010094815899999998,3.2873685195190143,4.287368519519014
H,0.0263841921,0.0362515032,0.009867311100000001,2.6738988801113197,3.6738988801113197
H,0.0327692827,0.0439516339,0.011182351200000003,2.930446568338865,3.930446568338865
H,0.0263383908,0.0259337226,0.0004046681999999996,65.086386328355,64.086386328355
H,0.0341140494,0.0477254145,0.013611365100000002,2.5062915548419165,3.5062915548419165
H,0.0365935976,0.0500650823,0.013471484700000001,2.7163745062190507,3.7163745062190507
H,0.0334308382,0.0395238802,0.006093042,5.486723741605589,6.486723741605589
