Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.2823790093,-0.4775317252,-0.0704884922,0.21189051709999998,0.1951527159,-0.016737801199999985,0.2035216165,0.04135100988552039,-1.4469642812693235,-16.870735046130207,-1.33266468535132,-2.4469642812693237,-28.530134842323278,-2.253671998802253,-0.3611965730270424,-4.211335249937134,-0.3326646853513201
Pt,0.5674479105,0.4465818719,0.6009550296,0.03350711910000004,0.1208660386,0.08735891949999997,0.07718657885000002,0.004049872750515402,4.694849910469391,6.49559213584367,16.93514470183142,3.694849910469391,5.112035204373151,13.32796981343584,4.972075171494866,6.879149067314188,17.93514470183142
Cl,-0.2833019791,-0.374931562,-0.103829802,0.1794721771,0.0916295829,-0.08784259419999998,0.13555087999999998,0.016444960729827932,-3.0918178401966725,-3.2251094321620117,-1.578528681591393,-4.091817840196673,-4.268220507540521,-2.0890790319609938,-1.1331471639821247,-1.1819983567835024,-0.578528681591393
N,-0.0755535899,-0.1188978073,-0.0582655495,0.017288040399999996,0.04334421740000001,0.026056177000000014,0.030316128900000003,0.000749336581517583,-1.743106564890937,-2.899642180815703,-4.370280734651685,-2.7431065648909367,-4.563133237082322,-6.877460056143786,-1.3442519670455508,-2.2361511245490835,-3.370280734651685
H,0.0978446047,0.0789226798,0.1074645841,0.009619979399999992,0.018921924899999998,0.009301945500000006,0.014270952149999995,0.00018202852774634688,5.17096464641396,10.518724787196392,10.170978609372083,4.17096464641396,8.484534745984048,8.20403833712992,5.679368492790076,11.552914828408738,11.170978609372083
H,0.1129723442,0.0906144087,0.1244095427,0.011437198499999995,0.02235793550000001,0.010920737000000014,0.016897567000000002,0.0002557121463636968,5.0528969546405555,10.344754589365156,9.877623807963117,4.0528969546405555,8.297462771972247,7.922780102137777,5.564446802344516,11.392046406758064,10.877623807963117
N,-0.1195989516,-0.1332525964,-0.0982582394,0.0213407122,0.013653644800000003,-0.007687067399999997,0.017497178500000002,0.0002913785041578266,-8.759489012047537,-15.558462724029198,-5.604262429442256,-9.759489012047537,-17.334646551947763,-6.2440557349346575,-7.196484223758332,-12.782278896110634,-4.604262429442256
H,0.1280511571,0.1095974565,0.1451671994,0.017116042299999995,0.01845370060000001,0.0013376583000000164,0.017784871450000003,0.0003158543200611355,6.939050322513628,95.72785299504248,7.481353157207379,5.939050322513628,81.93232643941928,6.403200843924067,7.866563056734535,108.52337955066568,8.481353157207378
H,0.1183419881,0.1029218641,0.1352275127,0.016885524599999993,0.015420124000000007,-0.0014654005999999858,0.0161528243,0.0002603768831370504,7.67451598313995,80.75743117615835,7.008487500589709,6.67451598313995,70.23462669525384,6.095271928951502,8.769547683274139,92.28023565706286,8.008487500589709
H,0.0956595739,0.0844529922,0.1076638381,0.012004264200000003,0.01120658170000001,-0.0007976824999999937,0.011605422950000006,0.0001345267675056853,8.536017178190912,119.9218660306585,7.968799445450391,7.536017178190913,105.87294092574508,7.0352493741348985,9.60719700102663,134.97079113557191,8.96879944545039
O,-0.2253695568,-0.2647360679,-0.2032055957,0.022163961100000018,0.03936651109999997,0.017202549999999955,0.030765236099999996,0.0008725178206631184,-5.724905522552141,-13.100938918939377,-10.16828877217258,-6.724905522552141,-15.38935029399715,-11.944438392828607,-5.16188989122788,-11.812527543881606,-9.16828877217258
O,-0.2666012935,-0.3009564692,-0.1734400675,0.09316122600000001,0.03435517570000002,-0.058806050299999996,0.06375820085000002,0.0032005702876574103,-7.760149324458261,-4.533569116441749,-2.861719461484974,-8.760149324458261,-5.117780698833978,-3.23049064639832,-5.048440706999496,-2.9493575340495193,-1.8617194614849741
C,0.2045512523,0.1834883436,0.2300254226,0.025474170299999987,0.02106290870000002,-0.004411261599999966,0.023268539500000004,0.0005365601232371519,9.711443714324215,46.370238459673665,8.029751308524467,8.711443714324215,41.59543464844647,7.202917364496071,10.92087640298226,52.14504227090086,9.029751308524467
C,-0.0817455904,-0.0997151927,-0.0584205907,0.0233249997,0.017969602299999998,-0.005355397400000003,0.020647301,0.0004191409682566193,-4.549104038880149,-15.264150219739053,-3.504634145825948,-5.549104038880149,-18.619569240557187,-4.275035111790376,-3.2510786674449665,-10.908731198920917,-2.504634145825948
H,0.0440662817,0.0294743977,0.064959171,0.020892889299999995,0.014591884000000003,-0.006301005299999992,0.017742386649999997,0.0003048666170904412,3.019917215624795,6.993531921009502,2.1091521171272376,2.019917215624795,4.67772939343505,1.4107382314039258,4.451732963337701,10.309334448583956,3.1091521171272376
H,0.0430258957,0.0195455882,0.0639203724,0.020894476699999998,0.0234803075,0.002585830800000001,0.022187392099999998,0.0004906087379675852,1.832424711644002,16.639099395057087,2.0591994869151233,0.8324247116440021,7.558726657598784,0.9354428196806671,2.72229707383517,24.71947213251539,3.0591994869151233
H,0.0555314046,0.0399335053,0.0739587458,0.018427341200000003,0.015597899300000002,-0.0028294419,0.017012620250000002,0.00028742781240434127,3.56018483848014,19.62627492015298,3.0135332057562376,2.56018483848014,14.113562572180752,2.1670790629306844,4.741583746472834,26.13898726812521,4.013533205756238
O,-0.2309177913,-0.2703995662,-0.2128224751,0.018095316200000017,0.03948177489999999,0.02138645869999997,0.028788545550000003,0.0007144352009527238,-5.84871860206062,-10.79738326663686,-12.761191279984363,-6.84871860206062,-12.643494184476664,-14.943069422572442,-5.390397864306755,-9.951272348797058,-11.761191279984363
O,-0.2957101827,-0.3268393716,-0.239165156,0.0565450267,0.031129188899999993,-0.025415837800000007,0.0438371078,0.0017602008174998432,-9.49945029566768,-11.634878418212123,-5.229640871316451,-10.49945029566768,-12.85967333329456,-5.78016123918463,-7.682987075837367,-9.410083503129687,-4.229640871316451
C,0.1974140478,0.1753444782,0.2163719413,0.018957893500000017,0.022069569600000005,0.003111676099999988,0.02051373155000001,0.0004183925500676381,8.945079191757321,63.442993890013405,10.413290263498938,7.945079191757321,56.35049168517271,9.249154089825424,9.80408522783335,69.5354960948541,11.413290263498938
C,-0.0819568767,-0.1001330703,-0.0644598709,0.017497005800000007,0.0181761936,0.0006791877999999946,0.017836599700000004,0.00031802896484112305,-4.509023093812116,-120.66894708650635,-4.684051524975774,-5.509023093812116,-147.43060799973262,-5.722868897945954,-3.5463899823338143,-94.90728617328007,-3.684051524975774
H,0.0516715981,0.0354551993,0.0673098464,0.015638248299999997,0.016216398800000004,0.0005781505000000062,0.01592732355,0.0002535960709662221,3.1863793396595543,89.37395730004462,3.3041806926674777,2.1863793396595543,61.32520736382589,2.2672104074469774,4.150727126913035,116.42270723626336,4.304180692667478
H,0.0503517458,0.0351638646,0.0648490595,0.0144973137,0.015187881200000003,0.0006905675000000028,0.014842597450000002,0.0002201834781947325,3.3152580756294032,72.9135758633295,3.473177641179138,2.3152580756294032,50.92024255413099,2.425543471546732,4.2697897518450425,93.90690917252802,4.473177641179138
H,0.0431039083,0.0193416548,0.0619614488,0.0188575405,0.0237622535,0.0049047130000000015,0.021309897,0.0004480976577475167,1.8139655104681043,8.788263105302999,2.285765118733273,0.8139655104681044,3.943483502500553,1.025672186677791,2.6075577722458014,12.633042708105444,3.285765118733273
C,0.0329612896,0.0277298886,0.0338993344,0.0009380448000000027,0.005231401,0.004293356199999997,0.0030847229000000014,4.907288504764814e-06,6.300662021512019,7.677278116360347,35.138289343963,5.300662021512019,6.458790584391767,29.56136913716692,6.47997245862055,7.895765648328928,36.138289343963
C,-0.0551270107,-0.0546407796,-0.0551717455,4.473480000000141e-05,0.00048623109999999803,0.0004414962999999966,0.0002654829499999997,2.1751451012280597e-08,-113.3761511758508,-124.86403781866444,-1232.3070786054318,-112.3761511758508,-123.76271239419316,-1221.4378872823459,-113.46815434060105,-124.96536324313573,-1233.3070786054318
C,-0.0413563301,-0.0460775197,-0.0378015424,0.003554787699999999,0.004721189600000002,0.0011664019000000025,0.0041379886500000004,1.678282671944792e-05,-8.759726595178465,-35.4563295035784,-11.633980307741025,-9.759726595178465,-39.50398203226512,-12.962101703007471,-8.006783375105288,-32.40867697489169,-10.633980307741025
C,-0.0455882084,-0.051047198,-0.0400828876,0.005505320800000005,0.0054589895999999985,-4.633120000000629e-05,0.005482155200000002,3.00534889918637e-05,-8.351034118108599,-983.9634716992829,-8.28075421145303,-9.351034118108599,-1101.7888161755593,-9.272338498421375,-7.342546979756109,-865.1381272230064,-7.28075421145303
C,-0.0415012319,-0.0497200486,-0.0349789335,0.006522298399999994,0.0082188167,0.001696518300000005,0.007370557549999997,5.360557501230323e-05,-5.0495385667866275,-24.46259017659867,-6.362976569731927,-6.0495385667866275,-29.30711009719132,-7.623087070042677,-4.2559573691429335,-20.61807025600602,-5.362976569731927
C,-0.0475751173,-0.0552357464,-0.0420948451,0.005480272199999997,0.0076606291000000035,0.0021803569000000064,0.00657045065,4.198233269124102e-05,-6.210340779975887,-21.819876048733057,-8.681159541673864,-7.210340779975887,-25.333350883976763,-10.079015126292456,-5.494959297794483,-19.306401213489348,-7.681159541673865
H,0.0332750562,0.0274037621,0.0345361302,0.001261074000000001,0.0058712941000000005,0.0046102200999999995,0.0035661840500000007,7.404136335863406e-06,5.6674143099048635,7.217671928505106,26.386283596363082,4.6674143099048635,5.944133144532514,21.730494879761203,5.882200688941812,7.491210712477698,27.386283596363082
H,0.0219565116,0.0258836403,0.0152139942,0.006742517399999998,0.003927128700000001,-0.0028153886999999975,0.00533482305,2.647873359178938e-05,5.590983458219741,7.798749636240289,3.2564263905347883,6.590983458219741,9.193629391209827,3.838868891906754,3.8740757846820753,5.403869881270751,2.2564263905347883
H,0.0270342913,0.0199690235,0.0334208322,0.006386540900000001,0.0070652678,0.0006787268999999992,0.006725904350000001,4.512262177415303e-05,3.826364699155494,39.83088234752451,4.233009969449972,2.826364699155494,29.421293748634426,3.126735397560829,4.730299423328299,49.24047094641459,5.233009969449972
H,0.0346028649,0.0228832435,0.0439324047,0.009329539799999995,0.011719621400000001,0.0023900816000000068,0.010524580599999998,0.00010933867429223167,2.9525582541429194,14.477691849516729,3.708957316415545,1.9525582541429196,9.574251983697936,2.452773018879239,3.7486197890317507,18.381131715335524,4.708957316415545
H,0.0293857491,0.0260522457,0.0307779835,0.001392234400000001,0.0033335034,0.001941268999999999,0.0023628689000000005,4.641018105996963e-06,8.815274974670793,15.13739162372655,21.10689773216348,7.815274974670793,13.420214148580138,18.712542729873636,9.232923986218223,15.854569098872963,22.10689773216348
H,0.0324621355,0.0182875752,0.0452603774,0.0127982419,0.014174560300000003,0.0013763184000000032,0.013486401100000002,0.0001814094515455366,2.290168782166738,23.586210501872188,2.5364527216820307,1.2901687821667382,13.287314330753667,1.4289130759436575,3.193070997764918,32.88510667299071,3.5364527216820307
H,0.0263799013,0.0187981038,0.0336786403,0.0072987389999999985,0.007581797500000001,0.00028305850000000243,0.00744026825,5.53375611033525e-05,3.4793729719106845,93.19593405603355,3.614309444412248,2.4793729719106845,66.41066705292312,2.575527608262195,4.442039015154387,118.981201059144,4.614309444412248
H,0.034122839,0.0183290224,0.0478884416,0.013765602599999996,0.015793816600000003,0.0020282140000000073,0.0147797096,0.00021741140285288314,2.160518883067187,16.824082172788412,2.4788481835150473,1.1605188830671869,9.03702587596769,1.3315089017606832,3.032100651339714,23.611138469609138,3.4788481835150473
H,0.0300110252,0.0234946923,0.0346313636,0.0046203384,0.006516332899999998,0.0018959944999999978,0.005568335649999999,3.010766312505335e-05,4.6055082913274745,15.828645705459607,6.495417132216982,3.605508291327475,12.39175129463721,5.085058769721283,5.314547941527053,18.265540116282004,7.495417132216982
