Atom,q(N),q(N+1),q(N-1),f-,f+,CDD,f0,f+f-,q(N)/f+,q(N)/CDD,q(N)/f-,q(N+1)/f+,q(N+1)/CDD,q(N+1)/f-,q(N-1)/f+,q(N-1)/CDD,q(N-1)/f-
Cl,-0.256440798,-0.4651051154,-0.1082059915,0.14823480650000004,0.20866431739999997,0.06042951089999993,0.17844956195,0.030931314713243587,-1.2289633474247288,-4.243635173952737,-1.7299634549730394,-2.228963347424729,-7.696655300911935,-3.1376241948951433,-0.5185649029420495,-1.7906150469935398,-0.7299634549730395
Pt,0.5625669181,0.4503201651,0.5801547578,0.017587839699999996,0.11224675300000003,0.09465891330000004,0.06491729635000001,0.0019741778986094942,5.0118769858759284,5.94309503973568,31.986129490366014,4.0118769858759284,4.75729278311924,25.604063533738035,5.168566059100167,6.128897296352121,32.98612949036601
Cl,-0.271763037,-0.4290924106,-0.1445646002,0.12719843679999998,0.1573293736,0.030130936800000008,0.14226390519999998,0.020012050384643185,-1.727350912175754,-9.019402178029855,-2.1365281196600368,-2.727350912175754,-14.240924981794787,-3.373409464730152,-0.918865923712036,-4.797879374264924,-1.1365281196600368
N,-0.0693948804,-0.1118770464,-0.0562279799,0.013166900499999995,0.042482166,0.029315265500000007,0.02782453325,0.0005593584527464828,-1.633506172919714,-2.367192628700565,-5.27040364586943,-2.633506172919714,-3.8163408890156556,-8.496839966247185,-1.3235666914912012,-1.9180443683854744,-4.27040364586943
H,0.1243020549,0.0987777144,0.1363722264,0.01207017149999999,0.025524340500000006,0.013454169000000016,0.018797256,0.0003080831672593956,4.869941885472025,9.23892474518492,10.298284071605785,3.869941885472025,7.341792302445426,8.183621450614854,5.342830558148993,10.136057187924415,11.298284071605785
H,0.1219171226,0.099892302,0.1278488443,0.0059317216999999894,0.022024820599999995,0.016093098900000005,0.013978271149999992,0.00013064510629162677,5.5354422546352104,7.575739349989327,20.553412443473235,4.5354422546352104,6.207151439304209,16.840355473858487,5.8047621191520635,7.944327260674446,21.553412443473235
N,-0.1211445642,-0.1599374268,-0.1056796919,0.015464872300000002,0.038792862600000005,0.023327990300000004,0.027128867450000003,0.0005999266662604461,-3.1228570432953813,-5.193099047199106,-7.833531493176312,-4.122857043295381,-6.85603109154242,-10.341981731074494,-2.7242045267368327,-4.530167002855792,-6.833531493176312
H,0.125962009,0.0972260662,0.1372299489,0.011267939899999996,0.02873594280000001,0.017468002900000015,0.020001941350000003,0.00032379487644023774,4.383430530770682,7.211013744450426,11.178796667170728,3.3834305307706822,5.565952029925523,8.628557399387624,4.775550600692314,7.856075458975329,12.178796667170728
H,0.0927427916,0.0757313028,0.1030452397,0.0103024481,0.017011488800000002,0.006709040700000002,0.013656968450000001,0.0001752599804657313,5.451773956433489,13.82355477438078,9.00201492885948,4.451773956433489,11.287948037042014,7.350806533060816,6.057391032112368,15.359161511719547,10.00201492885948
H,0.1247020062,0.0934744251,0.1400777278,0.015375721599999989,0.031227581100000013,0.015851859500000023,0.02330165135,0.00048014659323502163,3.9933290318154024,7.8667115488879915,8.11031894594138,2.9933290318154024,5.89674827107822,6.079352080620402,4.485705356153889,8.836674826697763,9.11031894594138
O,-0.2660991483,-0.2808905814,-0.2244436964,0.04165545189999997,0.014791433100000029,-0.026864018799999945,0.0282234425,0.0006161438300291187,-17.99008564626503,-9.905411036266864,-6.388098944138454,-18.99008564626503,-10.456014920597084,-6.743188912565853,-15.173897950429128,-8.354807151936644,-5.388098944138454
O,-0.2702957214,-0.2890539888,-0.0856474122,0.18464830920000003,0.018758267399999973,-0.16589004180000005,0.1017032883,0.0034636823589314757,-14.409418292011361,-1.6293667688978781,-1.4638407606929769,-15.409418292011361,-1.7424432814869537,-1.565429924879052,-4.565848773432035,-0.5162902563088025,-0.4638407606929768
C,0.1828207606,0.1718985977,0.2364424801,0.0536217195,0.010922162900000004,-0.042699556599999994,0.0322719412,0.0005856651553571067,16.73851253399635,4.28156110173753,3.4094535256371254,15.73851253399635,4.025770087270649,3.205764367552592,21.647954005520273,5.537352116204411,4.409453525637126
C,-0.0886488533,-0.1022541579,-0.0482260435,0.040422809799999994,0.013605304600000007,-0.026817505199999987,0.0270140572,0.0005499646401168652,-6.515756604229203,-3.3056338626159767,-2.1930403586145566,-7.515756604229203,-3.812963105158643,-2.529615294085767,-3.544650040396742,-1.7983046200733104,-1.1930403586145566
H,0.0370635274,0.0245752849,0.0712150633,0.03415153590000001,0.012488242499999996,-0.021663293400000012,0.023319889200000003,0.0004264926620666557,2.967873774071893,1.7108907087968432,1.0852667800513178,1.9678737740718926,1.134420535522082,0.71959530522901,5.702568900307631,3.2873608820716043,2.085266780051318
H,0.0441573173,0.0252919194,0.0693485736,0.025191256300000006,0.018865397899999997,-0.006325858400000009,0.0220283271,0.0004752430737003818,2.340651256552612,6.980446685306762,1.7528826976366394,1.3406512565526119,3.998179820148988,1.0039959539453376,3.6759666542734313,10.962713550464535,2.7528826976366396
H,0.0360568422,0.023969521,0.0703036095,0.0342467673,0.0120873212,-0.0221594461,0.02316704425,0.00041395167641675683,2.983030036464986,1.627154489209006,1.0528538908254852,1.983030036464986,1.0816841220593505,0.6999060901143799,5.816310192865562,3.1726248563586616,2.052853890825485
O,-0.2425717639,-0.251208771,-0.2154577641,0.027113999799999983,0.00863700710000001,-0.018476992699999972,0.017875503449999997,0.0002341838087819987,-28.085164350507444,-13.128314106007107,-8.946365924956602,-29.085164350507444,-13.595760688913428,-9.26491011481088,-24.94588248051802,-11.660867523100787,-7.946365924956603
O,-0.2713076532,-0.2930964762,-0.2364081771,0.03489947609999999,0.021788823000000013,-0.01311065309999998,0.028344149550000003,0.0007604185075356306,-12.451689253705895,-20.693679493357994,-7.773974956604007,-13.451689253705895,-22.355596930560267,-8.398305904655116,-10.849974645257335,-18.03176205615572,-6.773974956604007
C,0.2014118026,0.1889192803,0.2158675284,0.014455725800000013,0.012492522300000003,-0.0019632035000000103,0.013474124050000008,0.00018058847691918554,16.122588998700444,102.5934410772999,13.933012107908121,15.122588998700442,96.23010569204823,13.068820128007673,17.27973928851822,109.95677646255157,14.933012107908121
C,-0.0828753555,-0.0955297592,-0.0662458908,0.0166294647,0.012654403699999997,-0.003975061000000002,0.014641934199999998,0.00021043595962869934,-6.5491316275930105,-20.848826093486352,-4.9836454146356255,-7.5491316275930105,-24.032275026722846,-5.744608195355801,-5.235006909096793,-16.66537716024986,-3.983645414635626
H,0.0548811322,0.0432971222,0.0670155596,0.012134427399999995,0.011584009999999999,-0.0005504173999999959,0.011859218699999997,0.00014056532834587392,4.73766270920001,99.70820726234383,4.522762417285551,3.73766270920001,78.66234279657643,3.5681223985896544,5.78517798240851,121.75407172811124,5.522762417285551
H,0.0415938331,0.0233010322,0.0607792192,0.0191853861,0.0182928009,-0.0008925852000000005,0.018739093499999998,0.00035095444811692746,2.273781545394724,46.599286096162,2.167995623502203,1.273781545394724,26.105107053085785,1.2145198474791183,3.3225758883102476,68.0934651392382,3.167995623502203
H,0.0435110014,0.0317140169,0.0563895973,0.012878595899999998,0.011796984499999996,-0.0010816114000000016,0.012337790199999997,0.00015192859621406348,3.688315552165048,40.22794267885854,3.3785516478547173,2.688315552165048,29.32108232217223,2.462536843787451,4.780000965500973,52.13480303554485,4.378551647854717
C,0.0355464526,0.0298005264,0.0364098976,0.0008634449999999974,0.005745926200000001,0.004882481200000004,0.0033046855999999993,4.961291247758986e-06,6.186374722320658,7.280407469874123,41.16817237924837,5.186374722320658,6.103561934862131,34.51352014314761,6.336645535057515,7.457253004886116,42.16817237924837
C,-0.0546487131,-0.0540909443,-0.0548874369,0.00023872379999999999,0.0005577688000000039,0.0003190450000000039,0.00039824630000000194,1.3315268745744091e-07,-97.97735746423898,-171.28841730790117,-228.92025470439063,-96.97735746423898,-169.54017238947276,-226.58379390743613,-98.40535522962134,-172.0366622263296,-229.92025470439063
C,-0.0419934173,-0.0468683981,-0.0384285821,0.003564835200000005,0.004874980799999998,0.0013101455999999928,0.004219908000000001,1.7378503155164176e-05,-8.61406824412519,-32.05248126620448,-11.77990424353977,-9.61406824412519,-35.773427090851776,-13.147423505019232,-7.882817117966908,-29.33153544155719,-10.77990424353977
C,-0.0450307351,-0.0504530413,-0.0404526213,0.0045781137999999985,0.005422306200000004,0.0008441924000000059,0.0050002100000000015,2.482393484204557e-05,-8.304720065421602,-53.341791634228976,-9.836089067947592,-9.304720065421602,-59.7648608303032,-11.020486493804505,-7.46040887547073,-47.91872243815476,-8.836089067947592
C,-0.0414922056,-0.0497540812,-0.0360671698,0.0054250357999999985,0.008261875600000003,0.0028368398000000045,0.006843455700000001,4.482097090514648e-05,-5.022129067157581,-14.626206809422207,-7.648282357878635,-6.022129067157581,-17.53855864543353,-9.171198685914666,-4.365494174228426,-12.713854973410886,-6.648282357878635
C,-0.0472219354,-0.0547997301,-0.0432966811,0.0039252543,0.007577794700000001,0.003652540400000001,0.005751524500000001,2.9744771230692216e-05,-6.231619787746426,-12.928518299208951,-12.030286903959317,-7.231619787746426,-15.00318246993243,-13.960810156936837,-5.713625509015174,-11.853854128485475,-11.030286903959317
