Molecule,4(N)_q(N)_Hirshfeld,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N),Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N),Density of all electrons_N-1_4(N),Density of Alpha electrons_N-1_4(N),Density of Beta electrons_N-1_4(N),Lagrangian kinetic energy G(r)_N-1_4(N),Hamiltonian kinetic energy K(r)_N-1_4(N),Potential energy density V(r)_N-1_4(N),Energy density E(r) or H(r)_N-1_4(N),Laplacian of electron density_N-1_4(N),Electron localization function (ELF)_N-1_4(N),Localized orbital locator (LOL)_N-1_4(N),Local information entropy_N-1_4(N),Sign(lambda2)*rho_N-1_4(N),Sign(lambda2)*rho with promolecular approximation_N-1_4(N),Average local ionization energy (ALIE)_N-1_4(N),Delta-g (under promolecular approximation)_N-1_4(N),Delta-g (under Hirshfeld partition)_N-1_4(N),ESP from nuclear charges_N-1_4(N),ESP from electrons_N-1_4(N),Total ESP_N-1_4(N),Density of all electrons_(N)-(N-1)_4(N),Density of all electrons_(N+1)-(N)_4(N),Density of all electrons_(N+1)-(N-1)_4(N),Density of Alpha electrons_(N)-(N-1)_4(N),Density of Alpha electrons_(N+1)-(N)_4(N),Density of Alpha electrons_(N+1)-(N-1)_4(N),Density of Beta electrons_(N)-(N-1)_4(N),Density of Beta electrons_(N+1)-(N)_4(N),Density of Beta electrons_(N+1)-(N-1)_4(N),Lagrangian kinetic energy G(r)_(N)-(N-1)_4(N),Lagrangian kinetic energy G(r)_(N+1)-(N)_4(N),Lagrangian kinetic energy G(r)_(N+1)-(N-1)_4(N),Hamiltonian kinetic energy K(r)_(N)-(N-1)_4(N),Hamiltonian kinetic energy K(r)_(N+1)-(N)_4(N),Hamiltonian kinetic energy K(r)_(N+1)-(N-1)_4(N),Potential energy density V(r)_(N)-(N-1)_4(N),Potential energy density V(r)_(N+1)-(N)_4(N),Potential energy density V(r)_(N+1)-(N-1)_4(N),Energy density E(r) or H(r)_(N)-(N-1)_4(N),Energy density E(r) or H(r)_(N+1)-(N)_4(N),Energy density E(r) or H(r)_(N+1)-(N-1)_4(N),Laplacian of electron density_(N)-(N-1)_4(N),Laplacian of electron density_(N+1)-(N)_4(N),Laplacian of electron density_(N+1)-(N-1)_4(N),Electron localization function (ELF)_(N)-(N-1)_4(N),Electron localization function (ELF)_(N+1)-(N)_4(N),Electron localization function (ELF)_(N+1)-(N-1)_4(N),Localized orbital locator (LOL)_(N)-(N-1)_4(N),Localized orbital locator (LOL)_(N+1)-(N)_4(N),Localized orbital locator (LOL)_(N+1)-(N-1)_4(N),Local information entropy_(N)-(N-1)_4(N),Local information entropy_(N+1)-(N)_4(N),Local information entropy_(N+1)-(N-1)_4(N),Sign(lambda2)*rho_(N)-(N-1)_4(N),Sign(lambda2)*rho_(N+1)-(N)_4(N),Sign(lambda2)*rho_(N+1)-(N-1)_4(N),Sign(lambda2)*rho with promolecular approximation_(N)-(N-1)_4(N),Sign(lambda2)*rho with promolecular approximation_(N+1)-(N)_4(N),Sign(lambda2)*rho with promolecular approximation_(N+1)-(N-1)_4(N),Average local ionization energy (ALIE)_(N)-(N-1)_4(N),Average local ionization energy (ALIE)_(N+1)-(N)_4(N),Average local ionization energy (ALIE)_(N+1)-(N-1)_4(N),Delta-g (under promolecular approximation)_(N)-(N-1)_4(N),Delta-g (under promolecular approximation)_(N+1)-(N)_4(N),Delta-g (under promolecular approximation)_(N+1)-(N-1)_4(N),Delta-g (under Hirshfeld partition)_(N)-(N-1)_4(N),Delta-g (under Hirshfeld partition)_(N+1)-(N)_4(N),Delta-g (under Hirshfeld partition)_(N+1)-(N-1)_4(N),ESP from nuclear charges_(N)-(N-1)_4(N),ESP from nuclear charges_(N+1)-(N)_4(N),ESP from nuclear charges_(N+1)-(N-1)_4(N),ESP from electrons_(N)-(N-1)_4(N),ESP from electrons_(N+1)-(N)_4(N),ESP from electrons_(N+1)-(N-1)_4(N),Total ESP_(N)-(N-1)_4(N),Total ESP_(N+1)-(N)_4(N),Total ESP_(N+1)-(N-1)_4(N)
CHEMBL1743583,-0.0581537331,195.4930242,97.7465121,97.7465121,18.65565372,367374.1624,-367392.8181,-367374.1624,-1469422.027,0.9999990264,0.9990142621,-0.8363789196,-193.1631705,-193.1631705,14.1682306,0.05021328898,0.07118986788,2554627.907,-38.945343,2554588.962,195.5273411,97.86782584,97.65951521,18.57826488,367424.4739,-367443.0521,-367424.4739,-1469623.582,0.9999990351,0.9990186346,-0.8159187172,-193.1569138,-193.1569138,13.95067917,0.05102046918,0.07276259704,1359425.114,-37.79818669,1359387.316,195.5026337,97.74914782,97.75348589,18.60300705,367385.5883,-367404.1913,-367385.5883,-1469467.941,0.999999032,0.9990171216,-0.8578721006,-193.1641559,-193.1641559,14.32648185,0.04902651612,0.06953771932,3283739.071,-38.59888355,3283700.472,-0.009609499999982,0.0343168999999932,0.0247074000000111,-0.0026357200000006,0.1213137399999908,0.1186780199999901,-0.0069737899999893,-0.0869968900000088,-0.0939706799999982,0.0526466700000014,-0.0773888400000011,-0.0247421699999996,-11.425900000031106,50.31150000001071,38.8855999999796,11.37320000003092,-50.23399999999674,-38.86079999996582,11.425900000031106,-50.31150000001071,-38.8855999999796,45.91400000010617,-201.5549999999348,-155.64099999982864,-5.599999908234565e-09,8.69999994268511e-09,3.100000034450545e-09,-2.8595000000075643e-06,4.3724999999605885e-06,1.512999999953024e-06,0.0214931809999999,0.0204602024,0.0419533833999999,0.0009853999999904,0.0062566999999944,0.0072420999999849,0.0009853999999904,0.0062566999999944,0.0072420999999849,-0.158251250000001,-0.2175514299999985,-0.3758026799999996,0.0011867728599999,0.0008071802,0.0019939530599999,0.0016521485599999,0.00157272916,0.00322487772,-729111.1639999999,-1195202.793,-1924313.957,-0.3464594500000046,1.1471563099999995,0.8006968599999951,-729111.5100000002,-1195201.6459999995,-1924313.156
CHEMBL1743583-conf_1,-0.0559921194,195.4890673,97.74453367,97.74453367,18.74868628,367370.4659,-367389.2146,-367370.4659,-1469406.869,0.9999990166,0.9990093179,-0.8363284586,-193.1646307,-193.1646307,14.15876401,0.04953047658,0.07061876327,3062001.073,-39.10679374,3061961.966,195.479444,97.7492007,97.73024332,18.80101895,367356.9548,-367375.7558,-367356.9548,-1469352.615,0.9999990109,0.9990064739,-0.8153164003,-193.1635453,-193.1635453,13.98285081,0.04872227899,0.06999270965,2441634.092,-39.09642185,2441594.996,195.5017647,97.74735138,97.7544133,18.63238587,367383.7967,-367402.4291,-367383.7967,-1469460.657,0.999999029,0.9990155636,-0.8578608596,-193.165055,-193.165055,14.32248649,0.04912599602,0.06976181263,3792501.02,-38.68303612,3792462.337,-0.0126974000000075,-0.009623299999987,-0.0223206999999945,-0.0028177100000021,0.0046670300000073,0.0018493200000051,-0.0098796300000003,-0.014290349999996,-0.0241699799999963,0.1163004100000009,0.0523326699999984,0.1686330799999993,-13.330799999996088,-13.511100000003353,-26.84189999999944,13.214500000001864,13.458800000022164,26.673300000024028,13.330799999996088,13.511100000003353,26.84189999999944,53.78799999994226,54.25399999995716,108.04199999989942,-1.2400000026779878e-08,-5.700000027530905e-09,-1.8100000054310783e-08,-6.245699999962717e-06,-2.844000000057356e-06,-9.089700000020072e-06,0.0215324009999999,0.0210120583,0.0425444593,0.0004242999999917,0.0010853999999937,0.0015096999999855,0.0004242999999917,0.0010853999999937,0.0015096999999855,-0.1637224799999987,-0.1759132000000001,-0.3396356799999989,0.00040448056,-0.00080819759,-0.00040371703,0.0008569506399999,-0.0006260536199999,0.0002308970199999,-730499.9470000002,-620366.9809999997,-1350866.9279999998,-0.4237576200000035,0.0103718900000018,-0.4133857300000016,-730500.3709999998,-620366.9700000002,-1350867.341
CHEMBL1743583-conf_2,-0.0549796067,195.5005793,97.75028965,97.75028965,18.69900722,367391.6926,-367410.3916,-367391.6926,-1469491.974,0.999999022,0.9990120372,-0.8364752701,-193.1640763,-193.1640763,14.16128831,0.04967290119,0.07071340875,2859716.643,-39.12423253,2859677.519,195.5114644,97.82170481,97.68975956,18.64399335,367403.4941,-367422.1381,-367403.4941,-1469539.4,0.999999028,0.9990150325,-0.8157190531,-193.1593632,-193.1593632,13.966292,0.05034845035,0.07196663581,1625907.992,-38.45280442,1625869.539,195.5108511,97.75226022,97.75859085,18.61123793,367401.5945,-367420.2057,-367401.5945,-1469531.933,0.9999990313,0.9990167559,-0.8579783939,-193.164762,-193.164762,14.32218176,0.04901369414,0.06960254585,3605865.509,-38.70272622,3605826.806,-0.0102717999999981,0.0108850999999958,0.0006132999999977,-0.0019705699999974,0.0714151600000008,0.0694445900000033,-0.0083012000000053,-0.0605300900000003,-0.0688312900000056,0.0877692899999971,-0.0550138699999998,0.0327554199999973,-9.901899999997111,11.801500000001395,1.899600000004284,9.814100000017788,-11.746500000008382,-1.9323999999905936,9.901899999997111,-11.801500000001395,-1.899600000004284,39.95900000003167,-47.42599999997765,-7.466999999945983,-9.299999992329331e-09,5.9999999413307145e-09,-3.3000000509986194e-09,-4.718700000072573e-06,2.995300000030454e-06,-1.723400000042119e-06,0.0215031237999999,0.0207562169999999,0.0422593407999999,0.0006856999999911,0.0047131000000035,0.0053987999999947,0.0006856999999911,0.0047131000000035,0.0053987999999947,-0.1608934499999996,-0.1949963100000005,-0.3558897600000001,0.0006592070499999,0.0006755491599999,0.0013347562099999,0.0011108628999999,0.00125322706,0.0023640899599999,-746148.8659999999,-1233808.651,-1979957.517,-0.421506309999998,0.6714281100000008,0.2499218000000027,-746149.287,-1233807.9799999995,-1979957.267
CHEMBL1743593,-0.0690923499,195.4523521,97.72617604,97.72617604,18.66451771,367292.4252,-367311.0897,-367292.4252,-1469095.043,0.9999990248,0.9990134525,-1.30981698,-193.1623692,-193.1623692,14.15393509,0.05022535816,0.07124598388,2272066.061,-35.92990672,2272030.131,195.4920657,97.80148064,97.69058508,18.56604787,367359.4451,-367378.0112,-367359.4451,-1469363.516,0.9999990357,0.9990189842,-1.278245732,-193.1573891,-193.1573891,13.95374975,0.05106054416,0.07277109987,1392580.765,-35.243304,1392545.522,195.4584667,97.7302255,97.72824118,18.66520721,367301.6926,-367320.3578,-367301.6926,-1469132.109,0.9999990248,0.9990134674,-1.342993269,-193.1647421,-193.1647421,14.3332643,0.0490758026,0.06956564802,3468279.878,-35.67680829,3468244.202,-0.0061145999999894,0.0397135999999989,0.0335990000000094,-0.0040494600000045,0.0753045999999955,0.071255139999991,-0.0020651399999991,-0.0355909599999932,-0.0376560999999924,-0.0006895,-0.0984698399999999,-0.0991593399999999,-9.267400000011548,67.01990000001388,57.75250000000233,9.268099999986587,-66.92149999999674,-57.65340000001015,9.267400000011548,-67.01990000001388,-57.75250000000233,37.0659999998752,-268.47299999999814,-231.4070000001229,0.0,1.0900000013691624e-08,1.0900000013691624e-08,-1.49000000115862e-08,5.53170000006098e-06,5.516800000049393e-06,0.033176289,0.0315712479999998,0.0647475369999999,0.0023729000000116,0.0049801000000115,0.0073530000000232,0.0023729000000116,0.0049801000000115,0.0073530000000232,-0.1793292100000005,-0.2001853399999991,-0.3795145499999997,0.0011495555599999,0.000835186,0.0019847415599999,0.00168033586,0.0015251159899999,0.0032054518499999,-1196213.8169999998,-879485.2960000003,-2075699.113,-0.2530984300000014,0.6866027199999962,0.4335042899999948,-1196214.071,-879484.6089999999,-2075698.68
CHEMBL1743593-conf_1,-0.0696636078,195.4586071,97.72930353,97.72930353,18.66246642,367303.1201,-367321.7825,-367303.1201,-1469137.83,0.9999990251,0.9990136133,-1.309921448,-193.1624217,-193.1624217,14.15339616,0.05050843323,0.07161085137,2289797.403,-35.87249973,2289761.531,195.5072808,97.81506866,97.6922121,18.55338476,367385.2502,-367403.8036,-367385.2502,-1469466.787,0.9999990373,0.9990197798,-1.278495867,-193.157395,-193.157395,13.95352978,0.05125200866,0.07300738842,1393672.329,-35.20771153,1393637.121,195.5020566,97.78090941,97.7211472,18.57840301,367371.4186,-367389.997,-367371.4186,-1469411.361,0.9999990346,0.9990184155,-1.343733126,-193.1654321,-193.1654321,14.3465047,0.04764241611,0.06767989907,4259114.116,-35.53432445,4259078.582,-0.0434495000000083,0.0486736999999948,0.0052241999999864,-0.0516058800000109,0.0857651299999986,0.0341592499999876,0.0081563299999913,-0.0370914299999896,-0.0289350999999982,0.0840634100000023,-0.109081660000001,-0.0250182499999986,-68.29849999997532,82.1301000000094,13.831600000034086,68.21450000000186,-82.02110000001267,-13.806600000010803,68.29849999997532,-82.1301000000094,-13.831600000034086,273.530999999959,-328.95699999993667,-55.42599999997765,-9.499999897855105e-09,1.2199999899209502e-08,2.7000000013543964e-09,-4.802199999986989e-06,6.166499999959996e-06,1.3642999999730063e-06,0.0338116779999999,0.0314255810000001,0.0652372590000001,0.0030103999999937,0.0050267000000019,0.0080370999999956,0.0030103999999937,0.0050267000000019,0.0080370999999956,-0.1931085400000007,-0.1998663799999995,-0.3929749200000003,0.0028660171199999,0.00074357543,0.0036095925499999,0.0039309523,0.0013965370499999,0.00532748935,-1969316.7130000005,-896125.074,-2865441.7870000005,-0.3381752800000015,0.6647882000000038,0.3266129200000023,-1969317.0510000004,-896124.4099999999,-2865441.461
CHEMBL1743593-conf_10,-0.0701654586,195.4573317,97.72866583,97.72866583,18.6650235,367304.3146,-367322.9796,-367304.3146,-1469142.598,0.9999990248,0.9990134676,-1.309900147,-193.1622689,-193.1622689,14.15338784,0.05051309858,0.07157970709,2269410.999,-35.95764963,2269375.042,195.4530687,97.73769493,97.71537373,18.64308523,367292.4528,-367311.0958,-367292.4528,-1469095.239,0.9999990271,0.9990145902,-1.277604674,-193.1596558,-193.1596558,13.97451636,0.05117984627,0.07279520965,1650161.874,-35.62419848,1650126.25,195.5118192,97.7821198,97.7296994,18.58114292,367394.7825,-367413.3636,-367394.7825,-1469504.805,0.9999990345,0.9990183524,-1.343898842,-193.1651376,-193.1651376,14.34862199,0.04794247067,0.06798821729,4051424.902,-35.80800669,4051389.094,-0.0544874999999933,-0.0042630000000087,-0.0587505000000021,-0.0534539700000067,0.0090291000000064,-0.0444248700000002,-0.0010335700000041,-0.013292100000001,-0.0143256700000051,0.0838805799999988,-0.0219382699999997,0.0619423099999991,-90.46789999998872,-11.86179999995511,-102.32969999994384,90.38399999996182,11.883800000010524,102.26779999997234,90.46789999998872,11.86179999995511,102.32969999994384,362.2069999999367,47.35899999993853,409.5659999998752,-9.70000002542548e-09,2.2999999682582484e-09,-7.400000057167233e-09,-4.884800000048983e-06,1.1226000000696956e-06,-3.762199999979288e-06,0.0339986949999999,0.032295473,0.0662941679999999,0.0028687000000218,0.0026130999999907,0.0054818000000125,0.0028687000000218,0.0026130999999907,0.0054818000000125,-0.1952341499999992,-0.1788714799999997,-0.3741056299999989,0.0025706279099999,0.00066674769,0.0032373756,0.0035914898,0.0012155025599999,0.0048069923599999,-1782013.903,-619249.1249999998,-2401263.028,-0.1496429399999996,0.3334511500000019,0.1838082100000022,-1782014.052,-619248.7919999999,-2401262.844
CHEMBL1743593-conf_2,-0.0698150549,195.4590399,97.72951994,97.72951994,18.66070929,367304.0775,-367322.7382,-367304.0775,-1469141.667,0.9999990253,0.9990137098,-1.309928677,-193.1624059,-193.1624059,14.15320896,0.05049717282,0.07159724775,2286905.852,-35.86909727,2286869.983,195.5072289,97.81502401,97.69220487,18.55372171,367385.5039,-367404.0576,-367385.5039,-1469467.801,0.9999990373,0.9990197615,-1.278495014,-193.157393,-193.157393,13.95343783,0.05125060163,0.07300668825,1393214.114,-35.20725143,1393178.907,195.4669193,97.73186118,97.73505808,18.63523267,367314.5622,-367333.1975,-367314.5622,-1469183.708,0.9999990281,0.9990151211,-1.343136728,-193.1644059,-193.1644059,14.32857491,0.04904996147,0.06948023662,3403042.289,-35.59613402,3403006.693,-0.0078794000000073,0.0481890000000078,0.0403096000000005,-0.0023412399999926,0.0855040699999989,0.0831628300000062,-0.0055381399999987,-0.0373150700000053,-0.042853210000004,0.0254766199999991,-0.1069875799999984,-0.0815109599999992,-10.48469999997178,81.42639999999665,70.94170000002487,10.459299999987708,-81.31939999997849,-70.86009999999078,10.48469999997178,-81.42639999999665,-70.94170000002487,42.041000000201166,-326.13400000007823,-284.09299999987707,-2.800000009628434e-09,1.1999999993683731e-08,9.199999984055296e-09,-1.4112999999760234e-06,6.051700000009319e-06,4.640400000033296e-06,0.0332080509999999,0.031433663,0.0646417139999999,0.0019999999999811,0.0050128999999969,0.0070128999999781,0.0019999999999811,0.0050128999999969,0.0070128999999781,-0.1753659499999997,-0.1997711300000002,-0.37513708,0.0014472113499999,0.00075342881,0.00220064016,0.0021170111299999,0.0014094404999999,0.0035264516299999,-1116136.437,-893691.7379999999,-2009828.175,-0.2729632499999965,0.661845839999998,0.3888825900000014,-1116136.71,-893691.0760000001,-2009827.786
CHEMBL1743593-conf_3,-0.0691969984,195.4562344,97.72811722,97.72811722,18.66583254,367298.5737,-367317.2395,-367298.5737,-1469119.631,0.9999990247,0.9990134157,-1.309881822,-193.162512,-193.162512,14.15365839,0.05048322933,0.07157590359,2313095.697,-35.90401446,2313059.793,195.5303872,97.86460209,97.6657851,18.54273798,367424.8211,-367443.3639,-367424.8211,-1469625.114,0.9999990388,0.9990205348,-1.278875758,-193.1560767,-193.1560767,13.93887278,0.05122337188,0.07309858923,1271811.975,-34.90290604,1271777.072,195.4666836,97.7332576,97.73342604,18.63866701,367313.6069,-367332.2455,-367313.6069,-1469179.873,0.9999990277,0.9990149378,-1.343132729,-193.164601,-193.164601,14.33338937,0.04900899223,0.06944141918,3507648.325,-35.62244439,3507612.703,-0.0104492000000107,0.0741528000000073,0.0637035999999966,-0.0051403800000002,0.1364848700000038,0.1313444900000036,-0.0053088199999962,-0.0623321200000077,-0.0676409400000039,0.0271655300000013,-0.1230945600000019,-0.0959290300000006,-15.033200000005309,126.24739999999292,111.2141999999876,15.005999999993946,-126.1243999999715,-111.11839999997756,15.033200000005309,-126.24739999999292,-111.2141999999876,60.24199999985285,-505.48300000000745,-445.2410000001546,-3.000000026176508e-09,1.4099999945393904e-08,1.1099999919217396e-08,-1.5220999999288054e-06,7.119099999952638e-06,5.597000000023833e-06,0.0332509069999999,0.0310060639999998,0.0642569709999998,0.0020890000000122,0.0064352999999925,0.0085243000000048,0.0020890000000122,0.0064352999999925,0.0085243000000048,-0.1797309800000004,-0.2147856099999998,-0.3945165900000003,0.0014742370999999,0.00074014255,0.00221437965,0.0021344844099999,0.0015226856399999,0.0036571700499999,-1194552.628,-1041283.722,-2235836.35,-0.2815700700000008,1.001108420000001,0.7195383500000005,-1194552.91,-1041282.721,-2235835.631
CHEMBL1743593-conf_4,-0.0693681798,195.4602697,97.73013485,97.73013485,18.66365558,367309.16,-367327.8237,-367309.16,-1469161.986,0.999999025,0.9990135645,-1.309949218,-193.1622345,-193.1622345,14.1530432,0.05055606165,0.07164436692,2254905.045,-35.95980581,2254869.085,195.5161962,97.84641857,97.66977765,18.56076854,367400.2451,-367418.8058,-367400.2451,-1469526.737,0.9999990367,0.9990194647,-1.278642442,-193.1558467,-193.1558467,13.93654826,0.05125054602,0.07312436498,1260586.545,-34.88235205,1260551.663,195.4752137,97.73473367,97.74048007,18.61738476,367333.1237,-367351.7411,-367333.1237,-1469258.025,0.9999990301,0.9990161329,-1.343277507,-193.1639909,-193.1639909,14.3242603,0.04893394184,0.06926029193,3266893.586,-35.65399291,3266857.932,-0.014944000000014,0.0559264999999982,0.0409824999999841,-0.0045988199999982,0.1162837199999984,0.1116849000000002,-0.0103452200000049,-0.0603571999999985,-0.0707024200000034,0.0462708200000001,-0.1028870399999988,-0.0566162199999986,-23.963700000022072,91.0851000000257,67.12140000000363,23.917399999976624,-90.9820999999647,-67.06469999998808,23.963700000022072,-91.0851000000257,-67.12140000000363,96.03899999987334,-364.7509999999311,-268.71200000005774,-5.099999977886682e-09,1.169999996886162e-08,6.599999990974936e-09,-2.568400000013682e-06,5.900200000019673e-06,3.331800000005991e-06,0.0333282889999999,0.031306776,0.064635065,0.0017563999999765,0.0063877999999988,0.0081441999999753,0.0017563999999765,0.0063877999999988,0.0081441999999753,-0.1712170999999998,-0.2164949400000004,-0.3877120400000002,0.0016221198099999,0.00069448437,0.00231660418,0.0023840749899999,0.00147999806,0.00386407305,-1011988.5410000002,-994318.5,-2006307.041,-0.3058128999999994,1.0774537599999974,0.771640859999998,-1011988.847,-994317.422,-2006306.269
CHEMBL1743593-conf_5,-0.0698113739,195.4590103,97.72950513,97.72950513,18.66076605,367304.0226,-367322.6834,-367304.0226,-1469141.447,0.9999990253,0.9990137065,-1.309928183,-193.1624076,-193.1624076,14.15321002,0.05049686916,0.07159699506,2287271.436,-35.86897674,2287235.567,195.507243,97.81503986,97.69220316,18.55371155,367385.5305,-367404.0842,-367385.5305,-1469467.907,0.9999990373,0.9990197622,-1.278495246,-193.1573926,-193.1573926,13.95343393,0.05125101652,0.07300726094,1393163.652,-35.20716123,1393128.445,195.4669063,97.73185479,97.73505151,18.63528915,367314.5414,-367333.1767,-367314.5414,-1469183.625,0.9999990281,0.999015118,-1.343136508,-193.1644063,-193.1644063,14.32857813,0.04905073887,0.06948127948,3403049.327,-35.59633853,3403013.731,-0.0078960000000165,0.0482326999999997,0.0403366999999832,-0.002349659999993,0.085534729999992,0.0831850699999989,-0.0055463799999984,-0.0373019700000014,-0.0428483499999998,0.025476900000001,-0.1070545000000002,-0.0815775999999992,-10.51879999996163,81.50789999996778,70.98910000000615,10.493300000031011,-81.40080000000307,-70.90749999997206,10.51879999996163,-81.50789999996778,-70.98910000000615,42.17800000007264,-326.45999999996275,-284.2819999998901,-2.800000009628434e-09,1.1999999993683731e-08,9.199999984055296e-09,-1.4114999999925717e-06,6.055700000007214e-06,4.644200000014642e-06,0.0332083249999999,0.0314329369999999,0.0646412619999998,0.0019987000000014,0.005014999999986,0.0070136999999874,0.0019987000000014,0.005014999999986,0.0070136999999874,-0.1753681100000008,-0.1997760900000003,-0.3751442000000011,0.00144613029,0.0007541473599999,0.0022002776499999,0.0021157155799999,0.0014102658799999,0.0035259814599999,-1115777.8909999998,-894107.7840000002,-2009885.675,-0.2726382100000037,0.6618155100000038,0.3891773,-1115778.1640000003,-894107.1219999997,-2009885.286
