Molecule,4(N)_q(N)_Hirshfeld,4(N)_q(N+1)_Hirshfeld,4(N)_q(N-1)_Hirshfeld,4(N)_f-_Hirshfeld,4(N)_f+_Hirshfeld,4(N)_CDD_Hirshfeld,4(N)_f0_Hirshfeld,4(N)_f+f-_Hirshfeld,4(N)_q(N)/f+_Hirshfeld,4(N)_q(N)/CDD_Hirshfeld,4(N)_q(N)/f-_Hirshfeld,4(N)_q(N+1)/f+_Hirshfeld,4(N)_q(N+1)/CDD_Hirshfeld,4(N)_q(N+1)/f-_Hirshfeld,4(N)_q(N-1)/f+_Hirshfeld,4(N)_q(N-1)/CDD_Hirshfeld,4(N)_q(N-1)/f-_Hirshfeld
CHEMBL1743583,-0.0581537331,-0.115943695,-0.0512755449,0.0068781882,0.0577899619,0.0509117736999999,0.03233407505,0.000397490234019,-1.0062947125770645,-1.1422452779326366,-8.454803999111274,-2.0062947125770645,-2.2773454266827087,-16.85672034969906,-0.8872742464985082,-1.0071451291825648,-7.454803999111274
CHEMBL1743583-conf_1,-0.0559921194,-0.0756632879,-0.044354099,0.0116380203999999,0.0196711685,0.0080331481,0.01565459445,0.0002289334602948,-2.8464053571601498,-6.970134087282664,-4.811137760164092,-3.8464053571601498,-9.418883725049206,-6.5013881484517775,-2.25477703574142,-5.521384449516121,-3.811137760164092
CHEMBL1743583-conf_2,-0.0549796067,-0.0976832848,-0.0439748595,0.0110047472,0.0427036781,0.0316989309,0.02685421265,0.0004699431820006,-1.2874677111243962,-1.7344309457452398,-4.995989976035068,-2.287467711124396,-3.081595562580945,-8.876467857435195,-1.0297674920886966,-1.3872663289095344,-3.995989976035068
CHEMBL1743593,-0.0690923499,-0.1117666836,-0.0481453415,0.0209470084,0.0426743337,0.0217273252999999,0.03181067105,0.0008938996264783,-1.6190610118418791,-3.179974936905833,-3.2984352028044253,-2.61906101184188,-5.144060856860279,-5.335687152347731,-1.1282037076070388,-2.215889016951388,-2.2984352028044253
CHEMBL1743593-conf_1,-0.0696636078,-0.1111057807,-0.0193285929,0.0503350149,0.0414421729,-0.0088928419999999,0.0458885939,0.0020859923904098,-1.680983474686483,-7.833672047698589,-1.3839989505992971,-2.680983474686483,-12.493844003975337,-2.2073258728686698,-0.4663991182759627,-2.1735000914218428,-0.3839989505992974
CHEMBL1743593-conf_10,-0.0701654586,-0.0932730788,-0.0196681539,0.0504973046999999,0.0231076202,-0.0273896844999999,0.03680246245,0.0011668725381312,-3.036464075171184,-2.561747602459606,-1.389489181984004,-4.036464075171184,-3.405409025430726,-1.8470902428184448,-0.8511544559660016,-0.7180861794884863,-0.389489181984004
CHEMBL1743593-conf_2,-0.0698150549,-0.1112374195,-0.0536747534,0.0161403015,0.0414223646,0.0252820630999999,0.02878133305,0.0006685694534869,-1.6854434934890223,-2.761446113944713,-4.325511199403553,-2.6854434934890223,-4.399855306903338,-6.891904683441009,-1.29579163136428,-2.123036920986089,-3.325511199403553
CHEMBL1743593-conf_3,-0.0691969984,-0.125789383,-0.0506985932,0.0184984051999999,0.0565923846,0.0380939794,0.0375453949,0.001046868861565,-1.222726324205819,-1.8164812259020644,-3.740700760517453,-2.222726324205819,-3.302080406963206,-6.800012305925703,-0.8958553974769248,-1.3308820448409229,-2.740700760517453
CHEMBL1743593-conf_4,-0.0693681798,-0.1299064497,-0.0547050918,0.0146630879999999,0.0605382699,0.0458751819,0.03760067895,0.0008876779789114,-1.1458566608293506,-1.5121069154823337,-4.730802938644303,-2.1458566608293506,-2.831736994158926,-8.859419632481236,-0.9036447835454244,-1.192476836805741,-3.7308029386443033
CHEMBL1743593-conf_5,-0.0698113739,-0.1112404873,-0.0536732868,0.0161380871,0.0414291133999999,0.0252910262999999,0.02878360025,0.0006685866405249,-1.6850800842868148,-2.760321905165233,-4.325876633792612,-2.685080084286815,-4.398417287636921,-6.893040458308096,-1.295545146761456,-2.1222265226935457,-3.3258766337926127
