Molecule,Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N)
CHEMBL1743583,0.1955273411E+03,0.9786782584E+02,0.9765951521E+02,0.1857826488E+02,0.3674244739E+06,-0.3674430521E+06,-0.3674244739E+06,-0.1469623582E+07,0.9999990351E+00,0.9990186346E+00,-0.8159187172E+00,-0.1931569138E+03,-0.1931569138E+03,0.1395067917E+02,0.5102046918E-01,0.7276259704E-01,0.1359425114E+07,-0.3779818669E+02,0.1359387316E+07
CHEMBL1743583-conf_1,0.1954794440E+03,0.9774920070E+02,0.9773024332E+02,0.1880101895E+02,0.3673569548E+06,-0.3673757558E+06,-0.3673569548E+06,-0.1469352615E+07,0.9999990109E+00,0.9990064739E+00,-0.8153164003E+00,-0.1931635453E+03,-0.1931635453E+03,0.1398285081E+02,0.4872227899E-01,0.6999270965E-01,0.2441634092E+07,-0.3909642185E+02,0.2441594996E+07
CHEMBL1743583-conf_2,0.1955114644E+03,0.9782170481E+02,0.9768975956E+02,0.1864399335E+02,0.3674034941E+06,-0.3674221381E+06,-0.3674034941E+06,-0.1469539400E+07,0.9999990280E+00,0.9990150325E+00,-0.8157190531E+00,-0.1931593632E+03,-0.1931593632E+03,0.1396629200E+02,0.5034845035E-01,0.7196663581E-01,0.1625907992E+07,-0.3845280442E+02,0.1625869539E+07
CHEMBL1743593,0.1954920657E+03,0.9780148064E+02,0.9769058508E+02,0.1856604787E+02,0.3673594451E+06,-0.3673780112E+06,-0.3673594451E+06,-0.1469363516E+07,0.9999990357E+00,0.9990189842E+00,-0.1278245732E+01,-0.1931573891E+03,-0.1931573891E+03,0.1395374975E+02,0.5106054416E-01,0.7277109987E-01,0.1392580765E+07,-0.3524330400E+02,0.1392545522E+07
CHEMBL1743593-conf_1,0.1955072808E+03,0.9781506866E+02,0.9769221210E+02,0.1855338476E+02,0.3673852502E+06,-0.3674038036E+06,-0.3673852502E+06,-0.1469466787E+07,0.9999990373E+00,0.9990197798E+00,-0.1278495867E+01,-0.1931573950E+03,-0.1931573950E+03,0.1395352978E+02,0.5125200866E-01,0.7300738842E-01,0.1393672329E+07,-0.3520771153E+02,0.1393637121E+07
CHEMBL1743593-conf_10,0.1954530687E+03,0.9773769493E+02,0.9771537373E+02,0.1864308523E+02,0.3672924528E+06,-0.3673110958E+06,-0.3672924528E+06,-0.1469095239E+07,0.9999990271E+00,0.9990145902E+00,-0.1277604674E+01,-0.1931596558E+03,-0.1931596558E+03,0.1397451636E+02,0.5117984627E-01,0.7279520965E-01,0.1650161874E+07,-0.3562419848E+02,0.1650126250E+07
CHEMBL1743593-conf_2,0.1955072289E+03,0.9781502401E+02,0.9769220487E+02,0.1855372171E+02,0.3673855039E+06,-0.3674040576E+06,-0.3673855039E+06,-0.1469467801E+07,0.9999990373E+00,0.9990197615E+00,-0.1278495014E+01,-0.1931573930E+03,-0.1931573930E+03,0.1395343783E+02,0.5125060163E-01,0.7300668825E-01,0.1393214114E+07,-0.3520725143E+02,0.1393178907E+07
CHEMBL1743593-conf_3,0.1955303872E+03,0.9786460209E+02,0.9766578510E+02,0.1854273798E+02,0.3674248211E+06,-0.3674433639E+06,-0.3674248211E+06,-0.1469625114E+07,0.9999990388E+00,0.9990205348E+00,-0.1278875758E+01,-0.1931560767E+03,-0.1931560767E+03,0.1393887278E+02,0.5122337188E-01,0.7309858923E-01,0.1271811975E+07,-0.3490290604E+02,0.1271777072E+07
CHEMBL1743593-conf_4,0.1955161962E+03,0.9784641857E+02,0.9766977765E+02,0.1856076854E+02,0.3674002451E+06,-0.3674188058E+06,-0.3674002451E+06,-0.1469526737E+07,0.9999990367E+00,0.9990194647E+00,-0.1278642442E+01,-0.1931558467E+03,-0.1931558467E+03,0.1393654826E+02,0.5125054602E-01,0.7312436498E-01,0.1260586545E+07,-0.3488235205E+02,0.1260551663E+07
CHEMBL1743593-conf_5,0.1955072430E+03,0.9781503986E+02,0.9769220316E+02,0.1855371155E+02,0.3673855305E+06,-0.3674040842E+06,-0.3673855305E+06,-0.1469467907E+07,0.9999990373E+00,0.9990197622E+00,-0.1278495246E+01,-0.1931573926E+03,-0.1931573926E+03,0.1395343393E+02,0.5125101652E-01,0.7300726094E-01,0.1393163652E+07,-0.3520716123E+02,0.1393128445E+07
