Molecule,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N)
CHEMBL1743583,0.1954930242E+03,0.9774651210E+02,0.9774651210E+02,0.1865565372E+02,0.3673741624E+06,-0.3673928181E+06,-0.3673741624E+06,-0.1469422027E+07,0.9999990264E+00,0.9990142621E+00,-0.8363789196E+00,-0.1931631705E+03,-0.1931631705E+03,0.1416823060E+02,0.5021328898E-01,0.7118986788E-01,0.2554627907E+07,-0.3894534300E+02,0.2554588962E+07
CHEMBL1743583-conf_1,0.1954890673E+03,0.9774453367E+02,0.9774453367E+02,0.1874868628E+02,0.3673704659E+06,-0.3673892146E+06,-0.3673704659E+06,-0.1469406869E+07,0.9999990166E+00,0.9990093179E+00,-0.8363284586E+00,-0.1931646307E+03,-0.1931646307E+03,0.1415876401E+02,0.4953047658E-01,0.7061876327E-01,0.3062001073E+07,-0.3910679374E+02,0.3061961966E+07
CHEMBL1743583-conf_2,0.1955005793E+03,0.9775028965E+02,0.9775028965E+02,0.1869900722E+02,0.3673916926E+06,-0.3674103916E+06,-0.3673916926E+06,-0.1469491974E+07,0.9999990220E+00,0.9990120372E+00,-0.8364752701E+00,-0.1931640763E+03,-0.1931640763E+03,0.1416128831E+02,0.4967290119E-01,0.7071340875E-01,0.2859716643E+07,-0.3912423253E+02,0.2859677519E+07
CHEMBL1743593,0.1954523521E+03,0.9772617604E+02,0.9772617604E+02,0.1866451771E+02,0.3672924252E+06,-0.3673110897E+06,-0.3672924252E+06,-0.1469095043E+07,0.9999990248E+00,0.9990134525E+00,-0.1309816980E+01,-0.1931623692E+03,-0.1931623692E+03,0.1415393509E+02,0.5022535816E-01,0.7124598388E-01,0.2272066061E+07,-0.3592990672E+02,0.2272030131E+07
CHEMBL1743593-conf_1,0.1954586071E+03,0.9772930353E+02,0.9772930353E+02,0.1866246642E+02,0.3673031201E+06,-0.3673217825E+06,-0.3673031201E+06,-0.1469137830E+07,0.9999990251E+00,0.9990136133E+00,-0.1309921448E+01,-0.1931624217E+03,-0.1931624217E+03,0.1415339616E+02,0.5050843323E-01,0.7161085137E-01,0.2289797403E+07,-0.3587249973E+02,0.2289761531E+07
CHEMBL1743593-conf_10,0.1954573317E+03,0.9772866583E+02,0.9772866583E+02,0.1866502350E+02,0.3673043146E+06,-0.3673229796E+06,-0.3673043146E+06,-0.1469142598E+07,0.9999990248E+00,0.9990134676E+00,-0.1309900147E+01,-0.1931622689E+03,-0.1931622689E+03,0.1415338784E+02,0.5051309858E-01,0.7157970709E-01,0.2269410999E+07,-0.3595764963E+02,0.2269375042E+07
CHEMBL1743593-conf_2,0.1954590399E+03,0.9772951994E+02,0.9772951994E+02,0.1866070929E+02,0.3673040775E+06,-0.3673227382E+06,-0.3673040775E+06,-0.1469141667E+07,0.9999990253E+00,0.9990137098E+00,-0.1309928677E+01,-0.1931624059E+03,-0.1931624059E+03,0.1415320896E+02,0.5049717282E-01,0.7159724775E-01,0.2286905852E+07,-0.3586909727E+02,0.2286869983E+07
CHEMBL1743593-conf_3,0.1954562344E+03,0.9772811722E+02,0.9772811722E+02,0.1866583254E+02,0.3672985737E+06,-0.3673172395E+06,-0.3672985737E+06,-0.1469119631E+07,0.9999990247E+00,0.9990134157E+00,-0.1309881822E+01,-0.1931625120E+03,-0.1931625120E+03,0.1415365839E+02,0.5048322933E-01,0.7157590359E-01,0.2313095697E+07,-0.3590401446E+02,0.2313059793E+07
CHEMBL1743593-conf_4,0.1954602697E+03,0.9773013485E+02,0.9773013485E+02,0.1866365558E+02,0.3673091600E+06,-0.3673278237E+06,-0.3673091600E+06,-0.1469161986E+07,0.9999990250E+00,0.9990135645E+00,-0.1309949218E+01,-0.1931622345E+03,-0.1931622345E+03,0.1415304320E+02,0.5055606165E-01,0.7164436692E-01,0.2254905045E+07,-0.3595980581E+02,0.2254869085E+07
CHEMBL1743593-conf_5,0.1954590103E+03,0.9772950513E+02,0.9772950513E+02,0.1866076605E+02,0.3673040226E+06,-0.3673226834E+06,-0.3673040226E+06,-0.1469141447E+07,0.9999990253E+00,0.9990137065E+00,-0.1309928183E+01,-0.1931624076E+03,-0.1931624076E+03,0.1415321002E+02,0.5049686916E-01,0.7159699506E-01,0.2287271436E+07,-0.3586897674E+02,0.2287235567E+07
