Name,CCDC,Type,PubChem_ID,Metal_Or_Radioisotope,URL_PubChem_2D,Status,Content type,RDKit_Mol,Number of aliphatic atoms,Number of aromatic atoms,Number of heteroatoms in aromatic rings,Number of carbons,Total number of atoms,Number of hydrogens,Number of heteroatoms,NumAmideBonds,NumStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,Molecular Formula
Oxaliplatin,AKUFIV,Metallodrug,9887053,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/9887053/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt+2].O(C(=O)C(O[H])=O)[H],9,0,0,2,9,2,5,0,0,0,0,0,0,0,C2H2O4Pt
Carboplatin,,Metallodrug,426756,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/426756/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt+2].O(C(=O)C1(C(C(C1([H])[H])([H])[H])([H])[H])C(O[H])=O)[H],19,0,0,6,19,8,5,0,0,1,0,1,1,0.666666666666667,C6H8O4Pt
Lobaplatin,,Metallodrug,24202037,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/24202037/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt+4].[O-]C(C([O-])=O)(C([H])([H])[H])[H].N(C(C1(C(C(C1([H])[H])([H])[H])(C(N([H])[H])([H])[H])[H])[H])([H])[H])([H])[H],33,0,0,9,33,18,6,0,3,1,0,1,1,0.888888888888889,C9H18N2O3Pt
Nedaplatin,,Metallodrug,6917890,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/6917890/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt].O(C(C(O[H])=O)([H])[H])[H],10,0,0,2,10,4,4,0,0,0,0,0,0,0.5,C2H4O3Pt
Picoplatin,,Metallodrug,177358,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/177358/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt+2].[Cl-].[Cl-].n1c(c(c(c(c1[H])[H])[H])[H])C([H])([H])[H],11,6,1,6,17,7,4,0,0,1,1,0,0,0.166666666666667,C6H7Cl2NPt
Iproplatin,,Metallodrug,155491322,Pt,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/155491322/record/SDF?record_type=2d&response_type=display,200,text/plain,[Pt].[Cl-].[Cl-],3,0,0,0,3,0,3,0,0,0,0,0,0,0,Cl2Pt
Aurothiomalate,,Metallodrug,422786,Au,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/422786/record/SDF?record_type=2d&response_type=display,200,text/plain,[Au+].[S-]C(C(C(O[H])=O)([H])[H])(C(O[H])=O)[H],15,0,0,4,15,5,6,0,1,0,0,0,0,0.5,C4H5AuO4S
Auranofin,,Metallodrug,24199313,Au,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/24199313/record/SDF?record_type=2d&response_type=display,200,text/plain,[Au+].[S-]C1(OC(C(OC(=O)C([H])([H])[H])(C(OC(=O)C([H])([H])[H])(C1(OC(=O)C([H])([H])[H])[H])[H])[H])(C(OC(=O)C([H])([H])[H])([H])[H])[H])[H].P(C(C([H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H],66,0,0,20,66,34,12,0,5,1,0,1,1,0.8,C20H34AuO9PS
Aurothiosulfate,,Metallodrug,27176,Au,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/27176/record/SDF?record_type=2d&response_type=display,200,text/plain,[Au],1,0,0,0,1,0,1,0,0,0,0,0,0,0,Au
Aurothiopropanolsulphonate,,Metallodrug,10452965,Au,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/CID/10452965/record/SDF?record_type=2d&response_type=display,200,text/plain,[Au+].S([O-])(=O)(=O)C(C(O[H])(C([S-])([H])[H])[H])([H])[H].[Na+],17,0,0,3,17,6,8,0,1,0,0,0,0,1,C3H6AuNaO4S2
