log_name,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,4(N)_q(N)_Hirshfeld,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N),4(N)_q(N)_div_Sum_q(N)_neighbors_Hirshfeld,4(N)_q(N)_res_Sum_q(N)_neighbors_Hirshfeld,4(N)_Sum_q(N)_neighbors_div_q(N)_Hirshfeld,4(N)_Avg_q(N)_neighbors_Hirshfeld,4(N)_Std_q(N)_neighbors_Hirshfeld,4(N)_Abs_Diff_q(N)_Hirshfeld,4(N)_q(N)_x_Avg_q(N)_neighbors_Hirshfeld,4(N)_Num_neighbors_Hirshfeld,4(N)_Entropy_q(N)_neighbors_Hirshfeld,sum_frag_q(N)_Hirshfeld,sum_frag_Density of all electrons_N,sum_frag_Density of Alpha electrons_N,sum_frag_Density of Beta electrons_N,sum_frag_Lagrangian kinetic energy G(r)_N,sum_frag_Hamiltonian kinetic energy K(r)_N,sum_frag_Potential energy density V(r)_N,sum_frag_Energy density E(r) or H(r)_N,sum_frag_Laplacian of electron density_N,sum_frag_Electron localization function (ELF)_N,sum_frag_Localized orbital locator (LOL)_N,sum_frag_Local information entropy_N,sum_frag_Sign(lambda2)*rho_N,sum_frag_Sign(lambda2)*rho with promolecular approximation_N,sum_frag_Average local ionization energy (ALIE)_N,sum_frag_Delta-g (under promolecular approximation)_N,sum_frag_Delta-g (under Hirshfeld partition)_N,sum_frag_ESP from nuclear charges_N,sum_frag_ESP from electrons_N,sum_frag_Total ESP_N,sum_frag_q(N)_div_Sum_q(N)_neighbors_Hirshfeld,sum_frag_q(N)_res_Sum_q(N)_neighbors_Hirshfeld,sum_frag_Sum_q(N)_neighbors_div_q(N)_Hirshfeld,sum_frag_Avg_q(N)_neighbors_Hirshfeld,sum_frag_Std_q(N)_neighbors_Hirshfeld,sum_frag_Abs_Diff_q(N)_Hirshfeld,sum_frag_q(N)_x_Avg_q(N)_neighbors_Hirshfeld,sum_frag_Num_neighbors_Hirshfeld,sum_frag_Entropy_q(N)_neighbors_Hirshfeld,G_div_V_N_4(N),sum_frag_G_div_V_N,G(T)_spc(Hartree)
carboplatin,-0.22374,-0.05915,-0.141445,0.16459,0.06078,127.891,54.9884,13.3091,1279.621,381.536174965139,580.940685872544,0.88247605841047,172.7741,162.394,131.4071,1.55138,2.18571,45.165,95.3157283057851,95.6417871900826,99.8482696280992,78.6056127099883,82.5660893345488,97.6705951295742,63.012142431466,69.6290226460072,91.3122020262217,51.9887951919493,59.5433050689527,80.1761088333955,41.6485630935386,48.8474489479238,63.7006548321023,5.11255002119348,1.7,8.13286413990466,7.66698191571408,2.82427874801656,6.02369082866264,5.11255002119348,1.7,6.83333039944194,6.79806696087091,2.82427874801656,4.50812669793496,1.68732845779025,8.11942116163462,4.7,2.79557701818765,6.00832755431992,7.25,1.67917460481266,8.05620878577511,1.65,8.11942116163462,2.31416485854446,3.1976553910639,2.50482223802057,3.90448460107093,-0.052453,-0.156206,0.157179755188128,-0.054553,-0.153733,0.155628763189842,-0.006964,-0.015113,0.0372636995345336,-0.1220239088,195.4154965,97.70774826,97.70774826,18.6796922,367208.4743,-367227.154,-367208.4743,-1468759.178,0.9999990226,0.9990123411,-0.971196125,-193.1597356,-193.1597356,13.89647764,0.05391418377,0.07521521824,1641690.247,-34.42256973,1641655.825,-0.195998777946128,-0.7445987538,-5.10207262758985,0.15564371125,0.0370619988794346,0.27766762005,-0.0189922540268635,4,1.96210705987875,-0.1220239088,195.4154965,97.70774826,97.70774826,18.6796922,367208.4743,-367227.154,-367208.4743,-1468759.178,0.9999990226,0.9990123411,-0.971196125,-193.1597356,-193.1597356,13.89647764,0.05391418377,0.07521521824,1641690.247,-34.42256973,1641655.825,-0.195998777946128,-0.7445987538,-5.10207262758985,0.15564371125,0.0370619988794346,0.27766762005,-0.0189922540268635,4,1.96210705987875,5.09E-05,5.09E-05,-765.63973
carboplatin-conf_1,-0.22373,-0.05916,-0.141445,0.16457,0.06078,127.889,54.9809,13.311,1377.85,381.306177555177,580.449083952525,0.882510138208482,172.7857,151.2664,131.4188,1.55126,2.18578,46.266,95.3157283057851,96.6877582644628,99.8353564049587,78.5893345487694,84.3013413204844,97.6624560489647,62.9972437425507,71.7176325983314,91.2907851609058,51.9841362281029,62.6176388371226,80.1464079388744,41.6392526845013,53.3560145242381,63.7324653963131,8.54465157046018,1.7,4.93321219980083,7.66371851443782,2.82411640774466,6.02321534598446,7.06352313310973,1.7,4.93321219980083,6.79785077335423,2.82411640774466,4.50798997148779,1.68292266209727,4.92392120164407,8.1,2.79557701818765,6.00832755431992,7.25,1.68732845779025,4.75657439761011,1.65,4.92392120164407,2.31416485854446,3.1976553910639,2.50482223802057,3.90448460107093,-0.052448,-0.156202,0.157168811976168,-0.053563,-0.153669,0.157936045353808,-0.006973,-0.015124,0.0372333252611152,-0.1220404444,195.4155201,97.70776006,97.70776006,18.6795842,367208.5162,-367227.1957,-367208.5162,-1468759.346,0.9999990226,0.999012347,-0.971196453,-193.1597342,-193.1597342,13.89646991,0.05391539193,0.07521682392,1641532.54,-34.42268543,1641498.117,-0.196019051123074,-0.744635257,-5.10154494815983,0.15564870315,0.0370755681873218,0.27768914755,-0.0189954369027096,4,1.96208254424145,-0.1220404444,195.4155201,97.70776006,97.70776006,18.6795842,367208.5162,-367227.1957,-367208.5162,-1468759.346,0.9999990226,0.999012347,-0.971196453,-193.1597342,-193.1597342,13.89646991,0.05391539193,0.07521682392,1641532.54,-34.42268543,1641498.117,-0.196019051123074,-0.744635257,-5.10154494815983,0.15564870315,0.0370755681873218,0.27768914755,-0.0189954369027096,4,1.96208254424145,5.09E-05,5.09E-05,-765.639735
CHEMBL1743583,-0.52558,-0.3664,-0.44599,0.15918,0.62479,144.037,48.3039,2.0093,1504.172,390.178775549275,624.525634756567,0.905567155825114,-183.121,219.8388,215.9584,2.11887,2.1124,92.28,99.2284349173554,97.4593233471074,97.5142045454546,98.150800885532,85.4326735251986,85.7680036463081,94.8906808700834,74.6452249702026,75.2262738379023,88.1650670890794,66.2440598210958,66.8246831904584,75.3778474334306,57.8467351498976,58.2897554465893,5.37698170673301,3.23374515503884,5.05446903378276,5.41896936017066,3.29428111852237,5.04680760947507,5.37698170673301,3.23374515503884,5.05446903378276,5.41896936017066,3.29428111852237,5.04680760947507,3.22618510267787,5.04207298638169,4.95,3.29317822392537,5.03115294937453,5,3.22618510267787,5.04207298638169,3.2253520777581,5.04207298638169,3.29317822392537,5.03115294937453,3.29317822392537,5.03115294937453,0.517395,0.992478,0.992701939970402,-0.046169,-0.567678,0.57367883678065,-0.047562,-0.569946,0.576299377015974,-0.0581537331,195.4930242,97.7465121,97.7465121,18.65565372,367374.1624,-367392.8181,-367374.1624,-1469422.027,0.9999990264,0.9990142621,-0.8363789196,-193.1631705,-193.1631705,14.1682306,0.05021328898,0.07118986788,2554627.907,-38.945343,2554588.962,-0.0629083313799296,-0.9825739462,-15.8961456783933,0.231105053275,0.219072860123435,0.289258786375,-0.0134396215862156,4,1.39712837070996,-0.0581537331,195.4930242,97.7465121,97.7465121,18.65565372,367374.1624,-367392.8181,-367374.1624,-1469422.027,0.9999990264,0.9990142621,-0.8363789196,-193.1631705,-193.1631705,14.1682306,0.05021328898,0.07118986788,2554627.907,-38.945343,2554588.962,-0.0629083313799296,-0.9825739462,-15.8961456783933,0.231105053275,0.219072860123435,0.289258786375,-0.0134396215862156,4,1.39712837070996,5.08E-05,5.08E-05,-730.030669
CHEMBL1743583-conf_1,-0.54203,-0.35662,-0.449325,0.18541,0.54445,142.439,31.4176,4.3115,1699.136,387.568574861647,623.526361446003,0.910693243842044,-175.6372,211.9777,215.5408,2.09553,2.14141,94.779,99.2639462809917,97.5561725206611,97.5432592975207,98.6228675608803,85.9454356035942,87.260711030082,95.6719308700834,75.3380140047676,77.9369040524434,88.5028419679463,66.8602077897876,70.1459420424898,75.2455620383589,58.25290174415,61.9487461982496,5.41837513649743,3.30333955611446,5.09520661194224,5.43590142051886,3.2373261146951,5.63106555942532,5.41837513649743,3.30333955611446,5.09520661194224,5.43590142051886,3.2373261146951,5.63106555942532,3.29403147588759,5.07666228933933,5,3.23317800458555,5.6153806638553,5,3.29403147588759,5.07666228933933,3.2825465656879,5.07666228933933,3.23317800458555,5.6153806638553,3.18938584280358,5.6153806638553,0.517523,0.992858,0.992865078026718,-0.043901,-0.569349,0.576275147988355,-0.05956,-0.57608,0.583501438343557,-0.0559921194,195.4890673,97.74453367,97.74453367,18.74868628,367370.4659,-367389.2146,-367370.4659,-1469406.869,0.9999990166,0.9990093179,-0.8363284586,-193.1646307,-193.1646307,14.15876401,0.04953047658,0.07061876327,3062001.073,-39.10679374,3061961.966,-0.0604454112198642,-0.982317514,-16.5438530372901,0.23158134865,0.21924936590199,0.28757346805,-0.0129667305244238,4,1.40010333204969,-0.0559921194,195.4890673,97.74453367,97.74453367,18.74868628,367370.4659,-367389.2146,-367370.4659,-1469406.869,0.9999990166,0.9990093179,-0.8363284586,-193.1646307,-193.1646307,14.15876401,0.04953047658,0.07061876327,3062001.073,-39.10679374,3061961.966,-0.0604454112198642,-0.982317514,-16.5438530372901,0.23158134865,0.21924936590199,0.28757346805,-0.0129667305244238,4,1.40010333204969,5.10E-05,5.10E-05,-730.039879
CHEMBL1743583-conf_2,-0.52242,-0.36502,-0.44372,0.1574,0.62544,144.52,52.8316,0.0001,1602.09,390.068482336174,625.102774332979,0.906381184565396,-182.0822,207.9249,207.9242,2.10615,2.10614,89.797,99.2510330578512,97.5949121900826,97.5949121900826,98.254981117333,86.2498372183878,86.2514650345097,94.822705601907,75.5922228843862,75.5950163885578,88.1371133060008,66.8607901602684,66.86195490123,75.1198715163553,58.1667804605549,58.1656166594252,5.41996189213162,3.29100158084904,5.06866090597595,5.41995761731269,3.29091340987808,5.06866627454327,5.41996189213162,3.29100158084904,5.06866090597595,5.41995761731269,3.29091340987808,5.06866627454327,3.29100351640104,5.04207298638169,5,3.29100351640104,5.04207298638169,5,3.29100351640104,5.04207298638169,3.25292321110648,5.04207298638169,3.29100351640104,5.04207298638169,3.25292321110648,5.04207298638169,0.515802,0.991653,0.991653000001008,-0.043153,-0.566774,0.573028210594383,-0.043152,-0.566774,0.573028101995007,-0.0549796067,195.5005793,97.75028965,97.75028965,18.69900722,367391.6926,-367410.3916,-367391.6926,-1469491.974,0.999999022,0.9990120372,-0.8364752701,-193.1640763,-193.1640763,14.16128831,0.04967290119,0.07071340875,2859716.643,-39.12423253,2859677.519,-0.059736501999745,-0.9753483069,-16.7401834142258,0.23009217505,0.218344706825368,0.28507178175,-0.0126503772889965,4,1.40167470264414,-0.0549796067,195.5005793,97.75028965,97.75028965,18.69900722,367391.6926,-367410.3916,-367391.6926,-1469491.974,0.999999022,0.9990120372,-0.8364752701,-193.1640763,-193.1640763,14.16128831,0.04967290119,0.07071340875,2859716.643,-39.12423253,2859677.519,-0.059736501999745,-0.9753483069,-16.7401834142258,0.23009217505,0.218344706825368,0.28507178175,-0.0126503772889965,4,1.40167470264414,5.09E-05,5.09E-05,-730.035034
CHEMBL1743593,-0.53536,-0.32763,-0.431495,0.20773,0.44815,123.112,52.3686,0.2183,1105.139,379.709773816242,584.931034673576,0.890776582179863,-92.6386,234.1595,237.0874,2.10915,2.11501,178.444,77.4373708677686,97.4786931818182,97.7014462809917,75.4720666753483,84.1873941919521,84.7538742023701,73.1609430870084,71.4075536352801,71.9904648390942,68.9881895266493,61.1558889303019,61.7994083115915,61.2780088138539,51.3705697970331,52.1122990503383,5.37637783928965,2.55416283743075,5.05620571140132,5.30592362538318,2.52185426345536,5.04866243358585,5.37637783928965,2.55416283743075,5.05620571140132,5.30592362538318,2.52185426345536,5.04866243358585,2.54781188003102,5.0202091589893,4.95,2.48370216613263,5.02493781056045,4.85,2.02578686176348,5.0202091589893,2.01624641199465,5.0202091589893,2.01602039357012,5.02493781056045,2.45659767150474,4.95807422292164,0.219326,0.564592,0.564772982480572,-0.05688,-0.576429,0.582732695098705,-0.056983,-0.575933,0.582518057308956,-0.0690923499,195.4523521,97.72617604,97.72617604,18.66451771,367292.4252,-367311.0897,-367292.4252,-1469095.043,0.9999990248,0.9990134525,-1.30981698,-193.1623692,-193.1623692,14.15393509,0.05022535816,0.07124598388,2272066.061,-35.92990672,2272030.131,-0.115846275375323,-0.6655064312,-8.63212905861811,0.149103520325,0.0893024062661779,0.218195870225,-0.0103019125976166,4,1.6956135533859,-0.0690923499,195.4523521,97.72617604,97.72617604,18.66451771,367292.4252,-367311.0897,-367292.4252,-1469095.043,0.9999990248,0.9990134525,-1.30981698,-193.1623692,-193.1623692,14.15393509,0.05022535816,0.07124598388,2272066.061,-35.92990672,2272030.131,-0.115846275375323,-0.6655064312,-8.63212905861811,0.149103520325,0.0893024062661779,0.218195870225,-0.0103019125976166,4,1.6956135533859,5.08E-05,5.08E-05,-578.431807
CHEMBL1743593-conf_1,-0.53539,-0.32697,-0.43118,0.20842,0.44601,123.475,49.4261,0.3724,1731.742,379.979768128738,585.053621763479,0.890268005339757,-88.7898,232.0084,232.0089,2.1107,2.1107,91.713,77.4922520661157,97.4819214876033,97.4819214876033,75.2230108086991,84.2134392499023,84.2118114337804,72.6376266388558,71.3582017282479,71.3582017282479,68.6643915393217,61.2164554603056,61.2170378307864,61.1201197939296,51.516044938241,51.516044938241,5.37630905080348,2.05577504026315,5.05693400890793,5.37631626741765,2.05591190296069,5.05693840560366,5.37630905080348,2.05577504026315,5.05693400890793,5.37631626741765,2.05591190296069,5.05693840560366,2,5.04479930225178,4.95,2,5.04479930225178,4.95,2,5.04479930225178,1.99595188261376,5.04479930225178,2,5.04479930225178,1.99595188261376,5.04479930225178,0.218666,0.564644,0.565381471366899,-0.057334,-0.576718,0.583049361592138,-0.057334,-0.576718,0.583049287234793,-0.0696636078,195.4586071,97.72930353,97.72930353,18.66246642,367303.1201,-367321.7825,-367303.1201,-1469137.83,0.9999990251,0.9990136133,-1.309921448,-193.1624217,-193.1624217,14.15339616,0.05050843323,0.07161085137,2289797.403,-35.87249973,2289761.531,-0.117272990962602,-0.6636930363,-8.5271126095769,0.148507357125,0.0886066339458112,0.218170964925,-0.0103455582821705,4,1.70144363750755,-0.0696636078,195.4586071,97.72930353,97.72930353,18.66246642,367303.1201,-367321.7825,-367303.1201,-1469137.83,0.9999990251,0.9990136133,-1.309921448,-193.1624217,-193.1624217,14.15339616,0.05050843323,0.07161085137,2289797.403,-35.87249973,2289761.531,-0.117272990962602,-0.6636930363,-8.5271126095769,0.148507357125,0.0886066339458112,0.218170964925,-0.0103455582821705,4,1.70144363750755,5.08E-05,5.08E-05,-578.437289
CHEMBL1743593-conf_10,-0.53716,-0.32731,-0.432235,0.20985,0.44514,122.742,51.1403,0.0003,1443.747,378.939849295948,585.029413286269,0.892686528175502,-82.562,232.2456,237.0399,2.11284,2.10788,88.336,77.6924070247934,97.8983729338843,97.5884555785124,75.9083213960151,84.5796978773278,84.7994530537831,73.6023167461263,71.4885652562575,72.1878724672229,69.5181466641819,61.1180348490496,61.9455833022736,61.9157718329092,51.2250946558252,52.2119980137794,5.37137104202923,2.77141875112265,4.96859529850382,5.33734073737524,2.85318439576583,4.96929247144105,5.37137104202923,2.77141875112265,4.96859529850382,5.33734073737524,2.85318439576583,4.96929247144105,2.76815921485078,4.9520197899443,4.95,2.81964381384077,4.9520197899443,4.9,2.44489498863371,4.94216551726063,2.44489498863371,4.9520197899443,2.63627724464997,4.93811705005056,1.91216301315295,4.9520197899443,0.217983,0.56497,0.56497000001593,-0.057315,-0.576708,0.583119990524249,-0.057905,-0.578048,0.584319294548794,-0.0701654586,195.4573317,97.72866583,97.72866583,18.6650235,367304.3146,-367322.9796,-367304.3146,-1469142.598,0.9999990248,0.9990134676,-1.309900147,-193.1622689,-193.1622689,14.15338784,0.05051309858,0.07157970709,2269410.999,-35.95764963,2269375.042,-0.117799255745121,-0.6658012982,-8.48901797956751,0.1489089599,0.0873946717047937,0.2190744185,-0.0104482654610325,4,1.71530511173688,-0.0701654586,195.4573317,97.72866583,97.72866583,18.6650235,367304.3146,-367322.9796,-367304.3146,-1469142.598,0.9999990248,0.9990134676,-1.309900147,-193.1622689,-193.1622689,14.15338784,0.05051309858,0.07157970709,2269410.999,-35.95764963,2269375.042,-0.117799255745121,-0.6658012982,-8.48901797956751,0.1489089599,0.0873946717047937,0.2190744185,-0.0104482654610325,4,1.71530511173688,5.08E-05,5.08E-05,-578.427574
CHEMBL1743593-conf_2,-0.5353,-0.32691,-0.431105,0.20839,0.44592,123.915,54.3175,0.0001,1404.443,380.019770604488,585.103245228576,0.890224626876726,-89.1688,232.04,232.0394,2.1112,2.1112,88.52,77.4599690082645,97.5206611570248,97.5174328512397,75.1741763250423,84.2997135043625,84.2997135043625,72.6944278903457,71.3945172824791,71.3945172824791,68.6294493104734,61.2281028699217,61.2263557584793,61.1364130097449,51.5113897337223,51.5110018000124,5.37990836325024,2.78039376688947,5.05941816376513,5.3799062484968,2.7806441059131,5.05942544979233,5.37990836325024,2.78039376688947,5.05941816376513,5.3799062484968,2.7806441059131,5.05942544979233,2.75,5.04207298638169,4.95,2.75,5.04207298638169,4.95,2.52232403322489,5.04207298638169,2.38705816517956,5.04207298638169,2.52232403322488,5.04207298638169,2.38705816517957,5.04207298638169,0.218275,0.563756,0.563756000001774,-0.057518,-0.576817,0.583127383773906,-0.057518,-0.576817,0.583127422427551,-0.0698150549,195.4590399,97.72951994,97.72951994,18.66070929,367304.0775,-367322.7382,-367304.0775,-1469141.667,0.9999990253,0.9990137098,-1.309928677,-193.1624059,-193.1624059,14.15320896,0.05049717282,0.07159724775,2286905.852,-35.86909727,2286869.983,-0.117675192249918,-0.6631011466,-8.49796784590081,0.148321522925,0.0883315839313863,0.218136577825,-0.0103550752658604,4,1.70298813196218,-0.0698150549,195.4590399,97.72951994,97.72951994,18.66070929,367304.0775,-367322.7382,-367304.0775,-1469141.667,0.9999990253,0.9990137098,-1.309928677,-193.1624059,-193.1624059,14.15320896,0.05049717282,0.07159724775,2286905.852,-35.86909727,2286869.983,-0.117675192249918,-0.6631011466,-8.49796784590081,0.148321522925,0.0883315839313863,0.218136577825,-0.0103550752658604,4,1.70298813196218,5.08E-05,5.08E-05,-578.437397
CHEMBL1743593-conf_3,-0.53633,-0.32714,-0.431735,0.20919,0.44552,122.962,47.8869,0.4817,1531.412,379.659814661624,585.24109694029,0.891208603049349,-85.6958,234.3009,231.106,2.11242,2.11501,91.062,77.5471332644628,97.4916064049587,97.9145144628099,75.5257846073708,84.2704128141685,84.6708555801537,73.0994859952324,71.5947184147795,71.6040300953516,69.0592387253075,61.4616334327246,61.2059727916511,61.5072776363975,51.6351405871765,51.17388740612,5.38082619475207,2.07230376734483,5.05566632163964,5.37646866504672,2.06294255569799,5.06759027113285,5.38082619475207,2.07230376734483,5.05566632163964,5.37646866504672,2.06294255569799,5.06759027113285,2.04681688769345,5.03314017289406,4.95,2.05,5.05,4.95,1.96217271647262,5.03314017289406,1.96217271647262,5.03314017289406,2.05,5.05,2.04332640640599,4.95706566428164,0.218296,0.564835,0.565355336250574,-0.058198,-0.576984,0.583322293328482,-0.057924,-0.577056,0.583479906123596,-0.0691969984,195.4562344,97.72811722,97.72811722,18.66583254,367298.5737,-367317.2395,-367298.5737,-1469119.631,0.9999990247,0.9990134157,-1.309881822,-193.162512,-193.162512,14.15365839,0.05048322933,0.07157590359,2313095.697,-35.90401446,2313059.793,-0.116421681546362,-0.6635622187,-8.58946535316769,0.148591305075,0.088388887408225,0.217788303475,-0.0102820722995286,4,1.70308909108051,-0.0691969984,195.4562344,97.72811722,97.72811722,18.66583254,367298.5737,-367317.2395,-367298.5737,-1469119.631,0.9999990247,0.9990134157,-1.309881822,-193.162512,-193.162512,14.15365839,0.05048322933,0.07157590359,2313095.697,-35.90401446,2313059.793,-0.116421681546362,-0.6635622187,-8.58946535316769,0.148591305075,0.088388887408225,0.217788303475,-0.0102820722995286,4,1.70308909108051,5.08E-05,5.08E-05,-578.432397
