log_name,HOMO,LUMO,μ,η,ω,polar_iso(au),polar_aniso(au),dipole(Debye),volume(Bohr_radius³/mol),SASA_surface_area(Å²),SASA_volume(Å³),SASA_sphericity,NMR_isotropic_shielding_Pt,NMR_isotropic_shielding_N1,NMR_isotropic_shielding_N2,distance_Pt_N1(Å),distance_Pt_N2(Å),angle_N1_Pt_N2(°),%Vbur_Pt_2.0Å,%Vbur_N1_2.0Å,%Vbur_N2_2.0Å,%Vbur_Pt_2.5Å,%Vbur_N1_2.5Å,%Vbur_N2_2.5Å,%Vbur_Pt_3.0Å,%Vbur_N1_3.0Å,%Vbur_N2_3.0Å,%Vbur_Pt_3.5Å,%Vbur_N1_3.5Å,%Vbur_N2_3.5Å,%Vbur_Pt_4.0Å,%Vbur_N1_4.0Å,%Vbur_N2_4.0Å,Sterimol_L_Pt_N1(Å)_morfeus,Sterimol_B1_Pt_N1(Å)_morfeus,Sterimol_B5_Pt_N1(Å)_morfeus,Sterimol_L_Pt_N2(Å)_morfeus,Sterimol_B1_Pt_N2(Å)_morfeus,Sterimol_B5_Pt_N2(Å)_morfeus,Buried_Sterimol_L_Pt_N1_5.0(Å),Buried_Sterimol_B1_Pt_N1_5.0(Å),Buried_Sterimol_B5_Pt_N1_5.0(Å),Buried_Sterimol_L_Pt_N2_5.0(Å),Buried_Sterimol_B1_Pt_N2_5.0(Å),Buried_Sterimol_B5_Pt_N2_5.0(Å),Sterimol_B1_Pt_N1(Å)_dbstep,Sterimol_B5_Pt_N1(Å)_dbstep,Sterimol_L_Pt_N1(Å)_dbstep,Sterimol_B1_Pt_N2(Å)_dbstep,Sterimol_B5_Pt_N2(Å)_dbstep,Sterimol_L_Pt_N2(Å)_dbstep,Sterimol_Bmin_Pt_N1_0.0Å(Å),Sterimol_Bmax_Pt_N1_0.0Å(Å),Sterimol_Bmin_Pt_N1_1.0Å(Å),Sterimol_Bmax_Pt_N1_1.0Å(Å),Sterimol_Bmin_Pt_N2_0.0Å(Å),Sterimol_Bmax_Pt_N2_0.0Å(Å),Sterimol_Bmin_Pt_N2_1.0Å(Å),Sterimol_Bmax_Pt_N2_1.0Å(Å),Hirsh_charge_Pt,Hirsh_CM5_charge_Pt,Hirsh_atom_dipole_Pt,Hirsh_charge_N1,Hirsh_CM5_charge_N1,Hirsh_atom_dipole_N1,Hirsh_charge_N2,Hirsh_CM5_charge_N2,Hirsh_atom_dipole_N2,G(T)_spc(Hartree)
carboplatin-conf_1,-0.22373,-0.05916,-0.141445,0.16457,0.06078,127.889,54.9809,13.311,1377.85,381.306177555177,580.449083952525,0.882510138208482,172.7857,151.2664,131.4188,1.55126,2.18578,46.266,95.3157283057851,96.6877582644628,99.8353564049587,78.5893345487694,84.3013413204844,97.6624560489647,62.9972437425507,71.7176325983314,91.2907851609058,51.9841362281029,62.6176388371226,80.1464079388744,41.6392526845013,53.3560145242381,63.7324653963131,8.54465157046018,1.7,4.93321219980083,7.66371851443782,2.82411640774466,6.02321534598446,7.06352313310973,1.7,4.93321219980083,6.79785077335423,2.82411640774466,4.50798997148779,1.68292266209727,4.92392120164407,8.1,2.79557701818765,6.00832755431992,7.25,1.68732845779025,4.75657439761011,1.65,4.92392120164407,2.31416485854446,3.1976553910639,2.50482223802057,3.90448460107093,-0.052448,-0.156202,0.157168811976168,-0.053563,-0.153669,0.157936045353808,-0.006973,-0.015124,0.0372333252611152,-765.639735
carboplatin,-0.22374,-0.05915,-0.141445,0.16459,0.06078,127.891,54.9884,13.3091,1279.621,381.536174965139,580.940685872544,0.88247605841047,172.7741,162.394,131.4071,1.55138,2.18571,45.165,95.3157283057851,95.6417871900826,99.8482696280992,78.6056127099883,82.5660893345488,97.6705951295742,63.012142431466,69.6290226460072,91.3122020262217,51.9887951919493,59.5433050689527,80.1761088333955,41.6485630935386,48.8474489479238,63.7006548321023,5.11255002119348,1.7,8.13286413990466,7.66698191571408,2.82427874801656,6.02369082866264,5.11255002119348,1.7,6.83333039944194,6.79806696087091,2.82427874801656,4.50812669793496,1.68732845779025,8.11942116163462,4.7,2.79557701818765,6.00832755431992,7.25,1.67917460481266,8.05620878577511,1.65,8.11942116163462,2.31416485854446,3.1976553910639,2.50482223802057,3.90448460107093,-0.052453,-0.156206,0.157179755188128,-0.054553,-0.153733,0.155628763189842,-0.006964,-0.015113,0.0372636995345336,-765.63973
CHEMBL1743583-conf_1,-0.54203,-0.35662,-0.449325,0.18541,0.54445,142.439,31.4176,4.3115,1699.136,387.568574861647,623.526361446003,0.910693243842044,-175.6372,211.9777,215.5408,2.09553,2.14141,94.779,99.2639462809917,97.5561725206611,97.5432592975207,98.6228675608803,85.9454356035942,87.260711030082,95.6719308700834,75.3380140047676,77.9369040524434,88.5028419679463,66.8602077897876,70.1459420424898,75.2455620383589,58.25290174415,61.9487461982496,5.41837513649743,3.30333955611446,5.09520661194224,5.43590142051886,3.2373261146951,5.63106555942532,5.41837513649743,3.30333955611446,5.09520661194224,5.43590142051886,3.2373261146951,5.63106555942532,3.29403147588759,5.07666228933933,5,3.23317800458555,5.6153806638553,5,3.29403147588759,5.07666228933933,3.2825465656879,5.07666228933933,3.23317800458555,5.6153806638553,3.18938584280358,5.6153806638553,0.517523,0.992858,0.992865078026718,-0.043901,-0.569349,0.576275147988355,-0.05956,-0.57608,0.583501438343557,-730.039879
CHEMBL1743583-conf_2,-0.52242,-0.36502,-0.44372,0.1574,0.62544,144.52,52.8316,0.0001,1602.09,390.068482336174,625.102774332979,0.906381184565396,-182.0822,207.9249,207.9242,2.10615,2.10614,89.797,99.2510330578512,97.5949121900826,97.5949121900826,98.254981117333,86.2498372183878,86.2514650345097,94.822705601907,75.5922228843862,75.5950163885578,88.1371133060008,66.8607901602684,66.86195490123,75.1198715163553,58.1667804605549,58.1656166594252,5.41996189213162,3.29100158084904,5.06866090597595,5.41995761731269,3.29091340987808,5.06866627454327,5.41996189213162,3.29100158084904,5.06866090597595,5.41995761731269,3.29091340987808,5.06866627454327,3.29100351640104,5.04207298638169,5,3.29100351640104,5.04207298638169,5,3.29100351640104,5.04207298638169,3.25292321110648,5.04207298638169,3.29100351640104,5.04207298638169,3.25292321110648,5.04207298638169,0.515802,0.991653,0.991653000001008,-0.043153,-0.566774,0.573028210594383,-0.043152,-0.566774,0.573028101995007,-730.035034
CHEMBL1743583,-0.52558,-0.3664,-0.44599,0.15918,0.62479,144.037,48.3039,2.0093,1504.172,390.178775549275,624.525634756567,0.905567155825114,-183.121,219.8388,215.9584,2.11887,2.1124,92.28,99.2284349173554,97.4593233471074,97.5142045454546,98.150800885532,85.4326735251986,85.7680036463081,94.8906808700834,74.6452249702026,75.2262738379023,88.1650670890794,66.2440598210958,66.8246831904584,75.3778474334306,57.8467351498976,58.2897554465893,5.37698170673301,3.23374515503884,5.05446903378276,5.41896936017066,3.29428111852237,5.04680760947507,5.37698170673301,3.23374515503884,5.05446903378276,5.41896936017066,3.29428111852237,5.04680760947507,3.22618510267787,5.04207298638169,4.95,3.29317822392537,5.03115294937453,5,3.22618510267787,5.04207298638169,3.2253520777581,5.04207298638169,3.29317822392537,5.03115294937453,3.29317822392537,5.03115294937453,0.517395,0.992478,0.992701939970402,-0.046169,-0.567678,0.57367883678065,-0.047562,-0.569946,0.576299377015974,-730.030669
CHEMBL1743593-conf_10,-0.53716,-0.32731,-0.432235,0.20985,0.44514,122.742,51.1403,0.0003,1443.747,378.939849295948,585.029413286269,0.892686528175502,-82.562,232.2456,237.0399,2.11284,2.10788,88.336,77.6924070247934,97.8983729338843,97.5884555785124,75.9083213960151,84.5796978773278,84.7994530537831,73.6023167461263,71.4885652562575,72.1878724672229,69.5181466641819,61.1180348490496,61.9455833022736,61.9157718329092,51.2250946558252,52.2119980137794,5.37137104202923,2.77141875112265,4.96859529850382,5.33734073737524,2.85318439576583,4.96929247144105,5.37137104202923,2.77141875112265,4.96859529850382,5.33734073737524,2.85318439576583,4.96929247144105,2.76815921485078,4.9520197899443,4.95,2.81964381384077,4.9520197899443,4.9,2.44489498863371,4.94216551726063,2.44489498863371,4.9520197899443,2.63627724464997,4.93811705005056,1.91216301315295,4.9520197899443,0.217983,0.56497,0.56497000001593,-0.057315,-0.576708,0.583119990524249,-0.057905,-0.578048,0.584319294548794,-578.427574
CHEMBL1743593-conf_1,-0.53539,-0.32697,-0.43118,0.20842,0.44601,123.475,49.4261,0.3724,1731.742,379.979768128738,585.053621763479,0.890268005339757,-88.7898,232.0084,232.0089,2.1107,2.1107,91.713,77.4922520661157,97.4819214876033,97.4819214876033,75.2230108086991,84.2134392499023,84.2118114337804,72.6376266388558,71.3582017282479,71.3582017282479,68.6643915393217,61.2164554603056,61.2170378307864,61.1201197939296,51.516044938241,51.516044938241,5.37630905080348,2.05577504026315,5.05693400890793,5.37631626741765,2.05591190296069,5.05693840560366,5.37630905080348,2.05577504026315,5.05693400890793,5.37631626741765,2.05591190296069,5.05693840560366,2,5.04479930225178,4.95,2,5.04479930225178,4.95,2,5.04479930225178,1.99595188261376,5.04479930225178,2,5.04479930225178,1.99595188261376,5.04479930225178,0.218666,0.564644,0.565381471366899,-0.057334,-0.576718,0.583049361592138,-0.057334,-0.576718,0.583049287234793,-578.437289
CHEMBL1743593-conf_2,-0.5353,-0.32691,-0.431105,0.20839,0.44592,123.915,54.3175,0.0001,1404.443,380.019770604488,585.103245228576,0.890224626876726,-89.1688,232.04,232.0394,2.1112,2.1112,88.52,77.4599690082645,97.5206611570248,97.5174328512397,75.1741763250423,84.2997135043625,84.2997135043625,72.6944278903457,71.3945172824791,71.3945172824791,68.6294493104734,61.2281028699217,61.2263557584793,61.1364130097449,51.5113897337223,51.5110018000124,5.37990836325024,2.78039376688947,5.05941816376513,5.3799062484968,2.7806441059131,5.05942544979233,5.37990836325024,2.78039376688947,5.05941816376513,5.3799062484968,2.7806441059131,5.05942544979233,2.75,5.04207298638169,4.95,2.75,5.04207298638169,4.95,2.52232403322489,5.04207298638169,2.38705816517956,5.04207298638169,2.52232403322488,5.04207298638169,2.38705816517957,5.04207298638169,0.218275,0.563756,0.563756000001774,-0.057518,-0.576817,0.583127383773906,-0.057518,-0.576817,0.583127422427551,-578.437397
CHEMBL1743593-conf_3,-0.53633,-0.32714,-0.431735,0.20919,0.44552,122.962,47.8869,0.4817,1531.412,379.659814661624,585.24109694029,0.891208603049349,-85.6958,234.3009,231.106,2.11242,2.11501,91.062,77.5471332644628,97.4916064049587,97.9145144628099,75.5257846073708,84.2704128141685,84.6708555801537,73.0994859952324,71.5947184147795,71.6040300953516,69.0592387253075,61.4616334327246,61.2059727916511,61.5072776363975,51.6351405871765,51.17388740612,5.38082619475207,2.07230376734483,5.05566632163964,5.37646866504672,2.06294255569799,5.06759027113285,5.38082619475207,2.07230376734483,5.05566632163964,5.37646866504672,2.06294255569799,5.06759027113285,2.04681688769345,5.03314017289406,4.95,2.05,5.05,4.95,1.96217271647262,5.03314017289406,1.96217271647262,5.03314017289406,2.05,5.05,2.04332640640599,4.95706566428164,0.218296,0.564835,0.565355336250574,-0.058198,-0.576984,0.583322293328482,-0.057924,-0.577056,0.583479906123596,-578.432397
CHEMBL1743593-conf_4,-0.5362,-0.327,-0.4316,0.2092,0.44522,123.323,52.5817,0.2125,1154.623,379.999813535436,585.602357402779,0.890777595339516,-85.7936,233.6565,234.3267,2.10848,2.11281,88.631,77.5439049586777,97.5464876033058,97.5174328512397,75.5762469071494,84.1662325823675,84.293202239875,73.1711859356377,71.2855706197855,71.6561755065554,69.1104873276183,61.1372530749162,61.4796869176295,61.5553814164236,51.5594935137484,51.6638476817082,5.3743950079561,2.77617992330798,5.06025229906525,5.37708292699651,2.7611492328956,5.05707771809579,5.3743950079561,2.77617992330798,5.06025229906525,5.37708292699651,2.7611492328956,5.05707771809579,2.72664000690005,5.04207298638169,4.95,2.72576738657818,5.04207298638169,4.95,2.44702778267353,5.04207298638169,2.44489498863371,5.04207298638169,2.48236211904043,5.04207298638169,1.92575509783584,5.04207298638169,0.218109,0.564598,0.564625827029724,-0.056793,-0.576483,0.582787612273116,-0.058365,-0.577076,0.583409933595581,-578.432478
