molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,IC50_uM,pchembl_value,standard_units
CHEMBL100222,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23Cl2N4O3PtS+,Plasmodium falciparum,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum K1,,0.666,,nM
CHEMBL100222,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23Cl2N4O3PtS+,Plasmodium falciparum,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum D10,=,0.594,6.23,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,6.2,5.21,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,110.0,,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,72.0,4.14,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,5.4,5.27,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,33.0,4.48,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,12.5,4.90,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,30.5,4.52,nM
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,64.0,4.19,nM
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,P388,In Vitro evaluation for the growth inhibition of Wildtype P388 Leukemia cell lines,=,0.67,6.17,nM
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,=,0.7,6.16,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,2.3,5.64,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,5.0,5.30,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2.9,5.54,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1.3,5.89,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1.6,5.80,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,6.9,5.16,nM
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1.3,5.89,nM
