molecule_chembl_id,molecule_name,formula,total_assays,median_IC50_uM,Active,Inactive
CHEMBL11359,CISPLATIN,H6Cl2N2Pt+2,870,16.174215,695,175
CHEMBL1351,CARBOPLATIN,C6H12N2O4Pt,69,20.0,55,14
CHEMBL1386,TRANSPLATIN,H6Cl2N2Pt,28,77.0,16,12
CHEMBL111089,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl,C6H20Cl3N5Pt2,16,0.975,16,0
CHEMBL321094,Platinum complex,C5H9Cl2N2O2Pt+,16,5.1,16,0
CHEMBL108133,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}],C6H22Cl2N6Pt2+2,16,1.85,16,0
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,16,2.05,16,0
CHEMBL321068,"trans-a-ammine-b,d-dichloro-f-(2-propylamine)-c,e-dihydroxoplatinium (IV)",C3H12Cl2N2O2Pt,16,4.800000000000001,16,0
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,16,1.35,16,0
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,16,2.6,16,0
CHEMBL164788,Platinum(IV) Complex,C14H24Cl2N2O4Pt,14,6.0,14,0
CHEMBL419256,"2,6-bis(propan-2-yloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C8H16O2PtS4,12,10.0,12,0
CHEMBL72018,"2,6-dipropoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C8H16O2PtS4,12,21.0,12,0
CHEMBL72313,"2,6-bis(2-methylpropoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H20O2PtS4,12,25.0,12,0
CHEMBL72867,"2,6-diethoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C6H12O2PtS4,12,46.0,12,0
CHEMBL75221,"2,6-bis(octyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C18H36O2PtS4,12,69.5,12,0
CHEMBL73585,"2,6-bis(pentyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,12,28.0,12,0
CHEMBL72317,"2,6-bis(cyclopropylmethoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H16O2PtS4,12,78.5,10,2
CHEMBL72640,"2,6-bis(cyclopentyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H20O2PtS4,12,12.0,12,0
CHEMBL413296,"2,6-bis[(3,3-dimethylbutan-2-yl)oxy]-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C14H28O2PtS4,12,9.5,12,0
CHEMBL447841,"2,6-bis(3-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,12,23.0,12,0
CHEMBL310027,"2,6-bis({tricyclo[5.2.2.0^{2,6}]undecan-8-yloxy})-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C24H36O2PtS4,12,38.0,12,0
CHEMBL2068476,Platinum complex,C5H12Cl2N2Pt,12,5.6,12,0
CHEMBL308963,"2,6-dibutoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H20O2PtS4,12,23.0,12,0
CHEMBL2068503,trans-ptcl2(NH3)(pz),C4H11Cl2N3Pt,12,39.0,10,2
CHEMBL73466,"2,6-bis(2,2-dimethylpropoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,12,79.0,12,0
CHEMBL75705,"2,6-bis(pentan-3-yloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,12,5.0,12,0
CHEMBL312519,"2,6-bis(nonyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C20H40O2PtS4,12,76.0,12,0
CHEMBL309353,"2,6-bis(cyclohexyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C14H24O2PtS4,12,8.0,12,0
CHEMBL148624,cis-[ptcl2(NH3)(4-pic)],C6H10Cl2N2Pt+2,12,8.5,12,0
CHEMBL75222,"2,6-bis(hexyloxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C14H28O2PtS4,12,67.0,10,2
CHEMBL72816,"2,6-bis(2,2-dimethyl-3-phenylpropoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C24H32O2PtS4,12,50.0,12,0
CHEMBL72641,"2,6-dicyclobutoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C10H16O2PtS4,12,14.5,12,0
CHEMBL72647,"2,6-bis(2-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C12H24O2PtS4,12,25.0,12,0
CHEMBL73617,"2,6-dimethoxy-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane",C4H8O2PtS4,12,23.5,11,1
CHEMBL2068449,Platinum analogues of DemethylCantharidin,C14H20N2O5Pt,11,1.4,11,0
CHEMBL2068288,Platinum complex,C12H20N2O5Pt,11,13.05,11,0
CHEMBL2068563,Platinum analogues of DemethylCantharidin,C10H16N2O5Pt,11,12.66,11,0
CHEMBL2068447,Platinum analogues of DemethylCantharidin,C14H24N2O5Pt,11,17.18,11,0
CHEMBL2068551,Platinum analogues of DemethylCantharidin,C8H12N2O5Pt,11,10.52,11,0
CHEMBL1627734,Estrogen platinum (II) hybrid derivative,C34H52Cl2N2O3Pt,9,2.3,9,0
CHEMBL1627733,Estrogen platinum (II) hybrid derivative,C30H44Cl2N2O3Pt,9,12.3,9,0
CHEMBL279877,[{cis-Pt(NH3)2Cl}2(-pdn)](NO3)2,C4H12Cl2N8O6Pt2,9,21.3,9,0
CHEMBL19930,Platinum complex,C4H12Cl4N6Pt2,9,18.4,9,0
CHEMBL19739,[{cis-Pt(NH3)2Cl}2(-pzn)]Cl2,C4H12Cl4N6Pt2,9,15.5,9,0
CHEMBL1627737,Estrogen platinum (II) hybrid derivative,C32H48Cl2N2O3Pt,9,4.2,9,0
CHEMBL1627731,Estrogen platinum (II) hybrid derivative,C35H54Cl2N2O3Pt,9,9.7,9,0
CHEMBL1627993,Estrogen platinum (II) hybrid derivative,C36H56Cl2N2O3Pt,9,2.9,9,0
CHEMBL1627729,Estrogen platinum (II) hybrid derivative,C33H50Cl2N2O3Pt,9,12.2,9,0
CHEMBL280204,[{cis-Pt(NH3)2Cl}2(-pzn)](NO3)2,C4H12Cl2N8O6Pt2,9,17.0,9,0
CHEMBL611449,Acridinylthiourea derivative and platinum conjugate,C20H29ClN6PtS+2,8,0.56,8,0
CHEMBL430691,trans-Amminetetrachloro(cyclohexylamine)-platinium (IV),C6H14Cl4N2Pt,8,4.25,8,0
CHEMBL105598,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(cyclopentylamine)-platinium (IV)",C5H14Cl2N2O2Pt,8,1.6,8,0
CHEMBL105222,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)",C7H18Cl2N2O2Pt,8,14.350000000000001,8,0
