molecule_chembl_id,molecule_name,formula,target_pref_name,assay_description,standard_relation,standard_value,standard_units,pchembl_value
CHEMBL100222,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23Cl2N4O3PtS+,Plasmodium falciparum,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum K1,,666.0,nM,
CHEMBL100222,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23Cl2N4O3PtS+,Plasmodium falciparum,In vitro antimalarial activity against chloroquine-sensitive Plasmodium falciparum D10,=,594.0,nM,6.23
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,72000.0,nM,4.14
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,33000.0,nM,4.48
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,5400.0,nM,5.27
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,6200.0,nM,5.21
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,110000.0,nM,
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,64000.0,nM,4.19
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,12500.0,nM,4.90
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,30500.0,nM,4.52
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,P388,In Vitro evaluation for the growth inhibition of Wildtype P388 Leukemia cell lines,=,670.0,nM,6.17
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,=,700.0,nM,6.16
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,6900.0,nM,5.16
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4100.0,nM,5.39
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,5000.0,nM,5.30
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1600.0,nM,5.80
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1300.0,nM,5.89
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2900.0,nM,5.54
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1300.0,nM,5.89
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,2300.0,nM,5.64
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,4000.0,nM,5.40
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,4000.0,nM,5.40
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,5000.0,nM,5.30
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1900.0,nM,5.72
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,5400.0,nM,5.27
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,3200.0,nM,5.50
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,11500.0,nM,4.94
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,10900.0,nM,4.96
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,41M,In vitro antitumor activity against 41M cell line.,=,26000.0,nM,4.58
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,54000.0,nM,4.27
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,17300.0,nM,4.76
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,47000.0,nM,4.33
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,100000.0,nM,4.00
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,28300.0,nM,4.55
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,10900.0,nM,4.96
CHEMBL102856,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(Morphiline)-platinium (IV)",C4H12Cl2N2O3Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,47000.0,nM,4.33
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,4500.0,nM,5.35
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,2300.0,nM,5.64
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,4400.0,nM,5.36
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,4000.0,nM,5.40
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,4100.0,nM,5.39
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,7100.0,nM,5.15
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4800.0,nM,5.32
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,4800.0,nM,5.32
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1100.0,nM,5.96
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1900.0,nM,5.72
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4200.0,nM,5.38
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,8200.0,nM,5.09
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,10200.0,nM,4.99
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1300.0,nM,5.89
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1100.0,nM,5.96
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1300.0,nM,5.89
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,50000.0,nM,4.30
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,34000.0,nM,4.47
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,4500.0,nM,5.35
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,900.0,nM,6.05
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,8000.0,nM,5.10
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1100.0,nM,5.96
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,3400.0,nM,5.47
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,800.0,nM,6.10
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,8500.0,nM,5.07
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4700.0,nM,5.33
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1100.0,nM,5.96
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,740.0,nM,6.13
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,1800.0,nM,5.75
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,210.0,nM,6.68
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,4200.0,nM,5.38
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1620.0,nM,5.79
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,1700.0,nM,5.77
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1400.0,nM,5.85
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1500.0,nM,5.82
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,41M,In vitro antitumor activity against 41M cell line.,=,1400.0,nM,5.85
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4400.0,nM,5.36
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,5600.0,nM,5.25
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,250.0,nM,6.60
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3000.0,nM,5.52
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,41M,In vitro antitumor activity against 41M cell line.,=,2100.0,nM,5.68
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,CH1,In vitro antitumor activity against CH1 cell line.,=,1600.0,nM,5.80
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,41M,In vitro antitumor activity against 41McisR cell line.,=,1700.0,nM,5.77
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,SK-OV-3,In vitro antitumor activity against SK-OV-3 cell line.,=,4700.0,nM,5.33
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,HX62 cell line,In vivo antitumor activity against HX/62 cell line.,=,3200.0,nM,5.50
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,A2780,In vitro antitumor activity against A2780cisR cell line.,=,3600.0,nM,5.44
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,A2780,In vitro antitumor activity against A2780 cell line.,=,1400.0,nM,5.85
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,CH1,In vitro antitumor activity against CH1cisR cell line.,=,2800.0,nM,5.55
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,41M,In vitro antitumor activity against 41M cell line.,=,5300.0,nM,5.28
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,A2780,In vitro antitumor activity against A2780cisR cell line.,=,5600.0,nM,5.25
