molecule_chembl_id,pref_name,formula,best_ic50_nM,total_assays,ml_class
CHEMBL100222,"1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",C24H23Cl2N4O3PtS+,594.0,2,Active
CHEMBL102282,Platinum complex,CH8Cl2N2O2Pt,5400.0,8,Active
CHEMBL102514,Acridinecarboxamide-Pt(II) complex; Hydrate,C22H29Cl3N5OPt+,670.0,2,Active
CHEMBL102583,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(N-methylcyclohexylamine)-platinium (IV)",C7H18Cl2N2O2Pt,1300.0,8,Active
CHEMBL102644,trans-Amminedibromo (cyclohexylamine)-platinium (II),C6H14Br2N2Pt,1900.0,8,Active
CHEMBL103049,Trans-Amminedichloro hexylamine platinium (II),C6H16Cl2N2Pt,2300.0,8,Active
CHEMBL103122,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)",C7H12Cl2N2O2Pt,1100.0,8,Active
CHEMBL103345,"trans-a-ammine-b,d-dichloro-f-(2-methyl1-2-propylamine)-c,e-dihydroxoplatinium (IV)",C4H14Cl2N2O2Pt,210.0,9,Active
CHEMBL103347,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)",C7H14Cl2N2Pt,250.0,8,Active
CHEMBL103460,Platinum complex,C6H16Br2N2O2Pt,1400.0,8,Active
CHEMBL103516,trans-Amminetetrachloro(pyridine)-platinium (IV),C5H7Cl4N2Pt+,3200.0,8,Active
CHEMBL103570,"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-dihydroxoplatinium (IV)",C6H16Cl2N2O2Pt,420.0,8,Active
CHEMBL103721,trans-Amminedichloro(N-methylcyclohexylamine)-platinium (II),C7H16Cl2N2Pt,380.0,8,Active
CHEMBL104893,AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM,C6H14Cl2N2Pt,66.0,8,Active
CHEMBL105222,"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(quinuclidine)-platinium (IV)",C7H18Cl2N2O2Pt,3200.0,8,Active
CHEMBL105598,"trans-a-Ammine-b,d-dichloro-c,e-dihydrooxy-f-(cyclopentylamine)-platinium (IV)",C5H14Cl2N2O2Pt,950.0,8,Active
CHEMBL108133,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}],C6H22Cl2N6Pt2+2,56.0,8,Active
CHEMBL111089,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl,C6H20Cl3N5Pt2,66.0,8,Active
CHEMBL11359,CISPLATIN,H6Cl2N2Pt+2,3.5,955,Active
CHEMBL1169454,"Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex",C36H30N4O8Pt+2,280.0,6,Active
CHEMBL117991,Platinum complex III,C19H24ClN3O3PtS+2,380.0,4,Active
CHEMBL1202384,"(1,3-Diaminopropane)(1,10-phenanthroline)-platinum (II) dichloride Monohydrate",C19H26Cl2N4OPt+2,1000.0,1,Active
CHEMBL1351,CARBOPLATIN,C6H12N2O4Pt,700.0,144,Active
