   GoodVibes v3.2 2026/03/11 10:42:45
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc link --csv 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

x  Warning! File auranofin-conf_2.log may not have terminated normally or the calculation may still be running. This file will be omitted from further calculations.

   Using vibrational scale factor 1.0 for B3LYP/Gen/Auto level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  aurothiomalate-conf_3,-990.415899,-990.415899,0.097161,-990.306754,0.052710,0.050552,-990.359464,-990.357306,
o  aurothioprol-conf_3,-1351.605172,-1351.605172,0.114499,-1351.477560,0.054391,0.052567,-1351.531951,-1351.530127,
o  aurothioprol-conf_2,-1351.600270,-1351.600270,0.114150,-1351.472929,0.054435,0.052740,-1351.527364,-1351.525670,
o  aurothioglucose-conf_8,-1145.413274,-1145.413274,0.183576,-1145.214455,0.058749,0.056802,-1145.273204,-1145.271257,
o  aurothioglucose-conf_5,-1145.421592,-1145.421592,0.184368,-1145.222619,0.056869,0.055146,-1145.279488,-1145.277765,
o  aurothiomalate-conf_4,-990.417463,-990.417463,0.097318,-990.308034,0.053182,0.051010,-990.361215,-990.359043,
o  aurothioglucose-conf_1,-1145.419373,-1145.419373,0.184278,-1145.220524,0.056312,0.054943,-1145.276836,-1145.275466,
o  aurothioprol-conf_10,-1351.601280,-1351.601280,0.113314,-1351.474578,0.054361,0.052942,-1351.528939,-1351.527520,
o  auranofin-conf_3,-2335.298134,-2335.298134,0.533528,-2334.724186,0.115522,0.106615,-2334.839708,-2334.830801,
o  aurothioglucose-conf_2,-1145.418341,-1145.418341,0.183856,-1145.219396,0.058005,0.056288,-1145.277401,-1145.275684,
o  aurothioprol-conf_4,-1351.602295,-1351.602295,0.114314,-1351.475351,0.052464,0.051333,-1351.527815,-1351.526684,
o  aurothioprol,-1351.600054,-1351.600054,0.114301,-1351.472543,0.055401,0.053279,-1351.527943,-1351.525822,
o  auranofin-conf_10,-2335.297759,-2335.297759,0.533650,-2334.723771,0.114988,0.106343,-2334.838759,-2334.830114,
o  aurothiomalate-conf_10,-990.415661,-990.415661,0.097379,-990.306130,0.054005,0.051351,-990.360135,-990.357482,
o  aurothiomalate-conf_1,-990.415533,-990.415533,0.097500,-990.305982,0.052936,0.050749,-990.358918,-990.356731,
o  aurothioprol-conf_9,-1351.602392,-1351.602392,0.114519,-1351.475161,0.052901,0.051624,-1351.528062,-1351.526785,
